"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
AceWriterAC,"ID 1621832712389787648","Sat Feb 04 11:27:05 +0000 2023"," @thenews2dayoboy @StarBarduous I think so. She is stunning",https://twitter.com/AceWriterAC/statuses/1621832712389787648,0,1,"Twitter Web App"
AceWriterAC,"ID 1621831717807063041","Sat Feb 04 11:23:08 +0000 2023"," @thenews2dayoboy @StarBarduous Kate Winslet is so fucking hot in that movie. It warrants your attention",https://twitter.com/AceWriterAC/statuses/1621831717807063041,0,1,"Twitter Web App"
AceWriterAC,"ID 1621830529061650432","Sat Feb 04 11:18:24 +0000 2023"," @thenews2dayoboy Dude........ it is peak 90s romance. Surely you watched most of it, right?",https://twitter.com/AceWriterAC/statuses/1621830529061650432,0,1,"Twitter Web App"
AceWriterAC,"ID 1621829863127781376","Sat Feb 04 11:15:46 +0000 2023"," @StarBarduous @thenews2dayoboy Wtf it has the best ending ever",https://twitter.com/AceWriterAC/statuses/1621829863127781376,0,2,"Twitter Web App"
AceWriterAC,"ID 1621829095796649984","Sat Feb 04 11:12:43 +0000 2023"," @thenews2dayoboy Nigga how have you not watched Titanic????????",https://twitter.com/AceWriterAC/statuses/1621829095796649984,0,2,"Twitter Web App"
AceWriterAC,"ID 1621794449604096000","Sat Feb 04 08:55:02 +0000 2023"," @ObamaGarak Nigga hasn’t even read Spengler 😂
Sum shit about “race marxism” 😭
Dawg it’s called Preußentum und Sozialismus lol",https://twitter.com/AceWriterAC/statuses/1621794449604096000,0,6,"Twitter for iPhone"
AceWriterAC,"ID 1621786835067469824","Sat Feb 04 08:24:47 +0000 2023"," @Philosophi_Cat @MANwithCOME69 @NotProvoked Wtf is happening lol",https://twitter.com/AceWriterAC/statuses/1621786835067469824,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1621781049616519168","Sat Feb 04 08:01:48 +0000 2023"," @MuhHeidigger @obesegoth Lolllllllll",https://twitter.com/AceWriterAC/statuses/1621781049616519168,0,0,"Twitter for iPhone"
AceWriterAC,"ID 1621749335603154944","Sat Feb 04 05:55:46 +0000 2023"," Undefeated marketing and cast https://t.co/Pa1wIljvwH",https://twitter.com/AceWriterAC/statuses/1621749335603154944,0,6,"Twitter Web App"
AceWriterAC,"ID 1621683727347884033","Sat Feb 04 01:35:04 +0000 2023"," @thenews2dayoboy Working around the blacklist by seducing the voluptuous gatekeeper and impersonating Robin’s accent",https://twitter.com/AceWriterAC/statuses/1621683727347884033,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1621444222783225858","Fri Feb 03 09:43:22 +0000 2023"," @michaelhitack God bless James and his linguistic skills",https://twitter.com/AceWriterAC/statuses/1621444222783225858,0,3,"Twitter for iPhone"
AceWriterAC,"ID 1621431000382472194","Fri Feb 03 08:50:49 +0000 2023"," @michaelhitack Any others????",https://twitter.com/AceWriterAC/statuses/1621431000382472194,0,3,"Twitter for iPhone"
AceWriterAC,"ID 1621412456399765504","Fri Feb 03 07:37:08 +0000 2023"," @Stepping_Razor_ https://t.co/jZOolpE2xD",https://twitter.com/AceWriterAC/statuses/1621412456399765504,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1621412112508805120","Fri Feb 03 07:35:46 +0000 2023"," I did this https://t.co/zliZlG315o",https://twitter.com/AceWriterAC/statuses/1621412112508805120,1,4,"Twitter for iPhone"
AceWriterAC,"ID 1621075339094151168","Thu Feb 02 09:17:33 +0000 2023"," @giantgio @MadScientistFF The what?",https://twitter.com/AceWriterAC/statuses/1621075339094151168,0,6,"Twitter for iPhone"
AceWriterAC,"ID 1621007655665029121","Thu Feb 02 04:48:36 +0000 2023"," Real https://t.co/Z3ZvsvAuOj",https://twitter.com/AceWriterAC/statuses/1621007655665029121,0,2,"Twitter for iPhone"
AceWriterAC,"ID 1621003015980474368","Thu Feb 02 04:30:10 +0000 2023"," @_jburden So he cucked? Cringe",https://twitter.com/AceWriterAC/statuses/1621003015980474368,0,22,"Twitter for iPhone"
AceWriterAC,"ID 1620957316836364293","Thu Feb 02 01:28:34 +0000 2023"," @BlackLodgeAgent Goes so hard",https://twitter.com/AceWriterAC/statuses/1620957316836364293,0,0,"Twitter for iPhone"
AceWriterAC,"ID 1620956209028399104","Thu Feb 02 01:24:10 +0000 2023"," @charlesmayne69 This nigga still actin like a GAE (Goofy ass egghead)",https://twitter.com/AceWriterAC/statuses/1620956209028399104,0,11,"Twitter for iPhone"
AceWriterAC,"ID 1620741678238953473","Wed Feb 01 11:11:42 +0000 2023"," From where you're kneeling it must seem like an 18-carat run of bad luck https://t.co/NTUCSpk6xg https://t.co/ZPGCKABJrs",https://twitter.com/AceWriterAC/statuses/1620741678238953473,1,3,"Twitter for iPhone"
AceWriterAC,"ID 1620739789711642624","Wed Feb 01 11:04:12 +0000 2023"," @obesegoth It’s pretty ok. A guilty pleasure",https://twitter.com/AceWriterAC/statuses/1620739789711642624,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1620736627772624901","Wed Feb 01 10:51:38 +0000 2023"," This is the best thing I’ve heard on Twitter https://t.co/vAQpxcrOAD",https://twitter.com/AceWriterAC/statuses/1620736627772624901,0,19,"Twitter for iPhone"
AceWriterAC,"ID 1620719749620727812","Wed Feb 01 09:44:34 +0000 2023"," @italiancadillac All the cool ppl are here 😮",https://twitter.com/AceWriterAC/statuses/1620719749620727812,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1620582120220659712","Wed Feb 01 00:37:41 +0000 2023"," @MutantNmbr12 @_jburden Mr Peterson I just want to talk https://t.co/L5XWVlj0H0",https://twitter.com/AceWriterAC/statuses/1620582120220659712,2,7,"Twitter for iPhone"
AceWriterAC,"ID 1620581020843253760","Wed Feb 01 00:33:18 +0000 2023"," @_jburden Camping allowed??",https://twitter.com/AceWriterAC/statuses/1620581020843253760,0,2,"Twitter for iPhone"
AceWriterAC,"ID 1620580513504464896","Wed Feb 01 00:31:18 +0000 2023"," “Spencerite Blitzkrieg” https://t.co/BFuFFHOjcO https://t.co/TNIgmkZ8Qg",https://twitter.com/AceWriterAC/statuses/1620580513504464896,1,12,"Twitter for iPhone"
AceWriterAC,"ID 1620543066498285569","Tue Jan 31 22:02:29 +0000 2023"," @ReactiveMay All those guns and no balls",https://twitter.com/AceWriterAC/statuses/1620543066498285569,0,4,"Twitter for iPhone"
AceWriterAC,"ID 1620223291507249152","Tue Jan 31 00:51:49 +0000 2023"," @KingCabanaBoy It’s me",https://twitter.com/AceWriterAC/statuses/1620223291507249152,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1620219148277252096","Tue Jan 31 00:35:21 +0000 2023"," @Hybrasil3 That is Greg Johnson sending militia members to my house bc I’m not white and like Babylon",https://twitter.com/AceWriterAC/statuses/1620219148277252096,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1620216676733317120","Tue Jan 31 00:25:32 +0000 2023"," @obesegoth @BlackLodgeAgent Far right darling… Cate Blanchett",https://twitter.com/AceWriterAC/statuses/1620216676733317120,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1620216274138824705","Tue Jan 31 00:23:56 +0000 2023"," *Calls Bullet Train the best product of human action since the Roman Empire* https://t.co/kebguO8arF",https://twitter.com/AceWriterAC/statuses/1620216274138824705,0,15,"Twitter for iPhone"
AceWriterAC,"ID 1620212533918588928","Tue Jan 31 00:09:04 +0000 2023"," Sounds like a fun movie, Greg https://t.co/4iirhBsWNM",https://twitter.com/AceWriterAC/statuses/1620212533918588928,0,3,"Twitter for iPhone"
AceWriterAC,"ID 1620212025401147392","Tue Jan 31 00:07:03 +0000 2023"," Greg Johnson, how could you https://t.co/dLiemTc7lH",https://twitter.com/AceWriterAC/statuses/1620212025401147392,0,6,"Twitter for iPhone"
AceWriterAC,"ID 1619868996224045057","Mon Jan 30 01:23:59 +0000 2023"," Lynchian
https://t.co/dlR3aElIhO",https://twitter.com/AceWriterAC/statuses/1619868996224045057,0,1,"Twitter Web App"
AceWriterAC,"ID 1619867142178111488","Mon Jan 30 01:16:37 +0000 2023"," @MainstreamViews I know",https://twitter.com/AceWriterAC/statuses/1619867142178111488,0,1,"Twitter for iPhone"
AceWriterAC,"ID 1619862676058030080","Mon Jan 30 00:58:52 +0000 2023"," https://t.co/8rQ7bkHsVD https://t.co/CbrMWNciYs",https://twitter.com/AceWriterAC/statuses/1619862676058030080,0,4,"Twitter for iPhone"
AceWriterAC,"ID 1619849905945858050","Mon Jan 30 00:08:07 +0000 2023"," @Peter_Hitchens_ Oops",https://twitter.com/AceWriterAC/statuses/1619849905945858050,0,0,"Twitter Web App"
