"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
AhComfy,"ID 1621759128577396738","Sat Feb 04 06:34:41 +0000 2023"," @Smug9991 You mean behind. https://t.co/zBGulBmXpB",https://twitter.com/AhComfy/statuses/1621759128577396738,0,2,"Twitter for iPhone"
AhComfy,"ID 1621756100734500864","Sat Feb 04 06:22:39 +0000 2023"," Everyone should moon the China balloon.",https://twitter.com/AhComfy/statuses/1621756100734500864,12,60,"Twitter for iPhone"
AhComfy,"ID 1621663014750658560","Sat Feb 04 00:12:46 +0000 2023"," @Krysta92kat_ @Babygravy9 Me either! Or other women. Hence why I workout alone. 😅",https://twitter.com/AhComfy/statuses/1621663014750658560,0,4,"Twitter for iPhone"
AhComfy,"ID 1621655795506249729","Fri Feb 03 23:44:05 +0000 2023"," @JLPJLP2k I hope she gets to have cows.🥺",https://twitter.com/AhComfy/statuses/1621655795506249729,0,0,"Twitter for iPhone"
AhComfy,"ID 1621606142588907521","Fri Feb 03 20:26:47 +0000 2023"," @frozenaesthetic Disgusting! What happened to feminism!!?",https://twitter.com/AhComfy/statuses/1621606142588907521,1,3,"Twitter for iPhone"
AhComfy,"ID 1621605894650986496","Fri Feb 03 20:25:47 +0000 2023"," @rev_felix @OPRisely @RSKindred1978 @iamyesyouareno You get me. 🥺😅",https://twitter.com/AhComfy/statuses/1621605894650986496,0,3,"Twitter for iPhone"
AhComfy,"ID 1621605844721999872","Fri Feb 03 20:25:36 +0000 2023"," @OPRisely @rev_felix @RSKindred1978 @iamyesyouareno Yes.😅",https://twitter.com/AhComfy/statuses/1621605844721999872,0,0,"Twitter for iPhone"
AhComfy,"ID 1621604939809316866","Fri Feb 03 20:22:00 +0000 2023"," @realdanlyman @HarmlessYardDog @MagicBelle1 @Henrik_Palmgren @AsianPatDixon Can’t RT because you’re a 🔒 elite.",https://twitter.com/AhComfy/statuses/1621604939809316866,0,3,"Twitter for iPhone"
AhComfy,"ID 1621591159801008128","Fri Feb 03 19:27:14 +0000 2023"," @IntellectEmbarg …. S*x toys should be banned.",https://twitter.com/AhComfy/statuses/1621591159801008128,0,1,"Twitter for iPhone"
AhComfy,"ID 1621590723748581376","Fri Feb 03 19:25:30 +0000 2023"," @OPRisely @iamyesyouareno I don’t get what you were trying to say by your initial “it could be worse” but it’s not really a big deal to argue about it.😅",https://twitter.com/AhComfy/statuses/1621590723748581376,0,7,"Twitter for iPhone"
