"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
AntiWhiteWatch1,"ID 1621785994415714306","Sat Feb 04 08:21:27 +0000 2023"," @ZaleskiLuke What happened? A mostly peaceful protest where capital police opened the doors to congress on instructions of the Establishment.",https://twitter.com/AntiWhiteWatch1/statuses/1621785994415714306,0,3,"Twitter Web App"
AntiWhiteWatch1,"ID 1621774988192935937","Sat Feb 04 07:37:42 +0000 2023"," @PeImeniPusha Why has this guy not been sent to israel yet?",https://twitter.com/AntiWhiteWatch1/statuses/1621774988192935937,1,61,"Twitter Web App"
AntiWhiteWatch1,"ID 1621774546121687046","Sat Feb 04 07:35:57 +0000 2023"," @ninaturner Slavery is the #GreatBlackCope",https://twitter.com/AntiWhiteWatch1/statuses/1621774546121687046,0,31,"Twitter Web App"
AntiWhiteWatch1,"ID 1621774481789419521","Sat Feb 04 07:35:42 +0000 2023"," @ninaturner The only thing we are all owed is: SEPARATION. 

Let us go our separate ways. Living together doesn't work, never has and never will.",https://twitter.com/AntiWhiteWatch1/statuses/1621774481789419521,11,176,"Twitter Web App"
AntiWhiteWatch1,"ID 1621770965691805702","Sat Feb 04 07:21:43 +0000 2023"," @EricTropicalTX @ninaturner Dude, read what I wrote and then reread what ever than drunk ramble you spilled out was. There is no debate that the African slave trade long preexisted European participation and yes Js played a large role in financing and admin",https://twitter.com/AntiWhiteWatch1/statuses/1621770965691805702,0,0,"Twitter Web App"
AntiWhiteWatch1,"ID 1621770021902106624","Sat Feb 04 07:17:58 +0000 2023"," @LeightonRoland @wayotworld The way to establish coalitions and solidarity is not by attacking legitimate ethnic identities but by fostering healthy ones and mutual respect between groups through recognizing boundaries.",https://twitter.com/AntiWhiteWatch1/statuses/1621770021902106624,0,0,"Twitter Web App"
AntiWhiteWatch1,"ID 1621769660093075458","Sat Feb 04 07:16:32 +0000 2023"," @DelroyTyrone @wayotworld A good gate keeper strings you on with just enough to keep you in line.",https://twitter.com/AntiWhiteWatch1/statuses/1621769660093075458,0,0,"Twitter Web App"
AntiWhiteWatch1,"ID 1621769143665201152","Sat Feb 04 07:14:29 +0000 2023"," @ChonelolaCactus @wayotworld No, this is standard gatekeeping behavior; put out a few small crumbs of sanity but then viciously oppose that which provides a solution.",https://twitter.com/AntiWhiteWatch1/statuses/1621769143665201152,0,0,"Twitter Web App"
AntiWhiteWatch1,"ID 1621768600628625409","Sat Feb 04 07:12:20 +0000 2023"," There is nothing compassionate about letting these people into your home; its malice because we know exactly what the consequences are for our children, for crime, for schools, for social cohesion. This is something you would do to an enemy... so,who promotes it? #antiwhite https://t.co/UomxVS4kNb",https://twitter.com/AntiWhiteWatch1/statuses/1621768600628625409,32,145,"Twitter Web App"
AntiWhiteWatch1,"ID 1621767554611171329","Sat Feb 04 07:08:10 +0000 2023"," @dieworkwear Actual Asians in Asia are generally pretty red pilled and by and large Nationalist. Once they go to the West however there is a perverse incentive for them to oppose it. Its hypocritical of those that do and they need to get called out hard.",https://twitter.com/AntiWhiteWatch1/statuses/1621767554611171329,2,55,"Twitter Web App"
AntiWhiteWatch1,"ID 1621766724650663938","Sat Feb 04 07:04:52 +0000 2023"," @GaiusGroyper Its ok to simply be Nationalist, we insist that all people are entitled to the #NationState. We are #EthnicEuropean and hence we demand ours.",https://twitter.com/AntiWhiteWatch1/statuses/1621766724650663938,0,0,"Twitter Web App"
AntiWhiteWatch1,"ID 1621766140639977472","Sat Feb 04 07:02:33 +0000 2023"," @RedsUnited1999 @jordanbpeterson Perhaps but the syncretic process by which Europeans integrated Christianity into their culture is uniquely theirs and not Jewish.",https://twitter.com/AntiWhiteWatch1/statuses/1621766140639977472,0,2,"Twitter Web App"
AntiWhiteWatch1,"ID 1621765430028406784","Sat Feb 04 06:59:44 +0000 2023"," Where there is a will, there is a way. https://t.co/hp9sQlLN8T",https://twitter.com/AntiWhiteWatch1/statuses/1621765430028406784,5,45,"Twitter Web App"
AntiWhiteWatch1,"ID 1621754647500451840","Sat Feb 04 06:16:53 +0000 2023"," @jonathan_c_ong #EastAsians are second only to #EthnicEuropean Americans in terms of violent inter-racial victimization. The black on White homocide rate is 2.5X the inverse, thats 10X when accounting for population differences. I'd venture to guess for Asians its closer to 20-50x. https://t.co/OjfxKuzJDB",https://twitter.com/AntiWhiteWatch1/statuses/1621754647500451840,0,5,"Twitter Web App"
AntiWhiteWatch1,"ID 1621753585892757506","Sat Feb 04 06:12:40 +0000 2023"," Classic of Ben Shapiro owning Ben Shapiro.

There is no ""judeo-Christian"", there is European-Christian. Everything you see them trying to insert themselves into our culture and civilizations, slam the door on that nonsense. @jordanbpeterson take off your chains. https://t.co/E6gS5cmGJu",https://twitter.com/AntiWhiteWatch1/statuses/1621753585892757506,19,135,"Twitter Web App"
