"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Clay1984More,"ID 1621314752084430848","Fri Feb 03 01:08:54 +0000 2023"," @chapofwessex Then switch to Grandma Towler's for the best tea in the land
https://t.co/L9ZEiLunSz",https://twitter.com/Clay1984More/statuses/1621314752084430848,0,1,"Twitter Web App"
Clay1984More,"ID 1621314170305011712","Fri Feb 03 01:06:35 +0000 2023"," @Aisha94___ You clearly haven't got a clue what fascism is. The Patriotic Alternative worldview is not an economic one.   Another Tory showing us there is no difference between them and Labour.",https://twitter.com/Clay1984More/statuses/1621314170305011712,5,29,"Twitter Web App"
Clay1984More,"ID 1621246858197712898","Thu Feb 02 20:39:06 +0000 2023"," @ProvanSandy @RenLive_ What claims? I asked why they hadn't reported the news about the migrants. They have already started arriving. If you need help finding out about that I suggest you search for #ErskineSaysNo",https://twitter.com/Clay1984More/statuses/1621246858197712898,0,0,"Twitter Web App"
Clay1984More,"ID 1621243581485686785","Thu Feb 02 20:26:05 +0000 2023"," @JB__United @MarkACollett Said the man with a picture of an iconic Scot in his profile!",https://twitter.com/Clay1984More/statuses/1621243581485686785,0,0,"Twitter Web App"
Clay1984More,"ID 1621211849248358400","Thu Feb 02 18:20:00 +0000 2023"," Less than 100 migrants in the hotel and they are already kicking off. Do the local councillors really want to bring this type of behaviour to Erskine? #ErskineSaysNo https://t.co/8FX4E3JMfj",https://twitter.com/Clay1984More/statuses/1621211849248358400,9,40,"Twitter Web App"
Clay1984More,"ID 1621201098882125824","Thu Feb 02 17:37:17 +0000 2023"," Love to see the legacy media being exposed like this. The MSM and the SNP want migrants in Erskine. Reject thier lies. #ErskineSaysNo https://t.co/Hwg8E5IYt8",https://twitter.com/Clay1984More/statuses/1621201098882125824,2,14,"Twitter Web App"
Clay1984More,"ID 1621193699542564874","Thu Feb 02 17:07:52 +0000 2023"," The #ErskineSaysNo posters have started going up. See you at the demo on Sunday. https://t.co/hkyO0muueN",https://twitter.com/Clay1984More/statuses/1621193699542564874,6,38,"Twitter Web App"
Clay1984More,"ID 1621191985850720262","Thu Feb 02 17:01:04 +0000 2023"," @thisislaurat @nastymutant @GBNEWS @PatAlternative Would make great viewing and I'd be right up for that.",https://twitter.com/Clay1984More/statuses/1621191985850720262,2,13,"Twitter Web App"
Clay1984More,"ID 1621168691856691201","Thu Feb 02 15:28:30 +0000 2023"," @jamesdoleman Blah, blah, blah, Nazis, Nazis, Nazis. Anybody who puts local people first is a Nazi to self-loathing anti-White Marxists.",https://twitter.com/Clay1984More/statuses/1621168691856691201,1,3,"Twitter Web App"
Clay1984More,"ID 1621168005521575936","Thu Feb 02 15:25:47 +0000 2023"," @jamesdoleman #ErskineSaysNo",https://twitter.com/Clay1984More/statuses/1621168005521575936,0,5,"Twitter Web App"
Clay1984More,"ID 1621167527853461504","Thu Feb 02 15:23:53 +0000 2023"," @jamesdoleman There is plenty local support for the demo. If a few people lack the courage to continue because of pressure from people who are clearly not on their side, more fool them!",https://twitter.com/Clay1984More/statuses/1621167527853461504,0,3,"Twitter Web App"
Clay1984More,"ID 1621149736358285313","Thu Feb 02 14:13:11 +0000 2023"," @stargavnise @ChiefMoodyYT It's so amusing to watch cretins back-track and pretend they didn't know what they were doing. 
I'm also now wondering if his sight is defective. There aren't many who'd find me cute. Not even my fiancé!",https://twitter.com/Clay1984More/statuses/1621149736358285313,0,3,"Twitter Web App"
Clay1984More,"ID 1621147906819653632","Thu Feb 02 14:05:55 +0000 2023"," Join @ChiefMoodyYT and myself tonight to hear what is going on in Erskine ahead of the demo on Sunday. #ErskineSaysNo https://t.co/oeviWwf1CF",https://twitter.com/Clay1984More/statuses/1621147906819653632,4,14,"Twitter Web App"
Clay1984More,"ID 1621147456317837317","Thu Feb 02 14:04:07 +0000 2023"," @stargavnise @ChiefMoodyYT You literally just threatened to assault somebody on a public platform. Thats quite a retarded thing to do, so anything else you say gets measured against that!",https://twitter.com/Clay1984More/statuses/1621147456317837317,0,3,"Twitter Web App"
Clay1984More,"ID 1621142258048290816","Thu Feb 02 13:43:28 +0000 2023"," @stargavnise @ChiefMoodyYT There they go again promoting violence! The irony of that, when you are promotioning a peaceful demonstration.",https://twitter.com/Clay1984More/statuses/1621142258048290816,0,6,"Twitter Web App"
Clay1984More,"ID 1621140409002135555","Thu Feb 02 13:36:07 +0000 2023"," 500 of these delivered in Bishopton today. #ErskineSaysNo https://t.co/zCLc9QkgJp",https://twitter.com/Clay1984More/statuses/1621140409002135555,22,66,"Twitter Web App"
Clay1984More,"ID 1621123267657596928","Thu Feb 02 12:28:00 +0000 2023"," @nastymutant @thisislaurat @GBNEWS I'd happily go on @GBNEWS to talk about the #ErskineSaysNo campaign and the demo this Sunday at 12noon outside the Muthu Glasgow River Hotel.",https://twitter.com/Clay1984More/statuses/1621123267657596928,5,22,"Twitter Web App"
Clay1984More,"ID 1621108415157391360","Thu Feb 02 11:28:59 +0000 2023"," Well said. It's time for Chads to actually show themselves as you do mate. Folk have to be the change they want to see. #ErskineSaysNo https://t.co/A4FNiROnWk",https://twitter.com/Clay1984More/statuses/1621108415157391360,2,16,"Twitter Web App"
Clay1984More,"ID 1621096685614108672","Thu Feb 02 10:42:23 +0000 2023"," @samClar287614 @PatAlternative Have you joined #PatrioticAlternative?",https://twitter.com/Clay1984More/statuses/1621096685614108672,0,0,"Twitter Web App"
Clay1984More,"ID 1621091513668341761","Thu Feb 02 10:21:49 +0000 2023"," The SNP cllrs in Erskine are telling folk to reject the help of #PatrioticAlternative. Yes, the same SNP who bend over backwards to welcome migrants, are saying let us deal with it. #ErskineSaysNo and if the good folk there have sense, they'll protest loudly at 12 noon on Sunday.",https://twitter.com/Clay1984More/statuses/1621091513668341761,18,51,"Twitter Web App"
Clay1984More,"ID 1620815647482724352","Wed Feb 01 16:05:38 +0000 2023"," @Daily_Record The community have said they are terrified that their neighbourhood will be swamped with migrants and are already seeing problems with those who have arrived. You are terrified that PA will help them prevent that happening. #ErskineSaysNo",https://twitter.com/Clay1984More/statuses/1620815647482724352,0,12,"Twitter Web App"
Clay1984More,"ID 1620815143654539265","Wed Feb 01 16:03:38 +0000 2023"," @ScotNational The community areterrified that their neighbourhood will be swamp with migrants. You are terrified that PA will help them prevent that happening. Shame on you.",https://twitter.com/Clay1984More/statuses/1620815143654539265,0,10,"Twitter Web App"
Clay1984More,"ID 1620814644352004098","Wed Feb 01 16:01:39 +0000 2023"," @ScotNational #ErskineSaysNo https://t.co/cFMzqWz7og",https://twitter.com/Clay1984More/statuses/1620814644352004098,0,7,"Twitter Web App"
