"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
ComradeDoyIe,"ID 1621648249370050563","Fri Feb 03 23:14:06 +0000 2023"," @InternetRadical Retard moment",https://twitter.com/ComradeDoyIe/statuses/1621648249370050563,0,3,"Twitter for iPhone"
ComradeDoyIe,"ID 1621584233939587081","Fri Feb 03 18:59:43 +0000 2023"," But it’s actually okay and normal to not like a country simply because it is foreign and not yours.",https://twitter.com/ComradeDoyIe/statuses/1621584233939587081,4,157,"Twitter for iPhone"
ComradeDoyIe,"ID 1621584231741771777","Fri Feb 03 18:59:43 +0000 2023"," I know that because everything is so globalized and politically correct now, we have to scrape to rationalize these feelings with mutually agreed upon negatives such as “communism” and “insufficient personal freedoms.” (Regime change language btw.)",https://twitter.com/ComradeDoyIe/statuses/1621584231741771777,3,136,"Twitter for iPhone"
ComradeDoyIe,"ID 1621584229363597313","Fri Feb 03 18:59:42 +0000 2023"," Trying really hard to be a team player with today’s WW3 op and conjure aggression towards the country whose criticisms of my country are completely accurate. Don’t get me wrong though, I love my country and don’t like China.",https://twitter.com/ComradeDoyIe/statuses/1621584229363597313,16,324,"Twitter for iPhone"
ComradeDoyIe,"ID 1621579805140389888","Fri Feb 03 18:42:07 +0000 2023"," CIA approved ethnic jokes https://t.co/0hXcskQY3l",https://twitter.com/ComradeDoyIe/statuses/1621579805140389888,31,568,"Twitter for iPhone"
ComradeDoyIe,"ID 1621552372253065217","Fri Feb 03 16:53:07 +0000 2023"," RT @MAGAIncWarRoom: President Trump on Ashli Babbitt: https://t.co/x84nZnkoiV",https://twitter.com/ComradeDoyIe/statuses/1621552372253065217,848,0,"Twitter for iPhone"
ComradeDoyIe,"ID 1621551546113703937","Fri Feb 03 16:49:50 +0000 2023"," Look at the replies to this. Honestly whitepilling how the MLK sentiment has shifted to largely negative in the past couple years or so, at least online. KEEP PUSHING. https://t.co/sksqAuF4nx",https://twitter.com/ComradeDoyIe/statuses/1621551546113703937,29,425,"Twitter for iPhone"
ComradeDoyIe,"ID 1621542085160476673","Fri Feb 03 16:12:14 +0000 2023"," @AtlanteanYeoman Supersonic jets don’t trigger the necessary Cold War nostalgia for it to be effective",https://twitter.com/ComradeDoyIe/statuses/1621542085160476673,0,4,"Twitter for iPhone"
ComradeDoyIe,"ID 1621537796191145986","Fri Feb 03 15:55:11 +0000 2023"," @AtlanteanYeoman Also, sorry, but a spy balloon? That sounds like something you’d find in a yellowed Tom Clancy novel while bored at your Uncles hunting lodge",https://twitter.com/ComradeDoyIe/statuses/1621537796191145986,0,1,"Twitter for iPhone"
ComradeDoyIe,"ID 1621536337349206019","Fri Feb 03 15:49:24 +0000 2023"," As if there’s any piece of information China could obtain that would help them destroy America more efficiently than the people who run it",https://twitter.com/ComradeDoyIe/statuses/1621536337349206019,28,282,"Twitter for iPhone"
ComradeDoyIe,"ID 1621536335617040386","Fri Feb 03 15:49:23 +0000 2023"," We had elected officials sleeping with Chinese spies (gay style), we’re largely addicted to TikTok and dependent upon Chinese imports as a nation, etc. But China supposedly sends a spy balloon and people are literally calling for air raids over Beijing lol",https://twitter.com/ComradeDoyIe/statuses/1621536335617040386,17,267,"Twitter for iPhone"
