"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
EuropeanFreedo1,"ID 1262866649130172418","Tue May 19 22:04:06 +0000 2020"," @UncleWikWak @nastymutant @WhiteCollective @ed_unwa Thanks. Jeff is doing important work",https://twitter.com/EuropeanFreedo1/statuses/1262866649130172418,0,4,"Twitter Web App"
EuropeanFreedo1,"ID 1262798465748393984","Tue May 19 17:33:10 +0000 2020"," If you want to ask questions for tonight's EF #25: The State of the Art with Jeff Winston (White Art Collective) and Nick Cotton (Vile/Unwashed) please use the Entropy Link for Superchats, Questions and Poll on Livestreams 
https://t.co/Z8gBb2pahS",https://twitter.com/EuropeanFreedo1/statuses/1262798465748393984,1,2,"Twitter Web App"
EuropeanFreedo1,"ID 1262791201633316864","Tue May 19 17:04:18 +0000 2020"," RT @EMichaelJones1: You have no right to disagree with Alan Dershowitz! https://t.co/o1Pu7oGv9U",https://twitter.com/EuropeanFreedo1/statuses/1262791201633316864,106,0,"Twitter Web App"
EuropeanFreedo1,"ID 1262770983657668610","Tue May 19 15:43:58 +0000 2020"," Here's the Dlive link for Tonight's Livestream at 7 pm UK time with @nastymutant, @WhiteCollective and @ed_unwa
EF #25: The State of the Art with Jeff Winston (White Art Collective) and Nick Cotton (Vile/Unwashed)
https://t.co/1S7Ca7CeET",https://twitter.com/EuropeanFreedo1/statuses/1262770983657668610,1,6,"Twitter Web App"
EuropeanFreedo1,"ID 1262732395570233345","Tue May 19 13:10:38 +0000 2020"," Everybody in the Spanish government is a CUNT!",https://twitter.com/EuropeanFreedo1/statuses/1262732395570233345,3,35,"Twitter for Android"
EuropeanFreedo1,"ID 1262729285539958785","Tue May 19 12:58:16 +0000 2020"," RT @khamenei_ir: The Zionist regime's status in global public opinion is now worse than any time in its dark history, &amp; the reason for its…",https://twitter.com/EuropeanFreedo1/statuses/1262729285539958785,511,0,"Twitter for Android"
EuropeanFreedo1,"ID 1262703430247821313","Tue May 19 11:15:32 +0000 2020"," Nice guy!
The Jew Harvard Professor Noel Ignatiev on how terrible white people are
https://t.co/sPge3uVut7",https://twitter.com/EuropeanFreedo1/statuses/1262703430247821313,8,19,"Twitter Web App"
EuropeanFreedo1,"ID 1262682661014974465","Tue May 19 09:53:00 +0000 2020"," A beautiful snapshot of British Pop Music
The Shadows At Sixty - BBC4 Programme 01/05/2020
https://t.co/lJ9lHHmA5H",https://twitter.com/EuropeanFreedo1/statuses/1262682661014974465,0,2,"Twitter Web App"
EuropeanFreedo1,"ID 1262682417548140544","Tue May 19 09:52:02 +0000 2020"," The greatest football manager and personality ever!
https://t.co/7mJtJweQQD",https://twitter.com/EuropeanFreedo1/statuses/1262682417548140544,0,3,"Twitter Web App"
EuropeanFreedo1,"ID 1262664258195767296","Tue May 19 08:39:52 +0000 2020"," @MeadPagan Thanks GF",https://twitter.com/EuropeanFreedo1/statuses/1262664258195767296,0,0,"Twitter Web App"
EuropeanFreedo1,"ID 1262653426816729089","Tue May 19 07:56:50 +0000 2020"," Here's the YouTube link for Tonight's Livestream at 7 pm UK time with @nastymutant, @WhiteCollective and @ed_unwa
EF #25: The State of the Art with Jeff Winston (White Art Collective) and Nick Cotton (Vile/Unwashed)
https://t.co/bCt3j6MfMC",https://twitter.com/EuropeanFreedo1/statuses/1262653426816729089,3,13,"Twitter Web App"
EuropeanFreedo1,"ID 1262647600659955712","Tue May 19 07:33:41 +0000 2020"," Here are the show notes link for Tonight's Livestream at 7 pm UK time with @nastymutant, @WhiteCollective and @ed_unwa
EF #25: The State of the Art with Jeff Winston (White Art Collective) and Nick Cotton (Vile/Unwashed)
https://t.co/lahXKJT3L7",https://twitter.com/EuropeanFreedo1/statuses/1262647600659955712,3,5,"Twitter Web App"
EuropeanFreedo1,"ID 1262496911816302593","Mon May 18 21:34:54 +0000 2020"," This actually is fantastic! https://t.co/rHxRZ4vLIB",https://twitter.com/EuropeanFreedo1/statuses/1262496911816302593,0,4,"Twitter Web App"
EuropeanFreedo1,"ID 1262411265227571203","Mon May 18 15:54:34 +0000 2020"," @ivor_bacon It's disturbing, isn't it? I didn't have an agenda when I started on this road other than finding out the truth. Still don't know if I've found it yet but I'll keep searching. Glad you're a fellow traveller!",https://twitter.com/EuropeanFreedo1/statuses/1262411265227571203,0,2,"Twitter Web App"
EuropeanFreedo1,"ID 1262397852141174785","Mon May 18 15:01:16 +0000 2020"," @MeadPagan @ed_unwa My mate used to work at the studio where the Shamen did demos. When Mr C did his rap on one track. Pete Smith the engineer wrote C-Rap on the fader. Totally correct!",https://twitter.com/EuropeanFreedo1/statuses/1262397852141174785,0,0,"Twitter Web App"
EuropeanFreedo1,"ID 1262394031017005063","Mon May 18 14:46:05 +0000 2020"," @ed_unwa Charming, But crap still fundamentally crap! ;-)",https://twitter.com/EuropeanFreedo1/statuses/1262394031017005063,0,2,"Twitter Web App"
EuropeanFreedo1,"ID 1262359739566043136","Mon May 18 12:29:50 +0000 2020"," @ed_unwa I loathe and despise all of it",https://twitter.com/EuropeanFreedo1/statuses/1262359739566043136,0,6,"Twitter for Android"
EuropeanFreedo1,"ID 1262284345299132417","Mon May 18 07:30:14 +0000 2020"," @ed_unwa No, it's not that specific. One of the problems (or advantages depending on your point of view) of the Protocols is they are generally applicable to any event that brings the NWO closer",https://twitter.com/EuropeanFreedo1/statuses/1262284345299132417,0,2,"Twitter Web App"
