"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
FarAwayAndCozy,"ID 1621741054620831744","Sat Feb 04 05:22:52 +0000 2023"," @xp7ten He’s an American Hero",https://twitter.com/FarAwayAndCozy/statuses/1621741054620831744,0,1,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621733890917371909","Sat Feb 04 04:54:24 +0000 2023"," RT @elonmusk: @cb_doge @mayemusk @Tesla @Twitter More to come on this front. Twitter needs to be where a creator is most highly rewarded fo…",https://twitter.com/FarAwayAndCozy/statuses/1621733890917371909,5576,0,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621714359687983105","Sat Feb 04 03:36:48 +0000 2023"," RT @FarAwayAndCozy: @xp7ten It was all true or none of it is⛳️☄️🏌️‍♂️",https://twitter.com/FarAwayAndCozy/statuses/1621714359687983105,1,0,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621712184253493249","Sat Feb 04 03:28:09 +0000 2023"," Bring The Banned Banger Back!! https://t.co/H5AbxRdAkD",https://twitter.com/FarAwayAndCozy/statuses/1621712184253493249,2,30,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621701218669309953","Sat Feb 04 02:44:34 +0000 2023"," @Zoomer_Med Asked and Answered https://t.co/xGDjgwpFRV",https://twitter.com/FarAwayAndCozy/statuses/1621701218669309953,0,8,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621700577557381121","Sat Feb 04 02:42:02 +0000 2023"," @xp7ten It was all true or none of it is⛳️☄️🏌️‍♂️",https://twitter.com/FarAwayAndCozy/statuses/1621700577557381121,1,2,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621697529870966786","Sat Feb 04 02:29:55 +0000 2023"," Con trails poppin off🫠 https://t.co/0Cz0Llvmio",https://twitter.com/FarAwayAndCozy/statuses/1621697529870966786,0,7,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621692794208149505","Sat Feb 04 02:11:06 +0000 2023"," Any ad rev this generates in the Replies will be sent to Baked Alaska! https://t.co/ifGOcMLBDm",https://twitter.com/FarAwayAndCozy/statuses/1621692794208149505,12,51,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621690047849185281","Sat Feb 04 02:00:11 +0000 2023"," RT @FarAwayAndCozy: Iconic https://t.co/opuVaAaz3o",https://twitter.com/FarAwayAndCozy/statuses/1621690047849185281,113,0,"Twitter for iPhone"
FarAwayAndCozy,"ID 1621685523617021952","Sat Feb 04 01:42:12 +0000 2023"," Twitter 1.0 would have alotttt of these Avi’s 🤣 https://t.co/KLm1r2Q5z6",https://twitter.com/FarAwayAndCozy/statuses/1621685523617021952,0,13,"Twitter for iPhone"
