"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
FischerKing64,"ID 1621721007391412225","Sat Feb 04 04:03:12 +0000 2023"," https://t.co/c1RG4F7PPw",https://twitter.com/FischerKing64/statuses/1621721007391412225,4,15,"Twitter for iPhone"
FischerKing64,"ID 1621682644705763328","Sat Feb 04 01:30:46 +0000 2023"," Tucker taking up Ricky Vaughn case…Imagine anyone else doing this.",https://twitter.com/FischerKing64/statuses/1621682644705763328,68,575,"Twitter for iPhone"
FischerKing64,"ID 1621673378494181382","Sat Feb 04 00:53:57 +0000 2023"," Thread https://t.co/rFcvmH6yn4",https://twitter.com/FischerKing64/statuses/1621673378494181382,11,80,"Twitter for iPhone"
FischerKing64,"ID 1621670517249048576","Sat Feb 04 00:42:35 +0000 2023"," The left will say it wants to find ‘root causes,’ and then just make up some shit that ignores all the facts looking them in the face.  

The ‘right’ responds with elaborate theories explaining the left’s thinking which was just openly dishonest in the first place.",https://twitter.com/FischerKing64/statuses/1621670517249048576,20,197,"Twitter for iPhone"
FischerKing64,"ID 1621668039136788480","Sat Feb 04 00:32:44 +0000 2023"," Onlyfans is part of this - some of those cookie cutter homes in places like rural Indiana were paid for by publicly masturbating and screaming in falsetto ecstasy. https://t.co/RthEsOPtIX",https://twitter.com/FischerKing64/statuses/1621668039136788480,9,139,"Twitter for iPhone"
FischerKing64,"ID 1621655075855953920","Fri Feb 03 23:41:13 +0000 2023"," Repeat Cable TV idea: a show, one hour every night, that does nothing but dispassionately report crime of the day. Name victims and perpetrators where possible, post photographs and video. No editorials. Do this for 6 months and watch the national conversation change.",https://twitter.com/FischerKing64/statuses/1621655075855953920,128,865,"Twitter for iPhone"
FischerKing64,"ID 1621653446721179648","Fri Feb 03 23:34:45 +0000 2023"," @BohmRespektor The success of this can be found in the tight, indecently short dresses. High class porn for nerds.",https://twitter.com/FischerKing64/statuses/1621653446721179648,0,22,"Twitter for iPhone"
FischerKing64,"ID 1621639743267311616","Fri Feb 03 22:40:18 +0000 2023"," This caused him to deactivate. Would feel a little bad except that he called me vulgar (which I can be in appropriate context).",https://twitter.com/FischerKing64/statuses/1621639743267311616,0,59,"Twitter for iPhone"
FischerKing64,"ID 1621638401337491456","Fri Feb 03 22:34:58 +0000 2023"," @L0m3z @Cernovich This is why those early Dalrymple collections describing his experiences in a prison were immediately perceived as RW, even though they weren’t overtly political. They described what was happening, and how prisoners thought about it without ideological embellishment.",https://twitter.com/FischerKing64/statuses/1621638401337491456,0,10,"Twitter for iPhone"
FischerKing64,"ID 1621634334460620800","Fri Feb 03 22:18:48 +0000 2023"," It’s fascinating to watch this slippery slope in action. Germany said absolutely no tanks to Ukraine, b/c it would escalate situation. Then it agreed to send tanks. Now Econ Minister goes on TV and says no fighter planes - how long till Germany send fighters? https://t.co/Ax0A1zHJvS",https://twitter.com/FischerKing64/statuses/1621634334460620800,3,66,"Twitter for iPhone"
