"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
FrenBarian,"ID 1621705455847227393","Sat Feb 04 03:01:25 +0000 2023"," @ForagingForever @saveusculture But they'll save ukraine right 🤔",https://twitter.com/FrenBarian/statuses/1621705455847227393,0,7,"Twitter for Android"
FrenBarian,"ID 1621697620824494080","Sat Feb 04 02:30:17 +0000 2023"," Lols, no reason for it to happen but I'm sure I can justify black violence somehow if we get more ""context'. https://t.co/2vopbBVB0I",https://twitter.com/FrenBarian/statuses/1621697620824494080,0,0,"Twitter for Android"
FrenBarian,"ID 1621676965651423232","Sat Feb 04 01:08:12 +0000 2023"," https://t.co/Pg7NuD2Kll https://t.co/iuDWJUCkee",https://twitter.com/FrenBarian/statuses/1621676965651423232,2,9,"Twitter for Android"
FrenBarian,"ID 1621675970389213184","Sat Feb 04 01:04:15 +0000 2023"," @Tolkienfren Sorry to hear that fren.",https://twitter.com/FrenBarian/statuses/1621675970389213184,0,2,"Twitter for Android"
FrenBarian,"ID 1621669156717314048","Sat Feb 04 00:37:10 +0000 2023"," @GraduatedBen https://t.co/qicTKShi6q",https://twitter.com/FrenBarian/statuses/1621669156717314048,2,7,"Twitter for Android"
FrenBarian,"ID 1621622700916490240","Fri Feb 03 21:32:34 +0000 2023"," RT @DovahBrah: Millions must meow https://t.co/y5Iil2PJCg",https://twitter.com/FrenBarian/statuses/1621622700916490240,2,0,"Twitter for Android"
FrenBarian,"ID 1621613681946632193","Fri Feb 03 20:56:44 +0000 2023"," My goodness 💀 https://t.co/afyWHIFnFE",https://twitter.com/FrenBarian/statuses/1621613681946632193,7,24,"Twitter for Android"
FrenBarian,"ID 1621492030659592193","Fri Feb 03 12:53:20 +0000 2023"," We used to be a proper country. https://t.co/kK2xuNLdcD",https://twitter.com/FrenBarian/statuses/1621492030659592193,5,27,"Twitter for Android"
FrenBarian,"ID 1621488269467815939","Fri Feb 03 12:38:23 +0000 2023"," @InfernalGolem Gm Necron, have a great day!!",https://twitter.com/FrenBarian/statuses/1621488269467815939,0,1,"Twitter for Android"
FrenBarian,"ID 1621483325637509126","Fri Feb 03 12:18:45 +0000 2023"," Gm!! It's Friday, have a great day!!!",https://twitter.com/FrenBarian/statuses/1621483325637509126,0,6,"Twitter for Android"
FrenBarian,"ID 1621320805412966402","Fri Feb 03 01:32:57 +0000 2023"," Imperial Meiji Commander-in-Chief of Yokohama, Koboto Santaro, poses in full armor. Santaro was killed by Tokugawa defenders while leading the siege of Osaka Castle on February 2, 1868. https://t.co/KLfKzncm1e",https://twitter.com/FrenBarian/statuses/1621320805412966402,1,5,"Twitter for Android"
FrenBarian,"ID 1621318708294459393","Fri Feb 03 01:24:37 +0000 2023"," RT @_MedGold: https://t.co/vInjooPG5s",https://twitter.com/FrenBarian/statuses/1621318708294459393,1,0,"Twitter for Android"
FrenBarian,"ID 1621318654678679553","Fri Feb 03 01:24:24 +0000 2023"," @_MedGold The world is healing 😅",https://twitter.com/FrenBarian/statuses/1621318654678679553,0,3,"Twitter for Android"
FrenBarian,"ID 1621315222949462019","Fri Feb 03 01:10:46 +0000 2023"," He dindu nuthin am I right? But very good calm actuons by the officer. Very calm, calls backup, tourniquet immediately, assume he stops the car from rolling as well. https://t.co/XnUFSzVLYj",https://twitter.com/FrenBarian/statuses/1621315222949462019,0,4,"Twitter for Android"
FrenBarian,"ID 1621303541133459457","Fri Feb 03 00:24:21 +0000 2023"," AI is going to defeat the modern woman. Good job anon. https://t.co/CazJskbCs5",https://twitter.com/FrenBarian/statuses/1621303541133459457,1,10,"Twitter for Android"
FrenBarian,"ID 1621279826710519809","Thu Feb 02 22:50:07 +0000 2023"," @RapistSpic @DVonZab @_jburden Hitler never said the G word",https://twitter.com/FrenBarian/statuses/1621279826710519809,0,2,"Twitter for Android"
