"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Fuctupmind,"ID 1620939753146417152","Thu Feb 02 00:18:47 +0000 2023"," Test",https://twitter.com/Fuctupmind/statuses/1620939753146417152,2,76,"Twitter Web App"
Fuctupmind,"ID 1611956305027031042","Sun Jan 08 05:21:46 +0000 2023"," Goodnight folks #sleep",https://twitter.com/Fuctupmind/statuses/1611956305027031042,0,21,"Twitter Web App"
Fuctupmind,"ID 1611320381159129088","Fri Jan 06 11:14:50 +0000 2023"," Good morning ☕☕🇺🇸",https://twitter.com/Fuctupmind/statuses/1611320381159129088,1,55,"Twitter Web App"
Fuctupmind,"ID 1610591808492273664","Wed Jan 04 10:59:45 +0000 2023"," Good morning ☕☕🇺🇸",https://twitter.com/Fuctupmind/statuses/1610591808492273664,0,49,"Twitter Web App"
Fuctupmind,"ID 1608418361343447045","Thu Dec 29 11:03:14 +0000 2022"," Good morning ☕☕🇺🇸",https://twitter.com/Fuctupmind/statuses/1608418361343447045,1,59,"Twitter Web App"
Fuctupmind,"ID 1608333867248934912","Thu Dec 29 05:27:30 +0000 2022"," Goodnight folks #sleep",https://twitter.com/Fuctupmind/statuses/1608333867248934912,0,12,"Twitter Web App"
Fuctupmind,"ID 1608254983832764416","Thu Dec 29 00:14:02 +0000 2022"," 😂 https://t.co/Aq1p8KjsFE",https://twitter.com/Fuctupmind/statuses/1608254983832764416,14,33,"Twitter Web App"
Fuctupmind,"ID 1608253138418503683","Thu Dec 29 00:06:42 +0000 2022"," Welcome back @CarpeDonktum",https://twitter.com/Fuctupmind/statuses/1608253138418503683,7,41,"Twitter Web App"
Fuctupmind,"ID 1608063855367790592","Wed Dec 28 11:34:34 +0000 2022"," Excellent idea https://t.co/w4LqOMDFDL",https://twitter.com/Fuctupmind/statuses/1608063855367790592,10,43,"Twitter Web App"
Fuctupmind,"ID 1608056546876948485","Wed Dec 28 11:05:31 +0000 2022"," Good morning ☕☕🇺🇸",https://twitter.com/Fuctupmind/statuses/1608056546876948485,3,54,"Twitter Web App"
Fuctupmind,"ID 1607695705702817793","Tue Dec 27 11:11:40 +0000 2022"," Good morning ☕☕🇺🇸",https://twitter.com/Fuctupmind/statuses/1607695705702817793,0,54,"Twitter Web App"
Fuctupmind,"ID 1607604266700787712","Tue Dec 27 05:08:19 +0000 2022"," Goodnight folks #sleep",https://twitter.com/Fuctupmind/statuses/1607604266700787712,0,21,"Twitter Web App"
Fuctupmind,"ID 1607014191960842241","Sun Dec 25 14:03:34 +0000 2022"," Good morning ☕☕🇺🇸🎄",https://twitter.com/Fuctupmind/statuses/1607014191960842241,1,52,"Twitter Web App"
Fuctupmind,"ID 1606918674404806657","Sun Dec 25 07:44:01 +0000 2022"," Goodnight folks #sleep

Merry Christmas 🎄",https://twitter.com/Fuctupmind/statuses/1606918674404806657,3,39,"Twitter Web App"
Fuctupmind,"ID 1606918106328227840","Sun Dec 25 07:41:46 +0000 2022"," If you've never been forcefully fucked in the mouth, this is what it feels. https://t.co/PCAAPPX7sF",https://twitter.com/Fuctupmind/statuses/1606918106328227840,4,33,"Twitter Web App"
Fuctupmind,"ID 1606917663783092225","Sun Dec 25 07:40:00 +0000 2022"," Who didn't see that coming?

Except everyone. https://t.co/1R4FCSNT8w",https://twitter.com/Fuctupmind/statuses/1606917663783092225,10,58,"Twitter Web App"
Fuctupmind,"ID 1606672330230566912","Sat Dec 24 15:25:08 +0000 2022"," Happy Birthday buddy! @RealSaltySlim",https://twitter.com/Fuctupmind/statuses/1606672330230566912,2,9,"Twitter Web App"
Fuctupmind,"ID 1606671682323812356","Sat Dec 24 15:22:34 +0000 2022"," America last. https://t.co/EkgiKI7gFC",https://twitter.com/Fuctupmind/statuses/1606671682323812356,11,36,"Twitter Web App"
Fuctupmind,"ID 1606664041010761729","Sat Dec 24 14:52:12 +0000 2022"," Good morning ☕☕🇺🇸",https://twitter.com/Fuctupmind/statuses/1606664041010761729,2,40,"Twitter Web App"
Fuctupmind,"ID 1606245131446730753","Fri Dec 23 11:07:36 +0000 2022"," Good morning ☕☕🇺🇸",https://twitter.com/Fuctupmind/statuses/1606245131446730753,6,65,"Twitter Web App"
Fuctupmind,"ID 1606155940260036609","Fri Dec 23 05:13:11 +0000 2022"," Goodnight folks #sleep",https://twitter.com/Fuctupmind/statuses/1606155940260036609,0,18,"Twitter Web App"
Fuctupmind,"ID 1606155903249457153","Fri Dec 23 05:13:02 +0000 2022"," Bro. https://t.co/KfOe2BlC4Q",https://twitter.com/Fuctupmind/statuses/1606155903249457153,0,9,"Twitter Web App"
Fuctupmind,"ID 1606091652115959808","Fri Dec 23 00:57:44 +0000 2022"," RT @OfficeOfMike: Twitter just locked out my good friend @thebradfordfile without giving him a reason. @elonmusk please fix this! https://t…",https://twitter.com/Fuctupmind/statuses/1606091652115959808,856,0,"Twitter Web App"
Fuctupmind,"ID 1606091631794393088","Fri Dec 23 00:57:39 +0000 2022"," For tweeting a picture of Zelensky. https://t.co/h5C1Ttqinq",https://twitter.com/Fuctupmind/statuses/1606091631794393088,14,35,"Twitter Web App"
Fuctupmind,"ID 1606091412201775104","Fri Dec 23 00:56:47 +0000 2022"," RT @fuctmind: https://t.co/3N85Yt2DaV",https://twitter.com/Fuctupmind/statuses/1606091412201775104,69,0,"Twitter Web App"
Fuctupmind,"ID 1606091384850563075","Fri Dec 23 00:56:40 +0000 2022"," RT @fuctmind: @JackPosobiec I got the exact same suspension.

Apparently there is something or some group mass reporting this specific imag…",https://twitter.com/Fuctupmind/statuses/1606091384850563075,21,0,"Twitter Web App"
Fuctupmind,"ID 1606091353800089600","Fri Dec 23 00:56:33 +0000 2022"," RT @fuctmind: @JackPosobiec @BowTiedRanger Exact same thing.

CC: @elonmusk https://t.co/PtOGJwblR8",https://twitter.com/Fuctupmind/statuses/1606091353800089600,25,0,"Twitter Web App"
