"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
GodCloseMyEyes,"ID 1621318506519138306","Fri Feb 03 01:23:49 +0000 2023"," https://t.co/p9NvYWHe8Q",https://twitter.com/GodCloseMyEyes/statuses/1621318506519138306,3,29,"Twitter for Android"
GodCloseMyEyes,"ID 1621304891590189058","Fri Feb 03 00:29:43 +0000 2023"," to the extent we think these are the same might just be due to a radical deemphasis on anything that can only be expressed as a learned skill possessed by the soul.",https://twitter.com/GodCloseMyEyes/statuses/1621304891590189058,1,56,"Twitter for Android"
GodCloseMyEyes,"ID 1621304559346876417","Fri Feb 03 00:28:23 +0000 2023"," learning an art like an instrument or language shows how insufficient the immediate availability of information as a substitute for real knowledge is. it's either inside you or it isn't.",https://twitter.com/GodCloseMyEyes/statuses/1621304559346876417,10,205,"Twitter for Android"
GodCloseMyEyes,"ID 1621300367060246528","Fri Feb 03 00:11:44 +0000 2023"," remember to check something on your phone. look at twitter instead. decide to stop and put the phone down. go back to what you were doing. remember it was checking something on your phone. pick it up. look at...",https://twitter.com/GodCloseMyEyes/statuses/1621300367060246528,6,144,"Twitter for Android"
GodCloseMyEyes,"ID 1621290925933592576","Thu Feb 02 23:34:13 +0000 2023"," RT @davidcrockettfa: New effort post! Translation of Jacques Le Rider interview with Ernst Jünger in 1982!  Nature of writing, role of the…",https://twitter.com/GodCloseMyEyes/statuses/1621290925933592576,39,0,"Twitter for Android"
GodCloseMyEyes,"ID 1621201658494558208","Thu Feb 02 17:39:30 +0000 2023"," speak of the devil, and he shall appear https://t.co/wZlVqFxpKe https://t.co/7seVnBniQr",https://twitter.com/GodCloseMyEyes/statuses/1621201658494558208,5,142,"Twitter for Android"
GodCloseMyEyes,"ID 1620964641257013251","Thu Feb 02 01:57:41 +0000 2023"," https://t.co/9spMTx3YxZ",https://twitter.com/GodCloseMyEyes/statuses/1620964641257013251,352,2888,"Twitter for Android"
GodCloseMyEyes,"ID 1620922936764014592","Wed Feb 01 23:11:58 +0000 2023"," @kessler_ulrich wyndham lewis",https://twitter.com/GodCloseMyEyes/statuses/1620922936764014592,0,3,"Twitter for Android"
GodCloseMyEyes,"ID 1620922190509096961","Wed Feb 01 23:09:00 +0000 2023"," the art of being ruled https://t.co/GBBBzavsWr",https://twitter.com/GodCloseMyEyes/statuses/1620922190509096961,4,46,"Twitter for Android"
GodCloseMyEyes,"ID 1620917870069972994","Wed Feb 01 22:51:50 +0000 2023"," RT @AccelerateNRx: ""Why don't they just shoot him in the leg?"" Goofies in shambles",https://twitter.com/GodCloseMyEyes/statuses/1620917870069972994,42,0,"Twitter for Android"
GodCloseMyEyes,"ID 1620915827385180160","Wed Feb 01 22:43:43 +0000 2023"," ""the good ruler, like the good artist, can be recognized at once by the inflexible discomfort of his life; isolation, further, being essential""",https://twitter.com/GodCloseMyEyes/statuses/1620915827385180160,18,163,"Twitter for Android"
GodCloseMyEyes,"ID 1620907974498680832","Wed Feb 01 22:12:30 +0000 2023"," men, both rulers &amp; ruled, excuse their behavior using the contingencies of life that restrain their choices. in vain do we search for a man who chooses evil for the sake of evil. the inescapable disorder of original sin.",https://twitter.com/GodCloseMyEyes/statuses/1620907974498680832,3,48,"Twitter for Android"
GodCloseMyEyes,"ID 1620897704489672705","Wed Feb 01 21:31:42 +0000 2023"," he was a courteous, just, and amiable prince, &amp; he was, of course, stabbed in the stomach at last for his pains",https://twitter.com/GodCloseMyEyes/statuses/1620897704489672705,1,37,"Twitter for Android"
GodCloseMyEyes,"ID 1620870063724302336","Wed Feb 01 19:41:52 +0000 2023"," RT @LachCartwright: Former ABC News producer James Gordon Meek has been charged with transportation of child porn. Despite a report by Roll…",https://twitter.com/GodCloseMyEyes/statuses/1620870063724302336,53,0,"Twitter for Android"
GodCloseMyEyes,"ID 1620822869726105601","Wed Feb 01 16:34:20 +0000 2023"," the recent AI audio edits of peterson are unironically more reasonable than this clip https://t.co/7yJDgNgv55",https://twitter.com/GodCloseMyEyes/statuses/1620822869726105601,14,267,"Twitter for Android"
GodCloseMyEyes,"ID 1620814464881922048","Wed Feb 01 16:00:56 +0000 2023"," ince...eak...my last trans...ission...from the future...it all started...with you...DO NOT HAV...EX...she's will...message soon...you must...urder her...it's the only way...sol brah out... https://t.co/gdee6TlElD",https://twitter.com/GodCloseMyEyes/statuses/1620814464881922048,119,1066,"Twitter for Android"
GodCloseMyEyes,"ID 1620566250903699458","Tue Jan 31 23:34:37 +0000 2023"," the second greatest story never told https://t.co/RIA7kmZdCG",https://twitter.com/GodCloseMyEyes/statuses/1620566250903699458,11,233,"Twitter for Android"
GodCloseMyEyes,"ID 1620456655686336512","Tue Jan 31 16:19:08 +0000 2023"," the art of being ruled https://t.co/SsvYuWFFHX",https://twitter.com/GodCloseMyEyes/statuses/1620456655686336512,7,33,"Twitter for Android"
GodCloseMyEyes,"ID 1620453278613147653","Tue Jan 31 16:05:42 +0000 2023"," two problems here: the analogy doesn't hold and human organization doesn't progress as technology does, &amp; scientific stagnation erodes the modern basis for political optimism",https://twitter.com/GodCloseMyEyes/statuses/1620453278613147653,1,34,"Twitter for Android"
GodCloseMyEyes,"ID 1620453277333856256","Tue Jan 31 16:05:42 +0000 2023"," political &amp; social progress based upon generalizing scientific &amp; technological progress, where the new as such is favored to the old",https://twitter.com/GodCloseMyEyes/statuses/1620453277333856256,2,41,"Twitter for Android"
GodCloseMyEyes,"ID 1620240308977143809","Tue Jan 31 01:59:26 +0000 2023"," https://t.co/4vJmgJpRjd",https://twitter.com/GodCloseMyEyes/statuses/1620240308977143809,2,111,"Twitter for Android"
