"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
HardyWalking,"ID 1621444723536760832","Fri Feb 03 09:45:21 +0000 2023"," Gn I made my sleep schedule worse",https://twitter.com/HardyWalking/statuses/1621444723536760832,0,33,"Twitter for Android"
HardyWalking,"ID 1621383586011021312","Fri Feb 03 05:42:25 +0000 2023"," @yemiyeyo I avow",https://twitter.com/HardyWalking/statuses/1621383586011021312,0,15,"Twitter for Android"
HardyWalking,"ID 1621290503009353729","Thu Feb 02 23:32:32 +0000 2023"," @SteveFranssen 🤨 them too huh?",https://twitter.com/HardyWalking/statuses/1621290503009353729,0,4,"Twitter for Android"
HardyWalking,"ID 1621288372214824964","Thu Feb 02 23:24:04 +0000 2023"," @ToddHowardSigma We love our moms",https://twitter.com/HardyWalking/statuses/1621288372214824964,0,4,"Twitter for Android"
HardyWalking,"ID 1621272174181990400","Thu Feb 02 22:19:42 +0000 2023"," @ToddHowardSigma https://t.co/CyCkbOyg8Z",https://twitter.com/HardyWalking/statuses/1621272174181990400,0,3,"Twitter for Android"
HardyWalking,"ID 1621252897160806403","Thu Feb 02 21:03:06 +0000 2023"," Please help out anyway you can! https://t.co/vXaDJUhbd3",https://twitter.com/HardyWalking/statuses/1621252897160806403,5,23,"Twitter for Android"
HardyWalking,"ID 1621246366780428290","Thu Feb 02 20:37:09 +0000 2023"," @veder_greg @bakedalaska https://t.co/OL1iRSebvA",https://twitter.com/HardyWalking/statuses/1621246366780428290,0,2,"Twitter for Android"
HardyWalking,"ID 1621235608898211840","Thu Feb 02 19:54:24 +0000 2023"," @veder_greg @bakedalaska Portuguese is a race",https://twitter.com/HardyWalking/statuses/1621235608898211840,0,2,"Twitter for Android"
HardyWalking,"ID 1621226224130351106","Thu Feb 02 19:17:07 +0000 2023"," @bakedalaska I feel left out",https://twitter.com/HardyWalking/statuses/1621226224130351106,0,17,"Twitter for Android"
HardyWalking,"ID 1621224700377456642","Thu Feb 02 19:11:04 +0000 2023"," @bakedalaska FREE MY MANS",https://twitter.com/HardyWalking/statuses/1621224700377456642,0,31,"Twitter for Android"
HardyWalking,"ID 1621224237754204161","Thu Feb 02 19:09:13 +0000 2023"," RT @bakedalaska: I lost my entire life savings gambling today.

This is what happens when the matrix attacks you.",https://twitter.com/HardyWalking/statuses/1621224237754204161,44,0,"Twitter for Android"
HardyWalking,"ID 1621068237420236804","Thu Feb 02 08:49:20 +0000 2023"," @Shrek_Fan_1776 Can't go wrong with cherry",https://twitter.com/HardyWalking/statuses/1621068237420236804,0,1,"Twitter for Android"
HardyWalking,"ID 1621067592613109760","Thu Feb 02 08:46:46 +0000 2023"," @realRJChizmadia Uhhh, I'll be the zombie then 😏",https://twitter.com/HardyWalking/statuses/1621067592613109760,0,6,"Twitter for Android"
HardyWalking,"ID 1621067476875481088","Thu Feb 02 08:46:19 +0000 2023"," @Mason4america21 Nah",https://twitter.com/HardyWalking/statuses/1621067476875481088,0,2,"Twitter for Android"
HardyWalking,"ID 1621067444013117440","Thu Feb 02 08:46:11 +0000 2023"," RT @ToddHowardSigma: https://t.co/4QVNVlmDQ7",https://twitter.com/HardyWalking/statuses/1621067444013117440,18,0,"Twitter for Android"
HardyWalking,"ID 1621065703846731776","Thu Feb 02 08:39:16 +0000 2023"," @Joeyguardian That happens anyways",https://twitter.com/HardyWalking/statuses/1621065703846731776,0,4,"Twitter for Android"
HardyWalking,"ID 1621065167240044545","Thu Feb 02 08:37:08 +0000 2023"," I'm kinda bored, might get vaxed?

Change my mind",https://twitter.com/HardyWalking/statuses/1621065167240044545,0,66,"Twitter for Android"
HardyWalking,"ID 1621055692957433856","Thu Feb 02 07:59:29 +0000 2023"," RT @zgpilled: Harris Walker?! He’s a flubeepin spurg!!!",https://twitter.com/HardyWalking/statuses/1621055692957433856,1,0,"Twitter for Android"
HardyWalking,"ID 1620683482602274816","Wed Feb 01 07:20:27 +0000 2023"," I'm exhausted",https://twitter.com/HardyWalking/statuses/1620683482602274816,0,31,"Twitter for Android"
HardyWalking,"ID 1620495561966362626","Tue Jan 31 18:53:43 +0000 2023"," I'm live rn covering the weird letter drama thing

https://t.co/X5Lq7t4n0Z",https://twitter.com/HardyWalking/statuses/1620495561966362626,4,14,"Twitter for Android"
HardyWalking,"ID 1620253794675359745","Tue Jan 31 02:53:02 +0000 2023"," @gayprezoh 👎🏻 Lord's Name in vain",https://twitter.com/HardyWalking/statuses/1620253794675359745,1,7,"Twitter for Android"
HardyWalking,"ID 1620206370674085888","Mon Jan 30 23:44:35 +0000 2023"," @internetursidae So he should die? Dawg just admit it was a bad post",https://twitter.com/HardyWalking/statuses/1620206370674085888,0,2,"Twitter for Android"
HardyWalking,"ID 1620205760918716418","Mon Jan 30 23:42:10 +0000 2023"," @internetursidae You want him to die in a state of sin?",https://twitter.com/HardyWalking/statuses/1620205760918716418,0,2,"Twitter for Android"
HardyWalking,"ID 1620205295476826112","Mon Jan 30 23:40:19 +0000 2023"," @internetursidae 👎🏻",https://twitter.com/HardyWalking/statuses/1620205295476826112,0,4,"Twitter for Android"
HardyWalking,"ID 1620201197847334913","Mon Jan 30 23:24:02 +0000 2023"," @xtianpixel @angloontheapp If you (prot) think Orthos go to Heaven, the Pope says it's a sin to convert the Orthodox, and the Orthos think only they go to heaven, isn't the only safe bet to become Orthodox?",https://twitter.com/HardyWalking/statuses/1620201197847334913,0,0,"Twitter for Android"
HardyWalking,"ID 1620196361705779200","Mon Jan 30 23:04:49 +0000 2023"," @xtianpixel @angloontheapp Do you think Orthos go to heaven?",https://twitter.com/HardyWalking/statuses/1620196361705779200,0,0,"Twitter for Android"
HardyWalking,"ID 1620190010032136193","Mon Jan 30 22:39:34 +0000 2023"," @Kaleb_Atlanta And he was right 😢",https://twitter.com/HardyWalking/statuses/1620190010032136193,0,1,"Twitter for Android"
HardyWalking,"ID 1620182234610417673","Mon Jan 30 22:08:40 +0000 2023"," @BonoBono_Man Told you so",https://twitter.com/HardyWalking/statuses/1620182234610417673,1,15,"Twitter for Android"
HardyWalking,"ID 1620179171489243136","Mon Jan 30 21:56:30 +0000 2023"," @ToddHowardSigma https://t.co/Lvp6wcxAZ0",https://twitter.com/HardyWalking/statuses/1620179171489243136,0,1,"Twitter for Android"
HardyWalking,"ID 1620093127158808579","Mon Jan 30 16:14:36 +0000 2023"," @cozynicker Too long not reading",https://twitter.com/HardyWalking/statuses/1620093127158808579,0,8,"Twitter for Android"
HardyWalking,"ID 1620091132792434688","Mon Jan 30 16:06:40 +0000 2023"," You can see the misery and pain in the way someone like this types. They are obviously sick. What's to be done with such people? https://t.co/RMZpANQbi7",https://twitter.com/HardyWalking/statuses/1620091132792434688,2,39,"Twitter for Android"
HardyWalking,"ID 1620088700532293636","Mon Jan 30 15:57:00 +0000 2023"," @Fantast65132950 Music evokes emotions, your thinking is altered. Sit by yourself in quiet.",https://twitter.com/HardyWalking/statuses/1620088700532293636,1,3,"Twitter for Android"
HardyWalking,"ID 1620088271664713728","Mon Jan 30 15:55:18 +0000 2023"," @Fantast65132950 That's not correct",https://twitter.com/HardyWalking/statuses/1620088271664713728,0,3,"Twitter for Android"
HardyWalking,"ID 1620087787801432066","Mon Jan 30 15:53:23 +0000 2023"," People use music to avoid self reflection. It's unhealthy to always have something playing. Music is a delicacy or a luxury, like dessert.",https://twitter.com/HardyWalking/statuses/1620087787801432066,6,50,"Twitter for Android"
HardyWalking,"ID 1620086999251312640","Mon Jan 30 15:50:15 +0000 2023"," RT @RetardOExtremeO: https://t.co/12JLqOhqno",https://twitter.com/HardyWalking/statuses/1620086999251312640,5,0,"Twitter for Android"
HardyWalking,"ID 1620086520798642176","Mon Jan 30 15:48:20 +0000 2023"," @xtianpixel @BGDChocsin Do you think Orthodox go to heaven?",https://twitter.com/HardyWalking/statuses/1620086520798642176,0,2,"Twitter for Android"
HardyWalking,"ID 1620086063594348545","Mon Jan 30 15:46:31 +0000 2023"," @xtianpixel @BGDChocsin Damn that's crazy",https://twitter.com/HardyWalking/statuses/1620086063594348545,0,4,"Twitter for Android"
HardyWalking,"ID 1620057932095459330","Mon Jan 30 13:54:44 +0000 2023"," @MANwithCOME69 You entire bit is ""ironically"" simping, shut your goofy ass up. Grown man tweeting like a 14 year old girl.",https://twitter.com/HardyWalking/statuses/1620057932095459330,0,4,"Twitter for Android"
HardyWalking,"ID 1619975539292540928","Mon Jan 30 08:27:20 +0000 2023"," I wanna get a flip phone",https://twitter.com/HardyWalking/statuses/1619975539292540928,0,43,"Twitter for Android"
HardyWalking,"ID 1619972666986987520","Mon Jan 30 08:15:56 +0000 2023"," Rip my sleep schedule",https://twitter.com/HardyWalking/statuses/1619972666986987520,0,30,"Twitter for Android"
HardyWalking,"ID 1619926106626469888","Mon Jan 30 05:10:55 +0000 2023"," @Johnnyvitale95 You obviously don't get it",https://twitter.com/HardyWalking/statuses/1619926106626469888,0,2,"Twitter for Android"
HardyWalking,"ID 1619924346616827905","Mon Jan 30 05:03:55 +0000 2023"," @Johnnyvitale95 Neurotypical spotted",https://twitter.com/HardyWalking/statuses/1619924346616827905,0,3,"Twitter for Android"
HardyWalking,"ID 1619922462573228032","Mon Jan 30 04:56:26 +0000 2023"," Honestly, ever since I could remember I've always had the belief my parents would outlive and I'd die in my youth.",https://twitter.com/HardyWalking/statuses/1619922462573228032,0,10,"Twitter for Android"
HardyWalking,"ID 1619920419875876864","Mon Jan 30 04:48:19 +0000 2023"," @Fredo_2023 Yeah, my stomach is upset because I smoked a cigarette two days ago. Go bother someone else with your obsession, hating cigarettes is so banal and ubiquitous. The same people outraged that I'm antivac are mad I smoke",https://twitter.com/HardyWalking/statuses/1619920419875876864,0,5,"Twitter for Android"
HardyWalking,"ID 1619915027808649217","Mon Jan 30 04:26:53 +0000 2023"," I feel unwell. I must have something.",https://twitter.com/HardyWalking/statuses/1619915027808649217,0,45,"Twitter for Android"
HardyWalking,"ID 1619733572642037766","Sun Jan 29 16:25:51 +0000 2023"," Had breakfast and coffee and now I'm laying under my cozy blanket watching YT videos 😊😊",https://twitter.com/HardyWalking/statuses/1619733572642037766,0,14,"Twitter for Android"
HardyWalking,"ID 1619716566345736194","Sun Jan 29 15:18:16 +0000 2023"," Gm my head hurts",https://twitter.com/HardyWalking/statuses/1619716566345736194,0,51,"Twitter for Android"
HardyWalking,"ID 1619210537711329281","Sat Jan 28 05:47:30 +0000 2023"," @TopGato1791 https://t.co/AqgNVjkGn5",https://twitter.com/HardyWalking/statuses/1619210537711329281,0,7,"Twitter for Android"
HardyWalking,"ID 1619208663255904258","Sat Jan 28 05:40:03 +0000 2023"," I'm wholesome on the streets, chungus in the sheets",https://twitter.com/HardyWalking/statuses/1619208663255904258,2,43,"Twitter for Android"
HardyWalking,"ID 1619136096939671555","Sat Jan 28 00:51:42 +0000 2023"," @gutterfreak Uhhh, I can't find rn but it's just sad",https://twitter.com/HardyWalking/statuses/1619136096939671555,0,1,"Twitter for Android"
HardyWalking,"ID 1619135853057671169","Sat Jan 28 00:50:44 +0000 2023"," Fitting that a protestant would identify with the ""anarcho-capitalism ball."" Are you guys still using Arizona ice tea and Skittles Communion? https://t.co/z4a9G5Uvkm https://t.co/0AkCRPYI3z",https://twitter.com/HardyWalking/statuses/1619135853057671169,0,16,"Twitter for Android"
HardyWalking,"ID 1619119390158618625","Fri Jan 27 23:45:19 +0000 2023"," Call me a libcuck or whatever but I didn't think Paul Pelosi getting struck in the head with a hammer and losing consciousness was funny.",https://twitter.com/HardyWalking/statuses/1619119390158618625,1,27,"Twitter for Android"
HardyWalking,"ID 1618272024836870145","Wed Jan 25 15:38:11 +0000 2023"," @bakedalaska @ali @elonmusk @ellagirwin @esthercrawford This is so wrong. I've seen screenshots indicating people were using bots to mass report them. Free @NickJFuentes Free @ali",https://twitter.com/HardyWalking/statuses/1618272024836870145,12,158,"Twitter for Android"
