"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Lady_Astor,"ID 1621667450235371520","Sat Feb 04 00:30:23 +0000 2023"," This thread https://t.co/3FLZPyboff",https://twitter.com/Lady_Astor/statuses/1621667450235371520,4,35,"Twitter for iPhone"
Lady_Astor,"ID 1621667416949379072","Sat Feb 04 00:30:15 +0000 2023"," @Aristos_Revenge I’m a jaded but hopeful Gen X with lust for life and I’m here for the ride. https://t.co/4Ikik9YXyn",https://twitter.com/Lady_Astor/statuses/1621667416949379072,0,9,"Twitter for iPhone"
Lady_Astor,"ID 1621665155808481281","Sat Feb 04 00:21:16 +0000 2023"," @SebaZ3 @reaxionario En una época les decían ménades.",https://twitter.com/Lady_Astor/statuses/1621665155808481281,0,1,"Twitter for iPhone"
Lady_Astor,"ID 1621603765286486019","Fri Feb 03 20:17:20 +0000 2023"," RT @EvaVlaar: 🚨SOS🚨

Do you remember the Dutch farmers? 

They need your help.

The Dutch government has doubled down on their expropriatio…",https://twitter.com/Lady_Astor/statuses/1621603765286486019,11130,0,"Twitter for iPhone"
Lady_Astor,"ID 1621595118452068354","Fri Feb 03 19:42:58 +0000 2023"," @Simpartido @Spenceriano Gracias. Es esto. Es solo volver a esto.",https://twitter.com/Lady_Astor/statuses/1621595118452068354,0,3,"Twitter Web App"
Lady_Astor,"ID 1621595044581965824","Fri Feb 03 19:42:41 +0000 2023"," RT @Simpartido: @Spenceriano Las leyes tienen que ser simples y no distinguir orígenes.

Cuando Iustitia se quita la venda, deja de ser imp…",https://twitter.com/Lady_Astor/statuses/1621595044581965824,6,0,"Twitter Web App"
Lady_Astor,"ID 1621595016547164163","Fri Feb 03 19:42:34 +0000 2023"," RT @Spenceriano: Muy importantes de este caso los chats entre Paez y Esposito valenti en los que se dice que si el padre de Lucio hace algo…",https://twitter.com/Lady_Astor/statuses/1621595016547164163,142,0,"Twitter Web App"
Lady_Astor,"ID 1621590890199277570","Fri Feb 03 19:26:10 +0000 2023"," @ntx_vdcrx The synthesis of that with May 68 French was a disaster for the Western race.",https://twitter.com/Lady_Astor/statuses/1621590890199277570,1,2,"Twitter Web App"
Lady_Astor,"ID 1621590683378237445","Fri Feb 03 19:25:21 +0000 2023"," @pmmeuhsLyce @buttonslives @Disney Is it s history lesson? Or biased rewrite by ideologues? Does this represent the remaining 87% population of US, even? And yes, China does have dirty laundry, but Mulan was good representation of their ancient culture.",https://twitter.com/Lady_Astor/statuses/1621590683378237445,0,1,"Twitter Web App"
Lady_Astor,"ID 1621586112622772226","Fri Feb 03 19:07:11 +0000 2023"," @AuronMacintyre @average_ape @TyCardon Nate did a good job. I'm keeping an eye on him.",https://twitter.com/Lady_Astor/statuses/1621586112622772226,0,2,"Twitter Web App"
Lady_Astor,"ID 1621585704454180866","Fri Feb 03 19:05:34 +0000 2023"," @Kaltencvnt THANK YOU :)",https://twitter.com/Lady_Astor/statuses/1621585704454180866,0,1,"Twitter Web App"
Lady_Astor,"ID 1621585355878141954","Fri Feb 03 19:04:11 +0000 2023"," @grahamjthorne When did society forget this?",https://twitter.com/Lady_Astor/statuses/1621585355878141954,0,2,"Twitter Web App"
Lady_Astor,"ID 1621582543140130816","Fri Feb 03 18:53:00 +0000 2023"," @NicAnkush Usually, they would. But as you know there are no more takers. Unless they draft.",https://twitter.com/Lady_Astor/statuses/1621582543140130816,0,1,"Twitter Web App"
Lady_Astor,"ID 1621581881681534984","Fri Feb 03 18:50:22 +0000 2023"," RT @FrancoVRinaldi: Cómo no va a volver",https://twitter.com/Lady_Astor/statuses/1621581881681534984,3,0,"Twitter Web App"
Lady_Astor,"ID 1621581758977253378","Fri Feb 03 18:49:53 +0000 2023"," @bitsofpaul I have read History and angry surplus young men are bad bad news.",https://twitter.com/Lady_Astor/statuses/1621581758977253378,1,9,"Twitter Web App"
Lady_Astor,"ID 1621580902777196546","Fri Feb 03 18:46:29 +0000 2023"," @VorGuardian @DuosEquis https://t.co/OVy5IieT9A",https://twitter.com/Lady_Astor/statuses/1621580902777196546,0,2,"Twitter Web App"
Lady_Astor,"ID 1621580350127235072","Fri Feb 03 18:44:17 +0000 2023"," RT @megbasham: When it was fine to go to liquor stores, weed shops, and strip clubs, but not to church.",https://twitter.com/Lady_Astor/statuses/1621580350127235072,67,0,"Twitter Web App"
Lady_Astor,"ID 1621580228244938752","Fri Feb 03 18:43:48 +0000 2023"," RT @DuosEquis: @Lady_Astor https://t.co/crjsCP6oZe",https://twitter.com/Lady_Astor/statuses/1621580228244938752,1,0,"Twitter Web App"
Lady_Astor,"ID 1621579866935009286","Fri Feb 03 18:42:22 +0000 2023"," If you will not help them for charity, at least do it because of fear. https://t.co/wpUoQ0BJty",https://twitter.com/Lady_Astor/statuses/1621579866935009286,4,29,"Twitter Web App"
Lady_Astor,"ID 1621579222018887684","Fri Feb 03 18:39:48 +0000 2023"," RT @dovesandletters: Oh, so that's what porn is for.",https://twitter.com/Lady_Astor/statuses/1621579222018887684,6,0,"Twitter Web App"
Lady_Astor,"ID 1621579044230676483","Fri Feb 03 18:39:06 +0000 2023"," @Rigoletto1243 🤣🤣🤣",https://twitter.com/Lady_Astor/statuses/1621579044230676483,0,1,"Twitter Web App"
Lady_Astor,"ID 1621578361347653633","Fri Feb 03 18:36:23 +0000 2023"," @Rigoletto1243 Una importante mojada de oreja del Tio Xi.",https://twitter.com/Lady_Astor/statuses/1621578361347653633,0,1,"Twitter Web App"
Lady_Astor,"ID 1621578178987794434","Fri Feb 03 18:35:39 +0000 2023"," @ArteDicha ""You May Live To See Man-Made Horrors Beyond Your Comprehension.""  Lo dijo en una exhibicion sobre la electricidad en 1898, que se hizo en el Madison Square Garden mientras demostraba como podia controlar un bote a control remoto.",https://twitter.com/Lady_Astor/statuses/1621578178987794434,0,1,"Twitter Web App"
Lady_Astor,"ID 1621577057154088960","Fri Feb 03 18:31:12 +0000 2023"," He'd taken care of it. https://t.co/n4HLsT3zkr https://t.co/ScXdy6oCz4",https://twitter.com/Lady_Astor/statuses/1621577057154088960,1,20,"Twitter Web App"
Lady_Astor,"ID 1621576387017555968","Fri Feb 03 18:28:32 +0000 2023"," @ArteDicha Como la frase esa de Tesla que dice: viviras para ver horrores hechos por el hombre mas alla de tu comprension.",https://twitter.com/Lady_Astor/statuses/1621576387017555968,0,1,"Twitter Web App"
Lady_Astor,"ID 1621573445170388992","Fri Feb 03 18:16:51 +0000 2023"," @I_N_Ramos13 🤣🤣🤣",https://twitter.com/Lady_Astor/statuses/1621573445170388992,0,0,"Twitter Web App"
Lady_Astor,"ID 1621573360504262659","Fri Feb 03 18:16:31 +0000 2023"," @I_N_Ramos13 NO NO hahaha",https://twitter.com/Lady_Astor/statuses/1621573360504262659,0,0,"Twitter Web App"
