"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
LaurenWitzkeDE,"ID 1621680658203426816","Sat Feb 04 01:22:52 +0000 2023"," Alleged explosions and jet sightings happening above the skies of Montana right now. https://t.co/OICKwvcJuR",https://twitter.com/LaurenWitzkeDE/statuses/1621680658203426816,18,52,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621618906329661448","Fri Feb 03 21:17:30 +0000 2023"," That's a ‘City of Brotherly Love’ welcome for you! https://t.co/dmMaRBZjqU",https://twitter.com/LaurenWitzkeDE/statuses/1621618906329661448,7,59,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621601389897027588","Fri Feb 03 20:07:53 +0000 2023"," Brain dead baby maker",https://twitter.com/LaurenWitzkeDE/statuses/1621601389897027588,1,21,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621598637464715266","Fri Feb 03 19:56:57 +0000 2023"," NIGHTMARE: Go into a coma and then wake up to find out that Dave Rubin and Pete Buttigieg used your body to harvest themselves a baby. https://t.co/9ehBSzUV3c",https://twitter.com/LaurenWitzkeDE/statuses/1621598637464715266,12,113,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621567134932369410","Fri Feb 03 17:51:46 +0000 2023"," @PObalu What is it then",https://twitter.com/LaurenWitzkeDE/statuses/1621567134932369410,0,2,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621565177970786305","Fri Feb 03 17:44:00 +0000 2023"," Yup, this was a flex. https://t.co/Zbdm3jkVOX",https://twitter.com/LaurenWitzkeDE/statuses/1621565177970786305,2,18,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621561081893195778","Fri Feb 03 17:27:43 +0000 2023"," Shooting down the China balloon would be way too much of a uniting and patriotic event.

So instead, Biden’s going to bend over and let China do whatever they want to ensure the humiliation ritual continues and that America remains the global laughing stock. https://t.co/QylauhzoTr",https://twitter.com/LaurenWitzkeDE/statuses/1621561081893195778,68,398,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621560199071809537","Fri Feb 03 17:24:13 +0000 2023"," @lerenlerenreal So brutal lol@",https://twitter.com/LaurenWitzkeDE/statuses/1621560199071809537,0,2,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621558583774019588","Fri Feb 03 17:17:48 +0000 2023"," WATCH: 45 minutes of me coping about Trump 

🤪

https://t.co/NQZ17Ft21r",https://twitter.com/LaurenWitzkeDE/statuses/1621558583774019588,1,9,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621376211736829952","Fri Feb 03 05:13:07 +0000 2023"," @vjeannek Believe me we’re working on it. You too!",https://twitter.com/LaurenWitzkeDE/statuses/1621376211736829952,0,0,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621375040708018178","Fri Feb 03 05:08:28 +0000 2023"," @vjeannek It was a whistleblower and this came from an extremely reliable source source. TN LEO. 

Memphis PD did not deny it and told us they’d be releasing a statement soon. They’re keeping this locked down tight at the moment.",https://twitter.com/LaurenWitzkeDE/statuses/1621375040708018178,0,0,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621360303932903425","Fri Feb 03 04:09:54 +0000 2023"," @slave_2_liberty Yup.",https://twitter.com/LaurenWitzkeDE/statuses/1621360303932903425,0,6,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621332730100293634","Fri Feb 03 02:20:20 +0000 2023"," A Chinese Spy balloon is flying over Montana. 

Of course, the US Government will protect any borders but our own. https://t.co/ZKGmubNDvI",https://twitter.com/LaurenWitzkeDE/statuses/1621332730100293634,126,573,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621267590474612740","Thu Feb 02 22:01:29 +0000 2023"," RT @ShannonJoyRadio: WATCH NOW——-&gt; 

🔥🔥Let’s GOOOOOO!🔥🔥

The Shannon Joy Show starts in minutes ONLY on @rumblevideo! 

The @LaurenWitzkeDE…",https://twitter.com/LaurenWitzkeDE/statuses/1621267590474612740,9,0,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621219377310752768","Thu Feb 02 18:49:55 +0000 2023"," They can drive all they want 

As long is it’s in their own country. https://t.co/nHq3I0U8a0",https://twitter.com/LaurenWitzkeDE/statuses/1621219377310752768,7,60,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621218780830474240","Thu Feb 02 18:47:32 +0000 2023"," .@RepMattGaetz have you seen this?",https://twitter.com/LaurenWitzkeDE/statuses/1621218780830474240,12,56,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621216075894382592","Thu Feb 02 18:36:47 +0000 2023"," Reporter: ""Do you think Ashli Babbit was murdered, or do you think the police officer who shot her was doing his job?"" 

McCarthy: ""I think the police officer did his job.""

Disgusting. https://t.co/OeYXf8zmRA",https://twitter.com/LaurenWitzkeDE/statuses/1621216075894382592,72,346,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621211968630562818","Thu Feb 02 18:20:28 +0000 2023"," Illegal Immigrants in Minnesota are celebrating after the Minnesota House passed a law to give them drivers licenses. 

If anyone potentially works at the Minnesota DMV, make sure to report each applicant to nearest ICE station.",https://twitter.com/LaurenWitzkeDE/statuses/1621211968630562818,46,217,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1621132423567405057","Thu Feb 02 13:04:23 +0000 2023"," You can thank Carlos and his recently arrived familia for this decrease in wages! 

Skilled trades, just like white collar tech gigs, aren't immune from the ravages of immigration. https://t.co/9r8xm9hz2n",https://twitter.com/LaurenWitzkeDE/statuses/1621132423567405057,10,67,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620977080489107456","Thu Feb 02 02:47:06 +0000 2023"," @KarlynBrainstem Lmao",https://twitter.com/LaurenWitzkeDE/statuses/1620977080489107456,0,2,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620964472407076864","Thu Feb 02 01:57:00 +0000 2023"," 5 boosters too late. 

Never forget they know that we know. https://t.co/eH7S08Sfx2",https://twitter.com/LaurenWitzkeDE/statuses/1620964472407076864,24,68,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620924302190325761","Wed Feb 01 23:17:23 +0000 2023"," They put us on LISTS ?! 

Crimes Against Humanity. https://t.co/FZf99IytmV",https://twitter.com/LaurenWitzkeDE/statuses/1620924302190325761,19,60,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620921332237049857","Wed Feb 01 23:05:35 +0000 2023"," Friday Night Fight Nights are here! https://t.co/mML5CsYurx",https://twitter.com/LaurenWitzkeDE/statuses/1620921332237049857,68,389,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620849674373709831","Wed Feb 01 18:20:50 +0000 2023"," Carlos is upset that he isn't receiving 5-Star accommodations during his stay on your dime. 

He and other illegals will continue to strike until the taxpayers provide them with top tier accommodations at the Plaza Hotel! https://t.co/6mrSbc0oPL",https://twitter.com/LaurenWitzkeDE/statuses/1620849674373709831,9,48,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620838082504433664","Wed Feb 01 17:34:47 +0000 2023"," For reference: https://t.co/UqjNt76ic0",https://twitter.com/LaurenWitzkeDE/statuses/1620838082504433664,5,27,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620834898427932678","Wed Feb 01 17:22:08 +0000 2023"," The only people Dr. Karl here is wooing to the Libertarian Party are people who want to lower the age of consent. https://t.co/YdRUYCGjJQ",https://twitter.com/LaurenWitzkeDE/statuses/1620834898427932678,4,52,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620830832448643072","Wed Feb 01 17:05:58 +0000 2023"," You are a pro-choice, LGBTQ shill who married an illegal alien. 

We’re trimming the fat out of the GOP, Per se’ https://t.co/pPrIDW56pq",https://twitter.com/LaurenWitzkeDE/statuses/1620830832448643072,2,74,"Twitter for iPhone"
LaurenWitzkeDE,"ID 1620785232441122818","Wed Feb 01 14:04:46 +0000 2023"," @PapiChulo817 Sad!",https://twitter.com/LaurenWitzkeDE/statuses/1620785232441122818,0,3,"Twitter for iPhone"
