"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
LucasGage584,"ID 1621672139853074432","Sat Feb 04 00:49:02 +0000 2023"," @historyinmemes White Privilege",https://twitter.com/LucasGage584/statuses/1621672139853074432,0,0,"Twitter Web App"
LucasGage584,"ID 1621669941345751040","Sat Feb 04 00:40:17 +0000 2023"," Exactly; its for the next generation to buy into this shit. https://t.co/1a4y7u85pa",https://twitter.com/LucasGage584/statuses/1621669941345751040,1,5,"Twitter Web App"
LucasGage584,"ID 1621669162102702081","Sat Feb 04 00:37:12 +0000 2023"," RT @blackintheempir: 500,000 people have been killed in Yemen, but your TV keeps forgetting to remind you",https://twitter.com/LucasGage584/statuses/1621669162102702081,701,0,"Twitter Web App"
LucasGage584,"ID 1621646196644143105","Fri Feb 03 23:05:56 +0000 2023"," @Gino99305922 First you must prove there is a soul that exists which could even be ""saved.""",https://twitter.com/LucasGage584/statuses/1621646196644143105,0,1,"Twitter Web App"
LucasGage584,"ID 1621645583525068803","Fri Feb 03 23:03:30 +0000 2023"," RT @LegendaryEnergy: Yikes. A deadly crime that seems to be racially motivated. 

Will this go mainstream? https://t.co/4qDy00mhFg",https://twitter.com/LucasGage584/statuses/1621645583525068803,324,0,"Twitter Web App"
LucasGage584,"ID 1621638188539207680","Fri Feb 03 22:34:07 +0000 2023"," @HighImpactFlix Exactly. Could be anything and people are just repeating what they are told. Not saying it isn't one, but how do we plebs know what it is?",https://twitter.com/LucasGage584/statuses/1621638188539207680,0,3,"Twitter Web App"
LucasGage584,"ID 1621636087931195394","Fri Feb 03 22:25:46 +0000 2023"," RT @KimIversenShow: Gearing up for a great conversation with @RobertKennedyJr. Only on @rumblevideo. 
Starting at 3pm PT/6pm ET https://t.c…",https://twitter.com/LucasGage584/statuses/1621636087931195394,70,0,"Twitter Web App"
LucasGage584,"ID 1621635711886655490","Fri Feb 03 22:24:16 +0000 2023"," @Reinhart_arw And you follow someone with all these issues? What does that say about yourself?",https://twitter.com/LucasGage584/statuses/1621635711886655490,0,0,"Twitter Web App"
LucasGage584,"ID 1621635596765593602","Fri Feb 03 22:23:49 +0000 2023"," @SrDarkMagician @jimmy_dore No. The TV claims if you don't wear your seatbelt this winter, you will die; in fact, it will be a pandemic of the non-seatbelt wearers. Then the opposite happens.",https://twitter.com/LucasGage584/statuses/1621635596765593602,0,0,"Twitter Web App"
LucasGage584,"ID 1621627874166841346","Fri Feb 03 21:53:08 +0000 2023"," @SrDarkMagician @jimmy_dore Again, they claimed all the unvaccinated would suffer terrible consequences (death) by not getting the vaccine. You're counterarguments don't address their lies.",https://twitter.com/LucasGage584/statuses/1621627874166841346,0,1,"Twitter Web App"
LucasGage584,"ID 1621621371133370368","Fri Feb 03 21:27:17 +0000 2023"," @Greeny1210 @alpharivelino can explain lol.",https://twitter.com/LucasGage584/statuses/1621621371133370368,0,1,"Twitter Web App"
LucasGage584,"ID 1621620336876740608","Fri Feb 03 21:23:11 +0000 2023"," @Questionwhatuf1 Thanks man; I'm not longer miserable lol.",https://twitter.com/LucasGage584/statuses/1621620336876740608,0,1,"Twitter Web App"
LucasGage584,"ID 1621616224076500994","Fri Feb 03 21:06:50 +0000 2023"," @SrDarkMagician @jimmy_dore We were told all the unvaccinated would face a winter of death, yet here, and everyone I know who didn't get vaxxed, are not dead.",https://twitter.com/LucasGage584/statuses/1621616224076500994,0,2,"Twitter Web App"
LucasGage584,"ID 1621613096883085315","Fri Feb 03 20:54:25 +0000 2023"," My first appearance on @KimIversenShow a few weeks ago, discussing #UkraineRussianWar. Just sharing on this account since everyone here missed it. https://t.co/d9InFNr6cJ",https://twitter.com/LucasGage584/statuses/1621613096883085315,1,2,"Twitter Web App"
LucasGage584,"ID 1621607157467680774","Fri Feb 03 20:30:49 +0000 2023"," @Sober_Colm True",https://twitter.com/LucasGage584/statuses/1621607157467680774,0,1,"Twitter for Android"
LucasGage584,"ID 1621598050648039424","Fri Feb 03 19:54:37 +0000 2023"," @Ste87italy it's in his heart.",https://twitter.com/LucasGage584/statuses/1621598050648039424,0,0,"Twitter Web App"
LucasGage584,"ID 1621597991273472000","Fri Feb 03 19:54:23 +0000 2023"," @elonmusk Elon, I think you should Blue subs at least some access to live chat when they are suspended for stupid reasons. Blue should make it harder to be suspended or locked out; there's no service on Earth that punishes its paying customers by allowing others to falsely flag them.",https://twitter.com/LucasGage584/statuses/1621597991273472000,0,4,"Twitter Web App"
LucasGage584,"ID 1621596765865533440","Fri Feb 03 19:49:31 +0000 2023"," RT @TLAVagabond: Do it! You might be surprised to learn how expansive the proposed operation was. 🌲🦠#OperationNorthwoods",https://twitter.com/LucasGage584/statuses/1621596765865533440,11,0,"Twitter Web App"
