"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
MagicBelle1,"ID 1621804330297827329","Sat Feb 04 09:34:18 +0000 2023"," @thehill Allegedly, the Memphis 5 beat down Tyre because he was messing with Demetrius Haley's ex. Haley then sent photos of Tyre beat up to his ex following the ""arrest"". Looks like it was a planned beating. https://t.co/41DaTWr5xO",https://twitter.com/MagicBelle1/statuses/1621804330297827329,3,8,"Twitter Web App"
MagicBelle1,"ID 1621793271214112769","Sat Feb 04 08:50:21 +0000 2023"," @VideoUnavailabl @JamesCavalry The media won't say it but it was clearly a hate crime. The fact Smith was telling the guy he was stabbing to death he's a ""white supremacist"" should have been their first clue.",https://twitter.com/MagicBelle1/statuses/1621793271214112769,0,0,"Twitter Web App"
MagicBelle1,"ID 1621758173030883328","Sat Feb 04 06:30:53 +0000 2023"," @Tam23951530 No one said it did. Looking at the number of cruises and international trips he has made, he certainly was not ""poor"". It's doubtful the car was stolen.",https://twitter.com/MagicBelle1/statuses/1621758173030883328,0,1,"Twitter Web App"
MagicBelle1,"ID 1621757161704509441","Sat Feb 04 06:26:52 +0000 2023"," @Dantodd927 The ""point"" is I doubt he stole the car. 🙄",https://twitter.com/MagicBelle1/statuses/1621757161704509441,0,0,"Twitter Web App"
MagicBelle1,"ID 1621749603954561024","Sat Feb 04 05:56:50 +0000 2023"," @Ropespinner2 Orange County booked him as ""Black"". He refers to himself as a black man on his  FB page.",https://twitter.com/MagicBelle1/statuses/1621749603954561024,0,0,"Twitter Web App"
MagicBelle1,"ID 1621747287100735489","Sat Feb 04 05:47:38 +0000 2023"," @Hypercarnivore @nypost @DavidSo59 The superintendent: https://t.co/qQpxWEnQsv",https://twitter.com/MagicBelle1/statuses/1621747287100735489,0,1,"Twitter Web App"
MagicBelle1,"ID 1621746359631056899","Sat Feb 04 05:43:57 +0000 2023"," @DavidSo59 He's from Jamaica.",https://twitter.com/MagicBelle1/statuses/1621746359631056899,0,10,"Twitter Web App"
MagicBelle1,"ID 1621746111626067970","Sat Feb 04 05:42:58 +0000 2023"," @DavidSo59 Orange County arrest record has him listed as Black.",https://twitter.com/MagicBelle1/statuses/1621746111626067970,1,9,"Twitter Web App"
MagicBelle1,"ID 1621733994428567556","Sat Feb 04 04:54:49 +0000 2023"," @sedis_incertae I'd prefer she receive the death penalty.",https://twitter.com/MagicBelle1/statuses/1621733994428567556,0,4,"Twitter Web App"
MagicBelle1,"ID 1621730267189727232","Sat Feb 04 04:40:00 +0000 2023"," @sedis_incertae Why would we want more of her ilk?",https://twitter.com/MagicBelle1/statuses/1621730267189727232,0,0,"Twitter Web App"
MagicBelle1,"ID 1621656002436161538","Fri Feb 03 23:44:54 +0000 2023"," @FischerKing64 https://t.co/SLy8apSoFt",https://twitter.com/MagicBelle1/statuses/1621656002436161538,0,13,"Twitter Web App"
MagicBelle1,"ID 1621630780152713224","Fri Feb 03 22:04:41 +0000 2023"," @StaanSaamSteve @steve_hofmeyr @Jay_du_Plessis @DaanBarnard @DavidRi10473263 @Klaus_Arminius @realpietretief @Gustav_Muller_ @krige_pieter @jordanbpeterson Prescient.",https://twitter.com/MagicBelle1/statuses/1621630780152713224,0,0,"Twitter Web App"
MagicBelle1,"ID 1621617231934128129","Fri Feb 03 21:10:50 +0000 2023"," @JoMaddy10 @Google The orange jumpsuit suits him: https://t.co/qwKPbrBMDZ",https://twitter.com/MagicBelle1/statuses/1621617231934128129,2,20,"Twitter Web App"
MagicBelle1,"ID 1621607975809957889","Fri Feb 03 20:34:04 +0000 2023"," @chiladtate 🎯",https://twitter.com/MagicBelle1/statuses/1621607975809957889,0,14,"Twitter Web App"
MagicBelle1,"ID 1621604837166039040","Fri Feb 03 20:21:35 +0000 2023"," @realdanlyman Witnesses claim the killer was yelling anti-White slur ""White supremacist"" as he was stabbing the victim.",https://twitter.com/MagicBelle1/statuses/1621604837166039040,2,9,"Twitter Web App"
MagicBelle1,"ID 1621602475714252800","Fri Feb 03 20:12:12 +0000 2023"," Anti-White rhetoric from this administration &amp; the media i.e. ""White supremacists are #1 domestic terrorists"", ""White oppressors"", ""systemic racism"", ""racial equity"" incites violence. Last year, over 350 White men, women &amp; children were murdered by Black suspects.",https://twitter.com/MagicBelle1/statuses/1621602475714252800,29,146,"Twitter Web App"
MagicBelle1,"ID 1621596691294986241","Fri Feb 03 19:49:13 +0000 2023"," @nypost @DavidSo59 https://t.co/Hti7mTu1kB",https://twitter.com/MagicBelle1/statuses/1621596691294986241,3,21,"Twitter Web App"
MagicBelle1,"ID 1621585868845727744","Fri Feb 03 19:06:13 +0000 2023"," In September 2022, Jakes shot and injured a man on the same property.",https://twitter.com/MagicBelle1/statuses/1621585868845727744,1,63,"Twitter Web App"
MagicBelle1,"ID 1621584384699645954","Fri Feb 03 19:00:19 +0000 2023"," @gino_stumpo @realdanlyman Yes. Shot and killed him.",https://twitter.com/MagicBelle1/statuses/1621584384699645954,2,30,"Twitter Web App"
MagicBelle1,"ID 1621583375327797248","Fri Feb 03 18:56:18 +0000 2023"," When the shooting happened, Mullins was with his little brother on the way to Dollar General to buy his favorite snack - Takis chips. 😰",https://twitter.com/MagicBelle1/statuses/1621583375327797248,5,79,"Twitter Web App"
MagicBelle1,"ID 1621579299932315648","Fri Feb 03 18:40:07 +0000 2023"," Phenix City, Alabama. 50-yr-old Tywoana Jakes has been charged with capital murder for killing 12-yr-old Connor Mullens on a lot across the street from her main residence. District Attorney Rick Chancey said she appeared to have little remorse. https://t.co/aTDsjLZvNB https://t.co/vOTousqT7Q",https://twitter.com/MagicBelle1/statuses/1621579299932315648,190,480,"Twitter Web App"
MagicBelle1,"ID 1621574401970814976","Fri Feb 03 18:20:39 +0000 2023"," @debbiea22238066 I was wondering the same thing.",https://twitter.com/MagicBelle1/statuses/1621574401970814976,0,7,"Twitter Web App"
MagicBelle1,"ID 1621565681211777025","Fri Feb 03 17:46:00 +0000 2023"," @WAVY_News Yelling slurs at him because he was White might be a clue.",https://twitter.com/MagicBelle1/statuses/1621565681211777025,3,15,"Twitter Web App"
MagicBelle1,"ID 1621564488271990785","Fri Feb 03 17:41:15 +0000 2023"," @GeorgeArmatas That and ""Emmitt Till"". 🤧",https://twitter.com/MagicBelle1/statuses/1621564488271990785,1,152,"Twitter Web App"
MagicBelle1,"ID 1621564283002785803","Fri Feb 03 17:40:26 +0000 2023"," @gafp7030 The suspect was a tax preparer. https://t.co/PABcMuAUq5",https://twitter.com/MagicBelle1/statuses/1621564283002785803,3,52,"Twitter Web App"
MagicBelle1,"ID 1621563558038327297","Fri Feb 03 17:37:34 +0000 2023"," Witnesses say the black suspect was yelling ""white privilege"" slurs at the victim he stabbed to death.  https://t.co/sZ6amvwvxa",https://twitter.com/MagicBelle1/statuses/1621563558038327297,129,338,"Twitter Web App"
MagicBelle1,"ID 1621490392871960577","Fri Feb 03 12:46:50 +0000 2023"," @CrekAppreciator @XmasVoetsek In my original tweet. Media probably won't show the suspect. https://t.co/3PaRxH9tC1",https://twitter.com/MagicBelle1/statuses/1621490392871960577,1,5,"Twitter Web App"
MagicBelle1,"ID 1621479379548127239","Fri Feb 03 12:03:04 +0000 2023"," Bystanders detained the suspect until police arrived taking him into custody. https://t.co/NFJZoZq4kT",https://twitter.com/MagicBelle1/statuses/1621479379548127239,42,156,"Twitter Web App"
MagicBelle1,"ID 1621475677093462017","Fri Feb 03 11:48:21 +0000 2023"," @HUNGEEGUMBEE Vanroy Evan Smith is an accountant and tax preparer in Long Beach. He won't be doing any tax returns this year. He's being held without bond. https://t.co/uyJRDRVMJ5",https://twitter.com/MagicBelle1/statuses/1621475677093462017,0,15,"Twitter Web App"
MagicBelle1,"ID 1621471580369948675","Fri Feb 03 11:32:04 +0000 2023"," Laguna Beach emergency room physician, Michael John Mammone, was riding his bicycle when he was hit by a car then stabbed to death. Vanroy Evan Smith drove his white Lexus into Dr. Mammone from behind, then got out and proceeded to stab the cyclist. The 2 men were not acquainted. https://t.co/8RDm2Ca5e0",https://twitter.com/MagicBelle1/statuses/1621471580369948675,296,600,"Twitter Web App"
MagicBelle1,"ID 1621470932869980160","Fri Feb 03 11:29:30 +0000 2023"," @JotusDraykn @DavidSo59 I'm not trying to ""cherry pick"". Curious why you would employ terms like ""oppression"" and ""White Supremacy""?",https://twitter.com/MagicBelle1/statuses/1621470932869980160,0,0,"Twitter Web App"
MagicBelle1,"ID 1621460880415227905","Fri Feb 03 10:49:33 +0000 2023"," @JotusDraykn @DavidSo59 @TheTriceRozay What oppression?",https://twitter.com/MagicBelle1/statuses/1621460880415227905,0,0,"Twitter Web App"
MagicBelle1,"ID 1621459813824610305","Fri Feb 03 10:45:19 +0000 2023"," @ProudAnglo81 @UnbiasedCrime Maybe the Mayor has his eyes on running for a higher office and is appealing to the Black voter by pandering. https://t.co/gUgOOncpNN",https://twitter.com/MagicBelle1/statuses/1621459813824610305,0,2,"Twitter Web App"
MagicBelle1,"ID 1621458390986760193","Fri Feb 03 10:39:40 +0000 2023"," @JotusDraykn @DavidSo59 @TheTriceRozay It's a function of demographics.",https://twitter.com/MagicBelle1/statuses/1621458390986760193,0,1,"Twitter Web App"
MagicBelle1,"ID 1621456606981398529","Fri Feb 03 10:32:34 +0000 2023"," @DavidSo59 Another Black on White beating. https://t.co/kxkkwnxVEt",https://twitter.com/MagicBelle1/statuses/1621456606981398529,0,7,"Twitter Web App"
MagicBelle1,"ID 1621455083585110020","Fri Feb 03 10:26:31 +0000 2023"," @JotusDraykn @DavidSo59 @TheTriceRozay It's also the reticence of administrators to suspend or expel violent black kids thanks to the Obama administration's commitment to abolish the ""school to prison pipeline"" because it had a ""disparate impact"".",https://twitter.com/MagicBelle1/statuses/1621455083585110020,0,2,"Twitter Web App"
MagicBelle1,"ID 1621453972530728961","Fri Feb 03 10:22:06 +0000 2023"," @DavidSo59 @JotusDraykn @TheTriceRozay And no charges have been filed on the 6 year old, parents, or the administrators, all of whom are black. The commonwealth attorney (DA) who influences whether or not to bring charges is also black. https://t.co/hF7NXhpNs4",https://twitter.com/MagicBelle1/statuses/1621453972530728961,2,11,"Twitter Web App"
MagicBelle1,"ID 1621444699331477506","Fri Feb 03 09:45:15 +0000 2023"," @magicMeef The Memphis 5 thugs? That looked like a hit. https://t.co/toaIBx98ly",https://twitter.com/MagicBelle1/statuses/1621444699331477506,1,2,"Twitter Web App"
MagicBelle1,"ID 1621441406488268800","Fri Feb 03 09:32:10 +0000 2023"," @DavidSo59 @blkmanosphere2 Brutal attack on a 9 year old girl. The thugs are out of control in the streets and the schools.",https://twitter.com/MagicBelle1/statuses/1621441406488268800,1,7,"Twitter Web App"
MagicBelle1,"ID 1621430155854872576","Fri Feb 03 08:47:28 +0000 2023"," @NightowlOzark Frost: https://t.co/pGdcd9McR2",https://twitter.com/MagicBelle1/statuses/1621430155854872576,0,2,"Twitter Web App"
MagicBelle1,"ID 1621426301226700800","Fri Feb 03 08:32:09 +0000 2023"," @TheTriceRozay The 15 and 17 year old have been arrested.  https://t.co/SpDo7Qfilm",https://twitter.com/MagicBelle1/statuses/1621426301226700800,10,45,"Twitter Web App"
MagicBelle1,"ID 1621405773321408512","Fri Feb 03 07:10:35 +0000 2023"," RT @TheTriceRozay: Middle students in #Miami filmed beating up a girl in the 3rd grade and her 10 year old big brother... https://t.co/Foh9…",https://twitter.com/MagicBelle1/statuses/1621405773321408512,64,0,"Twitter Web App"
MagicBelle1,"ID 1621396055811047426","Fri Feb 03 06:31:58 +0000 2023"," @deanbriggs Since the men had been on an armed robbery spree, I would assume robbery was the motivation.",https://twitter.com/MagicBelle1/statuses/1621396055811047426,0,2,"Twitter Web App"
MagicBelle1,"ID 1621292368623280131","Thu Feb 02 23:39:57 +0000 2023"," @wherescrewed Stay strapped my brother.",https://twitter.com/MagicBelle1/statuses/1621292368623280131,0,2,"Twitter Web App"
MagicBelle1,"ID 1621290159940435970","Thu Feb 02 23:31:10 +0000 2023"," @wherescrewed I hate it for you. I love Macon....the buildings and the history. It's so dangerous now.",https://twitter.com/MagicBelle1/statuses/1621290159940435970,0,2,"Twitter Web App"
MagicBelle1,"ID 1621289501455794176","Thu Feb 02 23:28:33 +0000 2023"," @USAtradlife 2015 Murder by an Illegal https://t.co/iwFyga2slt",https://twitter.com/MagicBelle1/statuses/1621289501455794176,0,4,"Twitter Web App"
