"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
MillerStream,"ID 1621785021546901504","Sat Feb 04 08:17:35 +0000 2023"," RT @ChineseBaloon: I am happy do not shoot America are friend and China 我爱你美国我们是朋友 🇨🇳 ❤️ 🎈",https://twitter.com/MillerStream/statuses/1621785021546901504,8,0,"Twitter for iPhone"
MillerStream,"ID 1621784084858150912","Sat Feb 04 08:13:51 +0000 2023"," @BruinGOP @john2024miller https://t.co/keW4Rn1z6z",https://twitter.com/MillerStream/statuses/1621784084858150912,0,2,"Twitter for iPhone"
MillerStream,"ID 1621772015366733826","Sat Feb 04 07:25:54 +0000 2023"," ok so he’s had lip filler and botox https://t.co/aFMNDbGpWa",https://twitter.com/MillerStream/statuses/1621772015366733826,29,185,"Twitter for iPhone"
MillerStream,"ID 1621765673541328896","Sat Feb 04 07:00:42 +0000 2023"," @giganigarapist he just like me fr https://t.co/UzYaVSKRt3",https://twitter.com/MillerStream/statuses/1621765673541328896,0,10,"Twitter for iPhone"
MillerStream,"ID 1621760138066690048","Sat Feb 04 06:38:42 +0000 2023"," https://t.co/phYQlDnkoR https://t.co/uceGTnvQzm",https://twitter.com/MillerStream/statuses/1621760138066690048,1,28,"Twitter for iPhone"
MillerStream,"ID 1621683987386355713","Sat Feb 04 01:36:06 +0000 2023"," RT @YouTube: in my cozy era",https://twitter.com/MillerStream/statuses/1621683987386355713,687,0,"Twitter for iPhone"
MillerStream,"ID 1621679709108207616","Sat Feb 04 01:19:06 +0000 2023"," gyms should be segregated by gender",https://twitter.com/MillerStream/statuses/1621679709108207616,24,223,"Twitter for iPhone"
MillerStream,"ID 1621654664222773248","Fri Feb 03 23:39:35 +0000 2023"," RT @MintChipMusic: Dressing preppy to own the libs",https://twitter.com/MillerStream/statuses/1621654664222773248,1,0,"Twitter for iPhone"
MillerStream,"ID 1621642183366557697","Fri Feb 03 22:49:59 +0000 2023"," https://t.co/GGQESOrhxy",https://twitter.com/MillerStream/statuses/1621642183366557697,4,23,"Twitter for iPhone"
MillerStream,"ID 1621635320923172864","Fri Feb 03 22:22:43 +0000 2023"," homo vibes??? from BAP? no wayyyy https://t.co/aXcmPU3qJ7 https://t.co/8CAakJhqN6",https://twitter.com/MillerStream/statuses/1621635320923172864,1,84,"Twitter for iPhone"
MillerStream,"ID 1621607387689021449","Fri Feb 03 20:31:43 +0000 2023"," okay ✡️ https://t.co/eqmaMA9q0U",https://twitter.com/MillerStream/statuses/1621607387689021449,10,183,"Twitter for iPhone"
MillerStream,"ID 1621585751619289088","Fri Feb 03 19:05:45 +0000 2023"," RT @jeremycarl4: 🧵

1/x

Of the 97 federal judges confirmed under Biden:

5 are white men

22 are black women

From LSAT data taken from a…",https://twitter.com/MillerStream/statuses/1621585751619289088,614,0,"Twitter for iPhone"
MillerStream,"ID 1621559144330428416","Fri Feb 03 17:20:01 +0000 2023"," RT @dickmasterson: No one gives a shit about this. Unban Nick Fuentes.",https://twitter.com/MillerStream/statuses/1621559144330428416,87,0,"Twitter for iPhone"
MillerStream,"ID 1621550807874424832","Fri Feb 03 16:46:54 +0000 2023"," lol https://t.co/LSvAujcy1M",https://twitter.com/MillerStream/statuses/1621550807874424832,2,109,"Twitter for iPhone"
MillerStream,"ID 1530419980507807744","Sat May 28 05:25:31 +0000 2022"," RT @MollyWop9: Same Guy https://t.co/UTV8TZZ1Q8",https://twitter.com/MillerStream/statuses/1530419980507807744,3,0,"Twitter for iPhone"
MillerStream,"ID 1507065065031176192","Thu Mar 24 18:41:26 +0000 2022"," RT @RightWingWatch: Matt Evans (aka ""Beardson Beardly"") wrote a song about Dave Rubin and his husband having children in which he repeatedl…",https://twitter.com/MillerStream/statuses/1507065065031176192,52,0,"Twitter for iPhone"
