"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
MistaBRONCO,"ID 1621692279441473536","Sat Feb 04 02:09:03 +0000 2023"," @1776Melanie THIS IS THE ORIGINAL BED...BOTH ELVIRA AND SOX TRY TO GET IN IT...BUT WHOEVER FINISHES 2ND HAS YET TO CLAIM THE PINK BED...STILL PREFER THE CLOTHES..LOL",https://twitter.com/MistaBRONCO/statuses/1621692279441473536,0,2,"Twitter Web App"
MistaBRONCO,"ID 1621643337974562816","Fri Feb 03 22:54:35 +0000 2023"," @Bagshaw15Mark LOL",https://twitter.com/MistaBRONCO/statuses/1621643337974562816,0,1,"Twitter Web App"
MistaBRONCO,"ID 1621616872591618048","Fri Feb 03 21:09:25 +0000 2023"," @TipsyPianoBar NO",https://twitter.com/MistaBRONCO/statuses/1621616872591618048,0,1,"Twitter Web App"
MistaBRONCO,"ID 1621616784255377408","Fri Feb 03 21:09:04 +0000 2023"," @HazGoneFishin LOL",https://twitter.com/MistaBRONCO/statuses/1621616784255377408,0,2,"Twitter Web App"
MistaBRONCO,"ID 1621605850128461824","Fri Feb 03 20:25:37 +0000 2023"," @TipsyPianoBar IM ON IT 👍
WAS OUT WATCHING SPACE STATION FLY BY LAST NIGHT",https://twitter.com/MistaBRONCO/statuses/1621605850128461824,0,5,"Twitter Web App"
MistaBRONCO,"ID 1621605591235055617","Fri Feb 03 20:24:35 +0000 2023"," @Meowshallah1 U2🙂",https://twitter.com/MistaBRONCO/statuses/1621605591235055617,0,2,"Twitter Web App"
MistaBRONCO,"ID 1621603036731961344","Fri Feb 03 20:14:26 +0000 2023"," I SEE YOU 👀 https://t.co/I0YKvekUC0",https://twitter.com/MistaBRONCO/statuses/1621603036731961344,3,34,"Twitter Web App"
MistaBRONCO,"ID 1621581245460418560","Fri Feb 03 18:47:51 +0000 2023"," @60Nevada THE HAT GUY SEEN ME COMING ..LOL",https://twitter.com/MistaBRONCO/statuses/1621581245460418560,0,1,"Twitter Web App"
MistaBRONCO,"ID 1621580966702743553","Fri Feb 03 18:46:44 +0000 2023"," DON'T WORRY...
ONLY 15 DAYS TO POP THE BALLOON https://t.co/nDTb7yzucq",https://twitter.com/MistaBRONCO/statuses/1621580966702743553,11,53,"Twitter Web App"
MistaBRONCO,"ID 1621569287541624832","Fri Feb 03 18:00:20 +0000 2023"," @hgjoz SOMEBODY GET A HEATHER HEAD ON THIS PRONTO ..LOL",https://twitter.com/MistaBRONCO/statuses/1621569287541624832,0,2,"Twitter Web App"
