"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
MythoAmerica,"ID 1619915083731316736","Mon Jan 30 04:27:07 +0000 2023"," goodnight ☾ https://t.co/eJcPYQQgbW",https://twitter.com/MythoAmerica/statuses/1619915083731316736,6,101,"Twitter Web App"
MythoAmerica,"ID 1619903264597876738","Mon Jan 30 03:40:09 +0000 2023"," https://t.co/GOSxbCm9EA",https://twitter.com/MythoAmerica/statuses/1619903264597876738,23,256,"Twitter Web App"
MythoAmerica,"ID 1619894677658046466","Mon Jan 30 03:06:01 +0000 2023"," https://t.co/7BfvFKFhBB",https://twitter.com/MythoAmerica/statuses/1619894677658046466,9,119,"Twitter Web App"
MythoAmerica,"ID 1619818763410628611","Sun Jan 29 22:04:22 +0000 2023"," https://t.co/N04InU0vU1",https://twitter.com/MythoAmerica/statuses/1619818763410628611,12,133,"Twitter Web App"
MythoAmerica,"ID 1619810461163323392","Sun Jan 29 21:31:23 +0000 2023"," https://t.co/ts6BuQh7my",https://twitter.com/MythoAmerica/statuses/1619810461163323392,7,77,"Twitter Web App"
MythoAmerica,"ID 1619800710471876609","Sun Jan 29 20:52:38 +0000 2023"," https://t.co/MA3t4ONv33",https://twitter.com/MythoAmerica/statuses/1619800710471876609,39,346,"Twitter Web App"
MythoAmerica,"ID 1619797241023320064","Sun Jan 29 20:38:51 +0000 2023"," wake up. https://t.co/HYiNn0fNSg",https://twitter.com/MythoAmerica/statuses/1619797241023320064,18,142,"Twitter Web App"
MythoAmerica,"ID 1619537634048749569","Sun Jan 29 03:27:16 +0000 2023"," goodnight ☾ https://t.co/kSLB62jymz",https://twitter.com/MythoAmerica/statuses/1619537634048749569,11,131,"Twitter Web App"
MythoAmerica,"ID 1619528879609356289","Sun Jan 29 02:52:28 +0000 2023"," https://t.co/almN39lRxh",https://twitter.com/MythoAmerica/statuses/1619528879609356289,8,102,"Twitter Web App"
MythoAmerica,"ID 1619514033316704256","Sun Jan 29 01:53:29 +0000 2023"," RT @Reuters: WATCH: Video footage shows a meteor streaking through the night sky over Tulsa, Oklahoma https://t.co/nlP1EBu5Ae",https://twitter.com/MythoAmerica/statuses/1619514033316704256,73,0,"Twitter Web App"
MythoAmerica,"ID 1619513963162787841","Sun Jan 29 01:53:12 +0000 2023"," RT @groopadot: Night time solo drive. https://t.co/Qun7NkT0Iu",https://twitter.com/MythoAmerica/statuses/1619513963162787841,2,0,"Twitter Web App"
MythoAmerica,"ID 1619493989505470464","Sun Jan 29 00:33:50 +0000 2023"," https://t.co/jbiy6wxrk1",https://twitter.com/MythoAmerica/statuses/1619493989505470464,26,220,"Twitter Web App"
MythoAmerica,"ID 1619222650420862977","Sat Jan 28 06:35:38 +0000 2023"," https://t.co/Kj7CmGMKHM",https://twitter.com/MythoAmerica/statuses/1619222650420862977,3,59,"Twitter Web App"
MythoAmerica,"ID 1619149896287911937","Sat Jan 28 01:46:32 +0000 2023"," https://t.co/JaQfvJEVQZ",https://twitter.com/MythoAmerica/statuses/1619149896287911937,10,153,"Twitter Web App"
MythoAmerica,"ID 1619099691706097666","Fri Jan 27 22:27:02 +0000 2023"," https://t.co/gfoqB3SeJz",https://twitter.com/MythoAmerica/statuses/1619099691706097666,9,126,"Twitter Web App"
MythoAmerica,"ID 1619093256683544578","Fri Jan 27 22:01:28 +0000 2023"," https://t.co/qw9Bzyw755",https://twitter.com/MythoAmerica/statuses/1619093256683544578,16,145,"Twitter Web App"
MythoAmerica,"ID 1619053362045136896","Fri Jan 27 19:22:56 +0000 2023"," wake up. https://t.co/0xl40gkat8",https://twitter.com/MythoAmerica/statuses/1619053362045136896,10,162,"Twitter Web App"
MythoAmerica,"ID 1619053208227442690","Fri Jan 27 19:22:20 +0000 2023"," goodnight ☾ https://t.co/suknlprgm2",https://twitter.com/MythoAmerica/statuses/1619053208227442690,3,88,"Twitter Web App"
MythoAmerica,"ID 1618846990003236864","Fri Jan 27 05:42:53 +0000 2023"," https://t.co/07AwtsQ7v8",https://twitter.com/MythoAmerica/statuses/1618846990003236864,15,203,"Twitter Web App"
MythoAmerica,"ID 1618759286821359618","Thu Jan 26 23:54:23 +0000 2023"," https://t.co/gQx8Od8sqm",https://twitter.com/MythoAmerica/statuses/1618759286821359618,33,331,"Twitter Web App"
MythoAmerica,"ID 1618742436171513857","Thu Jan 26 22:47:26 +0000 2023"," RT @Mytho_Media: https://t.co/oMFlMiuv6P",https://twitter.com/MythoAmerica/statuses/1618742436171513857,7,0,"Twitter Web App"
