"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
NeverSayDie1978,"ID 1621691950976868353","Sat Feb 04 02:07:45 +0000 2023"," RT @NotableHistory: Vivien Leigh on the set of 'Gone With the Wind' in 1939 https://t.co/TD7NlAQAxl",https://twitter.com/NeverSayDie1978/statuses/1621691950976868353,11,0,"Twitter for Android"
NeverSayDie1978,"ID 1621619688009596928","Fri Feb 03 21:20:36 +0000 2023"," RT @REBKage: “Every defeat may be made the foundation of a future victory. Every lost war may be the cause of a later resurgence. Every vis…",https://twitter.com/NeverSayDie1978/statuses/1621619688009596928,52,0,"Twitter for Android"
NeverSayDie1978,"ID 1621550353111212037","Fri Feb 03 16:45:05 +0000 2023"," @RMPAtlee @josiahreborn777 Is that a rhetorical question? Adolf Hitler",https://twitter.com/NeverSayDie1978/statuses/1621550353111212037,0,4,"Twitter for Android"
NeverSayDie1978,"ID 1621549973467987968","Fri Feb 03 16:43:35 +0000 2023"," RT @josiahreborn777: Question for the trads. Who is the more faithful Catholic? 

1) Father James Martin, who openly defends homosexuality?…",https://twitter.com/NeverSayDie1978/statuses/1621549973467987968,7,0,"Twitter for Android"
NeverSayDie1978,"ID 1621509963872083969","Fri Feb 03 14:04:36 +0000 2023"," @heathentrading Gm ✋️",https://twitter.com/NeverSayDie1978/statuses/1621509963872083969,0,1,"Twitter for Android"
NeverSayDie1978,"ID 1621508751730810882","Fri Feb 03 13:59:47 +0000 2023"," @wex_88_ Gm ✋️",https://twitter.com/NeverSayDie1978/statuses/1621508751730810882,0,1,"Twitter for Android"
NeverSayDie1978,"ID 1621508004993708033","Fri Feb 03 13:56:49 +0000 2023"," Good morning https://t.co/9RLLK1Rikk",https://twitter.com/NeverSayDie1978/statuses/1621508004993708033,0,10,"Twitter for Android"
NeverSayDie1978,"ID 1621451735603597313","Fri Feb 03 10:13:13 +0000 2023"," RT @REAL_7homas777: https://t.co/GsqyWUbNuq",https://twitter.com/NeverSayDie1978/statuses/1621451735603597313,8,0,"Twitter for Android"
NeverSayDie1978,"ID 1621380545878933504","Fri Feb 03 05:30:20 +0000 2023"," RT @josiahreborn777: @Heather_Poole @theamgreatness You should calm down. Flight attendants just aren't that important. It is a legally man…",https://twitter.com/NeverSayDie1978/statuses/1621380545878933504,4,0,"Twitter for Android"
NeverSayDie1978,"ID 1621362498183041024","Fri Feb 03 04:18:37 +0000 2023"," RT @DwightMan17: “But what kinda books are they, Jeff? What’s IN these books?!” https://t.co/gG96ppksgg",https://twitter.com/NeverSayDie1978/statuses/1621362498183041024,16,0,"Twitter for Android"
NeverSayDie1978,"ID 1621342911483842561","Fri Feb 03 03:00:47 +0000 2023"," @Spottedcanine Go out and invent a time machine.",https://twitter.com/NeverSayDie1978/statuses/1621342911483842561,1,5,"Twitter for Android"
NeverSayDie1978,"ID 1621317018807930880","Fri Feb 03 01:17:54 +0000 2023"," It's almost as if he can still smell the dump someone took on Chuck Shumer's desk... Oh the humanity! https://t.co/EwOmxJHRM1",https://twitter.com/NeverSayDie1978/statuses/1621317018807930880,0,4,"Twitter for Android"
NeverSayDie1978,"ID 1621272468596875265","Thu Feb 02 22:20:52 +0000 2023"," @UScrimeReview @GayToad_3 What perps? They don't arrest anyone there anymore.",https://twitter.com/NeverSayDie1978/statuses/1621272468596875265,0,3,"Twitter for Android"
NeverSayDie1978,"ID 1621235691337170950","Thu Feb 02 19:54:44 +0000 2023"," The head-bobbing, soul sista, step and fetch it behind her is a nice touch too.",https://twitter.com/NeverSayDie1978/statuses/1621235691337170950,0,2,"Twitter for Android"
NeverSayDie1978,"ID 1621234601195872257","Thu Feb 02 19:50:24 +0000 2023"," The fact that the legislative branch of our federal government is ruled over by fools like this Adderall addicted brat from Westchester County is more an indictment on us for allowing it to continue than on her. https://t.co/YTjoRm8cHb",https://twitter.com/NeverSayDie1978/statuses/1621234601195872257,1,6,"Twitter for Android"
NeverSayDie1978,"ID 1621164342719950848","Thu Feb 02 15:11:13 +0000 2023"," RT @MrDWindsorAndMe: #ReturnToAfrica https://t.co/hfL7mtg8GZ",https://twitter.com/NeverSayDie1978/statuses/1621164342719950848,683,0,"Twitter for Android"
NeverSayDie1978,"ID 1621164003807449094","Thu Feb 02 15:09:52 +0000 2023"," https://t.co/sDahQQ4w2a",https://twitter.com/NeverSayDie1978/statuses/1621164003807449094,0,1,"Twitter for Android"
NeverSayDie1978,"ID 1621155818023583744","Thu Feb 02 14:37:21 +0000 2023"," @REAL_7homas777 I know. They live in some alternate universe where getting their ass kicked never occurs to them.",https://twitter.com/NeverSayDie1978/statuses/1621155818023583744,0,1,"Twitter for Android"
NeverSayDie1978,"ID 1621151735623581696","Thu Feb 02 14:21:07 +0000 2023"," Same person in video lmao https://t.co/lklNQkmhEc https://t.co/JkdiNaBKcK",https://twitter.com/NeverSayDie1978/statuses/1621151735623581696,0,2,"Twitter for Android"
NeverSayDie1978,"ID 1621151069610049536","Thu Feb 02 14:18:29 +0000 2023"," @REAL_7homas777 Same person wanting war lmao https://t.co/iBZ5pFz0KT",https://twitter.com/NeverSayDie1978/statuses/1621151069610049536,0,4,"Twitter for Android"
NeverSayDie1978,"ID 1621146071748706307","Thu Feb 02 13:58:37 +0000 2023"," RT @REAL_7homas777: LOL ""REPUBLICANS"". You ain't BUILT for this, loved one.",https://twitter.com/NeverSayDie1978/statuses/1621146071748706307,9,0,"Twitter for Android"
NeverSayDie1978,"ID 1620903744442613760","Wed Feb 01 21:55:42 +0000 2023"," But wait, there's more! https://t.co/APh20zs8J7",https://twitter.com/NeverSayDie1978/statuses/1620903744442613760,0,1,"Twitter for Android"
NeverSayDie1978,"ID 1620903133701623808","Wed Feb 01 21:53:16 +0000 2023"," Already looking forward to February being over https://t.co/aJK2rat4Re",https://twitter.com/NeverSayDie1978/statuses/1620903133701623808,0,3,"Twitter for Android"
NeverSayDie1978,"ID 1620828307733495808","Wed Feb 01 16:55:56 +0000 2023"," RT @DesertedPIaces_: Abandoned power station https://t.co/on3OVY04dL",https://twitter.com/NeverSayDie1978/statuses/1620828307733495808,364,0,"Twitter for Android"
NeverSayDie1978,"ID 1620806315655430144","Wed Feb 01 15:28:33 +0000 2023"," RT @YorkshireHeeler: Happy Black History Month https://t.co/QuohjXgHBZ",https://twitter.com/NeverSayDie1978/statuses/1620806315655430144,1,0,"Twitter for Android"
NeverSayDie1978,"ID 1620798128957030400","Wed Feb 01 14:56:01 +0000 2023"," Good morning https://t.co/ixodUqIkjD",https://twitter.com/NeverSayDie1978/statuses/1620798128957030400,0,2,"Twitter for Android"
NeverSayDie1978,"ID 1620433177310552065","Tue Jan 31 14:45:50 +0000 2023"," RT @Apsis_inchoate: https://t.co/Y9wcPSiTjr",https://twitter.com/NeverSayDie1978/statuses/1620433177310552065,5,0,"Twitter for Android"
