"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
NoWhiteGuiltNWG,"ID 1621723758838034435","Sat Feb 04 04:14:08 +0000 2023"," RT @Finalblossom44: Antiwhitism is neutral by Wikipedia standards. What can be done about it?
https://t.co/Efdzs05XTC",https://twitter.com/NoWhiteGuiltNWG/statuses/1621723758838034435,20,0,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621718022032326658","Sat Feb 04 03:51:21 +0000 2023"," How it happened vs how antiwhites reported it: 

This is antiwhitism - this is the Antiwhite Narrative!
https://t.co/dIcxMdVP7A
https://t.co/TZPRwHCgTG https://t.co/WQg3KPxGmF",https://twitter.com/NoWhiteGuiltNWG/statuses/1621718022032326658,198,815,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621717055031369728","Sat Feb 04 03:47:30 +0000 2023"," This is how one Regime source is covering this story... This is the Antiwhite Narrative. https://t.co/ltvnrt7JKH",https://twitter.com/NoWhiteGuiltNWG/statuses/1621717055031369728,21,144,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621716365731045376","Sat Feb 04 03:44:46 +0000 2023"," @NatureMoon4 No, that is the norm for most spots fans.",https://twitter.com/NoWhiteGuiltNWG/statuses/1621716365731045376,0,1,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621714108986040323","Sat Feb 04 03:35:48 +0000 2023"," The Antiwhite Narrative lives in people as though it’s reality. This is why so many Whites are violently &amp; institutionally victimized. No rape/murder /discriminatory practice is inflicted on Whites magnanimously. Every victimizer is thinking “revenge.” We must defeat antiwhitism! https://t.co/7399KbXCgt",https://twitter.com/NoWhiteGuiltNWG/statuses/1621714108986040323,23,71,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621708826520043520","Sat Feb 04 03:14:48 +0000 2023"," @GMM_1972 She's nonwhite. I attached the mother.",https://twitter.com/NoWhiteGuiltNWG/statuses/1621708826520043520,0,6,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621708390140416000","Sat Feb 04 03:13:04 +0000 2023"," https://t.co/F4s8ussLey",https://twitter.com/NoWhiteGuiltNWG/statuses/1621708390140416000,2,36,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621708165912862720","Sat Feb 04 03:12:11 +0000 2023"," This nonwhite little girl was savagely beaten on her school bus by two nonwhite boys, one of them many times her size. 

These incidents, like the attack on Tyre Nichols, are exponentially increasing in frequency because of White erasure. https://t.co/Y8oysS3OcB",https://twitter.com/NoWhiteGuiltNWG/statuses/1621708165912862720,16,141,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621673307031437312","Sat Feb 04 00:53:40 +0000 2023"," @RobertM90627659 @GraceSm73368432 @WinstonV99 @GardinerIsland She was just on a stream with me. Now you know better.",https://twitter.com/NoWhiteGuiltNWG/statuses/1621673307031437312,0,0,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621655202557493248","Fri Feb 03 23:41:43 +0000 2023"," RT @GraceSm73368432: Teach your children to love themselves…

Don’t permit them to feel so guilty about being white that they allow themsel…",https://twitter.com/NoWhiteGuiltNWG/statuses/1621655202557493248,71,0,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621618600208470018","Fri Feb 03 21:16:17 +0000 2023"," RAND says - out loud - that the war in Ukraine is lost - has become harmful to the United States.   

STOP stealing our money and resources to finance the senseless slaughter of Westmen killing Westmen❗️ https://t.co/GoGqMJJe9l",https://twitter.com/NoWhiteGuiltNWG/statuses/1621618600208470018,15,47,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621614760729927683","Fri Feb 03 21:01:01 +0000 2023"," My Valentine's Day banner is up on YT and I have moved one of my love poems to the top of my poetry readings list: She Walks in Beauty by Lord Byron.
https://t.co/TZPRwHCgTG
https://t.co/dIcxMdVP7A https://t.co/M2y5CF1rMn",https://twitter.com/NoWhiteGuiltNWG/statuses/1621614760729927683,4,15,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621614024377995264","Fri Feb 03 20:58:06 +0000 2023"," Word of the Day with Jason: 

Discerning 

Having or showing good judgment. Showing insight and understanding. 

Those with discernment have no problem discerning the difference between right and wrong and good and evil, which means that no antiwhite Democrats are in this camp. https://t.co/lcTLxqe3TW",https://twitter.com/NoWhiteGuiltNWG/statuses/1621614024377995264,9,37,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621578674343395330","Fri Feb 03 18:37:38 +0000 2023"," Biden""s theft of classified documents has been exposed and all of a sudden antifa and BLM reappear, a food production factory burns down, and Paul Pelosi's video is released. https://t.co/U46D5UrFhG",https://twitter.com/NoWhiteGuiltNWG/statuses/1621578674343395330,14,66,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621436075473358849","Fri Feb 03 09:10:59 +0000 2023"," When he's shot down buy a good ol' boy and the craft crashes in a half-built garage, money on the ol' man of the house hollerin', ""Honey, D'you order Chinese?"" https://t.co/qrIESXLwGX",https://twitter.com/NoWhiteGuiltNWG/statuses/1621436075473358849,5,36,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621431856418770944","Fri Feb 03 08:54:13 +0000 2023"," Folks, we have waited for years as the master has been at work, creating his album, The Legend of Prometheus, a musical telling of Prometheus Rising - Take Back Your Destiny! Imminent Reign kicked the tires and lighted the fires - the launch is coming!!!
https://t.co/D1L5wyVqe6 https://t.co/XjSyNwzKCN",https://twitter.com/NoWhiteGuiltNWG/statuses/1621431856418770944,8,25,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621430804449476611","Fri Feb 03 08:50:03 +0000 2023"," @CatholicNews @Evalati0n Take your time and work other areas while promoting the healing for your wrist.",https://twitter.com/NoWhiteGuiltNWG/statuses/1621430804449476611,0,2,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621397035705421824","Fri Feb 03 06:35:52 +0000 2023"," They are getting ready to come in your house!

https://t.co/GijbQxAV9q https://t.co/qdFjAV5opQ",https://twitter.com/NoWhiteGuiltNWG/statuses/1621397035705421824,10,43,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621328403654647809","Fri Feb 03 02:03:08 +0000 2023"," RT @UltraTestoster1: @am_infidel @LauraLoomer @NoWhiteGuiltNWG alpha white male https://t.co/l9W9odVYVG",https://twitter.com/NoWhiteGuiltNWG/statuses/1621328403654647809,4,0,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621306101777006592","Fri Feb 03 00:34:31 +0000 2023"," Physical fitness with Jason:

I'm delighted 😁 that your New Year's resolution is to get back in shape but 😡get real &amp; stop doing the ridiculous Rocky push-ups in the gym! 
You're not going back to your prime &amp; the big game - you just have to fit behind the steering wheel, tubby https://t.co/Kl8SAFWcn9",https://twitter.com/NoWhiteGuiltNWG/statuses/1621306101777006592,3,32,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621304466874982401","Fri Feb 03 00:28:01 +0000 2023"," The country is going down the toilet, and the few men remaining who have to clean this up are surrounded by... boys. https://t.co/DVlAm4U2he",https://twitter.com/NoWhiteGuiltNWG/statuses/1621304466874982401,12,72,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621303380613144577","Fri Feb 03 00:23:42 +0000 2023"," @BigheadWisdom Antiwhites.",https://twitter.com/NoWhiteGuiltNWG/statuses/1621303380613144577,0,1,"Twitter for Android"
NoWhiteGuiltNWG,"ID 1621290088427655168","Thu Feb 02 23:30:53 +0000 2023"," As the government is White erased, it looks more and more like this. https://t.co/AAIDU5VYXq",https://twitter.com/NoWhiteGuiltNWG/statuses/1621290088427655168,29,219,"Twitter Web App"
NoWhiteGuiltNWG,"ID 1621272177931685889","Thu Feb 02 22:19:43 +0000 2023"," Smart people don't use the names that antiwites give themselves. 

If you use their terminology, you legitimize their ideology. 

They are not woke; they are antiwhite. https://t.co/fyPpgR6gLx",https://twitter.com/NoWhiteGuiltNWG/statuses/1621272177931685889,14,80,"Twitter for Android"
