"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
PatAlternative,"ID 1621582141418082306","Fri Feb 03 18:51:24 +0000 2023"," RT @thisislaurat: LIVESTREAM: Patriotic Alternative January Update - with Laura Towler and special guest hosts Kenny Smith and Sam Melia

J…",https://twitter.com/PatAlternative/statuses/1621582141418082306,20,0,"Twitter for iPhone"
PatAlternative,"ID 1621350000717438977","Fri Feb 03 03:28:58 +0000 2023"," RT @AshidMikeks: @dudleylad1066 @DaveAtherton20 @worshipedbyu They are. @PatAlternative did a demo in Leeds on Saturday. Leader @MarkAColle…",https://twitter.com/PatAlternative/statuses/1621350000717438977,13,0,"Twitter for iPhone"
PatAlternative,"ID 1621088388802568194","Thu Feb 02 10:09:24 +0000 2023"," New article on the Patriotic Alternative website: Bedfordshire Conservative MP blames locals for Migrant Hotel Debacle

By Eastern Region Correspondent

Read the full article here: https://t.co/gWi7PhqwuH https://t.co/pNjmD8ZQvH",https://twitter.com/PatAlternative/statuses/1621088388802568194,3,22,"Twitter Web App"
PatAlternative,"ID 1620857462298656768","Wed Feb 01 18:51:47 +0000 2023"," RT @MarkACollett: Patriotic Weekly Review is LIVE at 7pm UK time (2pm EST) with special guests Emily Youcis &amp; Laura Towler.
You can find to…",https://twitter.com/PatAlternative/statuses/1620857462298656768,17,0,"Twitter Web App"
PatAlternative,"ID 1620857452106502145","Wed Feb 01 18:51:45 +0000 2023"," RT @thisislaurat: Patriotic Weekly Review is LIVE at 7pm UK time (2pm EST) with special host Laura Towler and special guest Emily Youcis.…",https://twitter.com/PatAlternative/statuses/1620857452106502145,14,0,"Twitter Web App"
PatAlternative,"ID 1620835710835257344","Wed Feb 01 17:25:21 +0000 2023"," 5/ If you want migrants out of that hotel, the only answer is to protest loud &amp; often. We have to tell them #ErskineSaysNo They will only listen when we are a thorn in their side.

We need to show courage now or Erskine will be swamped with more problems, which affect everybody.",https://twitter.com/PatAlternative/statuses/1620835710835257344,1,41,"Twitter Web App"
PatAlternative,"ID 1620835210840670208","Wed Feb 01 17:23:22 +0000 2023"," 4/ The problems these migrants bring to neighbourhoods has already started to affect the community. Being quiet and playing along with those who have deceived the community from the outset is the wrong tactic.",https://twitter.com/PatAlternative/statuses/1620835210840670208,2,35,"Twitter Web App"
PatAlternative,"ID 1620834898260135937","Wed Feb 01 17:22:08 +0000 2023"," 3/ who have not been frightened off by the scaremongering of those who welcome the swamping of Erskine with 200 male migrants.

We are disappointed some have stated one thing then done another without even speaking about their concerns with us, like other wiser heads have done.",https://twitter.com/PatAlternative/statuses/1620834898260135937,0,23,"Twitter Web App"
PatAlternative,"ID 1620833914108649472","Wed Feb 01 17:18:13 +0000 2023"," 2/ An array of pro-migrant groups (from the far-left to journalists and politicians) have put enormous pressure on some in the community, but the demo is very much on and there is good support from many in the community...",https://twitter.com/PatAlternative/statuses/1620833914108649472,2,36,"Twitter Web App"
PatAlternative,"ID 1620833067987521536","Wed Feb 01 17:14:51 +0000 2023"," Thread:

1/ Two headlines today regarding the migrant invasion here in Erskine. The Daily Record &amp; The National show their usual bias and try to claim the protest is being hijacked. PA have worked openly and honestly at every stage with the community.

#ErskineSaysNo #antiwhite",https://twitter.com/PatAlternative/statuses/1620833067987521536,9,65,"Twitter Web App"
