"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
PoisonPilled,"ID 1592595961666469888","Tue Nov 15 19:10:40 +0000 2022"," She squirted on my Arc’teryx https://t.co/JEUQEa4LEq",https://twitter.com/PoisonPilled/statuses/1592595961666469888,2,24,"Twitter for iPhone"
PoisonPilled,"ID 1592023801524805632","Mon Nov 14 05:17:07 +0000 2022"," Stop posting that disgusting goblin freak jewess I hate this place https://t.co/EOPgJzqkb3",https://twitter.com/PoisonPilled/statuses/1592023801524805632,3,37,"Twitter for iPhone"
PoisonPilled,"ID 1591281426082955266","Sat Nov 12 04:07:11 +0000 2022"," Ugly jew https://t.co/9nsu1sWww6",https://twitter.com/PoisonPilled/statuses/1591281426082955266,3,32,"Twitter for iPhone"
PoisonPilled,"ID 1589435915230846976","Mon Nov 07 01:53:47 +0000 2022"," https://t.co/CCDAYNEDy4",https://twitter.com/PoisonPilled/statuses/1589435915230846976,53,402,"Twitter for iPhone"
PoisonPilled,"ID 1589434739332886529","Mon Nov 07 01:49:06 +0000 2022"," https://t.co/1jWEuPwmhW https://t.co/1HsYdrbBXr",https://twitter.com/PoisonPilled/statuses/1589434739332886529,0,7,"Twitter for iPhone"
PoisonPilled,"ID 1587916813811302401","Wed Nov 02 21:17:25 +0000 2022"," Shut up jew we’re Cavemaxxing https://t.co/Y59a93b8YX",https://twitter.com/PoisonPilled/statuses/1587916813811302401,1,54,"Twitter for iPhone"
PoisonPilled,"ID 1585861042428600321","Fri Oct 28 05:08:31 +0000 2022"," @GraduatedBen https://t.co/YOwN8YK5J4",https://twitter.com/PoisonPilled/statuses/1585861042428600321,0,11,"Twitter for iPhone"
PoisonPilled,"ID 1585843911985139712","Fri Oct 28 04:00:26 +0000 2022"," Hitler https://t.co/Oc48MNS5gU",https://twitter.com/PoisonPilled/statuses/1585843911985139712,9,105,"Twitter for iPhone"
PoisonPilled,"ID 1585816991889121281","Fri Oct 28 02:13:28 +0000 2022"," https://t.co/o9Cjwmin9b https://t.co/MeQX9p1sgz",https://twitter.com/PoisonPilled/statuses/1585816991889121281,0,38,"Twitter for iPhone"
PoisonPilled,"ID 1530006544976429056","Fri May 27 02:02:41 +0000 2022"," Romulus and Remus https://t.co/bxoxHgACaz",https://twitter.com/PoisonPilled/statuses/1530006544976429056,18,118,"Twitter for iPhone"
PoisonPilled,"ID 1524443603325657089","Wed May 11 17:37:32 +0000 2022"," We’re back for a bit https://t.co/WKfauGmyH2",https://twitter.com/PoisonPilled/statuses/1524443603325657089,3,42,"Twitter for iPhone"
PoisonPilled,"ID 1500858308693045250","Mon Mar 07 15:38:00 +0000 2022"," @DQ49428408 😂😂😂😂",https://twitter.com/PoisonPilled/statuses/1500858308693045250,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1500858201654411271","Mon Mar 07 15:37:34 +0000 2022"," @HandsomeAutism I envy him",https://twitter.com/PoisonPilled/statuses/1500858201654411271,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1500500776917024770","Sun Mar 06 15:57:17 +0000 2022"," @MGPlatinumClub Sorry but we stan lucas https://t.co/sd0Ukcann4",https://twitter.com/PoisonPilled/statuses/1500500776917024770,0,0,"Twitter for iPhone"
PoisonPilled,"ID 1499745686883127296","Fri Mar 04 13:56:50 +0000 2022"," @RuckModulator Looks good to me",https://twitter.com/PoisonPilled/statuses/1499745686883127296,0,2,"Twitter for iPhone"
PoisonPilled,"ID 1499530665255223298","Thu Mar 03 23:42:25 +0000 2022"," @HandsomeAutism https://t.co/x08ussTSrD",https://twitter.com/PoisonPilled/statuses/1499530665255223298,0,4,"Twitter for iPhone"
PoisonPilled,"ID 1499481483278491650","Thu Mar 03 20:26:59 +0000 2022"," https://t.co/ywJZvhg6sq",https://twitter.com/PoisonPilled/statuses/1499481483278491650,0,13,"Twitter for iPhone"
PoisonPilled,"ID 1498369702070046727","Mon Feb 28 18:49:09 +0000 2022"," https://t.co/OKZflQws1N",https://twitter.com/PoisonPilled/statuses/1498369702070046727,3,39,"Twitter for iPhone"
PoisonPilled,"ID 1498350698173538309","Mon Feb 28 17:33:39 +0000 2022"," https://t.co/D90GRsZC7K",https://twitter.com/PoisonPilled/statuses/1498350698173538309,9,59,"Twitter for iPhone"
PoisonPilled,"ID 1498335202506166272","Mon Feb 28 16:32:04 +0000 2022"," Chechens are disgusting ugly freaks https://t.co/vL91gbuNLK",https://twitter.com/PoisonPilled/statuses/1498335202506166272,0,38,"Twitter for iPhone"
PoisonPilled,"ID 1495147717185703942","Sat Feb 19 21:26:08 +0000 2022"," https://t.co/4GOMpano7q https://t.co/Atg7oLDgh3",https://twitter.com/PoisonPilled/statuses/1495147717185703942,1,25,"Twitter for iPhone"
PoisonPilled,"ID 1495047088194957320","Sat Feb 19 14:46:17 +0000 2022"," We got broads and they wearin Arc’teryx

I dont give a shit but im chillin out in Paris 😤 https://t.co/TXLZ8gfMkz",https://twitter.com/PoisonPilled/statuses/1495047088194957320,0,7,"Twitter for iPhone"
PoisonPilled,"ID 1495044645075800071","Sat Feb 19 14:36:34 +0000 2022"," @HandsomeAutism I liked it",https://twitter.com/PoisonPilled/statuses/1495044645075800071,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1494927233944858624","Sat Feb 19 06:50:01 +0000 2022"," @VrilDude @TakeVaccines We got broads and they wearin Arcteryx https://t.co/qmJRiiOxDx",https://twitter.com/PoisonPilled/statuses/1494927233944858624,0,8,"Twitter for iPhone"
PoisonPilled,"ID 1494814815554002950","Fri Feb 18 23:23:19 +0000 2022"," @womanimpregnatr thanks man",https://twitter.com/PoisonPilled/statuses/1494814815554002950,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1494812576554827783","Fri Feb 18 23:14:25 +0000 2022"," https://t.co/swZKqn8bn0",https://twitter.com/PoisonPilled/statuses/1494812576554827783,7,52,"Twitter for iPhone"
PoisonPilled,"ID 1494810223537758209","Fri Feb 18 23:05:04 +0000 2022"," https://t.co/vAIxX00mzF",https://twitter.com/PoisonPilled/statuses/1494810223537758209,4,29,"Twitter for iPhone"
PoisonPilled,"ID 1494715269847166976","Fri Feb 18 16:47:45 +0000 2022"," @thesecrettyler This is more embarassing than yelling annoying ass slogans that rhyme into a megaphone then everyone else repeating it",https://twitter.com/PoisonPilled/statuses/1494715269847166976,0,0,"Twitter for iPhone"
PoisonPilled,"ID 1494699736284209162","Fri Feb 18 15:46:01 +0000 2022"," @LogoDaedalus69 all their shits off soundcloud :(",https://twitter.com/PoisonPilled/statuses/1494699736284209162,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1494661470927429632","Fri Feb 18 13:13:58 +0000 2022"," @RuckModulator https://t.co/CqSSZFfWjQ",https://twitter.com/PoisonPilled/statuses/1494661470927429632,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1493765381932011524","Wed Feb 16 01:53:14 +0000 2022"," These people are freaks man. https://t.co/No8NeSB0l1",https://twitter.com/PoisonPilled/statuses/1493765381932011524,1,14,"Twitter for iPhone"
PoisonPilled,"ID 1493616984457629703","Tue Feb 15 16:03:33 +0000 2022"," @LogoDaedalus69 Absolute tune",https://twitter.com/PoisonPilled/statuses/1493616984457629703,0,0,"Twitter for iPhone"
PoisonPilled,"ID 1493615062476627986","Tue Feb 15 15:55:55 +0000 2022"," @MGPlatinumClub Wtf? This is epic?",https://twitter.com/PoisonPilled/statuses/1493615062476627986,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1493299590874947587","Mon Feb 14 19:02:21 +0000 2022"," https://t.co/V6t78jDqhP",https://twitter.com/PoisonPilled/statuses/1493299590874947587,1,13,"Twitter for iPhone"
PoisonPilled,"ID 1492944176350171143","Sun Feb 13 19:30:03 +0000 2022"," RT @OOCLooney: https://t.co/7LPnELdWY4",https://twitter.com/PoisonPilled/statuses/1492944176350171143,443,0,"Twitter for iPhone"
PoisonPilled,"ID 1492937456521515012","Sun Feb 13 19:03:21 +0000 2022"," @D0TMIL @MenacingManlet https://t.co/MqgTAWG9by",https://twitter.com/PoisonPilled/statuses/1492937456521515012,1,1,"Twitter for iPhone"
PoisonPilled,"ID 1492619888388677638","Sat Feb 12 22:01:27 +0000 2022"," https://t.co/hHhNaMLA3n",https://twitter.com/PoisonPilled/statuses/1492619888388677638,2,25,"Twitter for iPhone"
PoisonPilled,"ID 1492262038755758083","Fri Feb 11 22:19:29 +0000 2022"," RT @rolandpew1230: Roll tide https://t.co/tB5ragqlBP",https://twitter.com/PoisonPilled/statuses/1492262038755758083,38,0,"Twitter for iPhone"
PoisonPilled,"ID 1491906867295141890","Thu Feb 10 22:48:10 +0000 2022"," https://t.co/8HnUsB7xMk",https://twitter.com/PoisonPilled/statuses/1491906867295141890,15,92,"Twitter for iPhone"
PoisonPilled,"ID 1491558838008524800","Wed Feb 09 23:45:13 +0000 2022"," https://t.co/iHK8uY9PN0",https://twitter.com/PoisonPilled/statuses/1491558838008524800,2,93,"Twitter for iPhone"
PoisonPilled,"ID 1491099633128718337","Tue Feb 08 17:20:30 +0000 2022"," @RuckModulator Lmfao ah hellll naa",https://twitter.com/PoisonPilled/statuses/1491099633128718337,0,4,"Twitter for iPhone"
PoisonPilled,"ID 1490902744470732806","Tue Feb 08 04:18:08 +0000 2022"," https://t.co/eAmYx5xrVH",https://twitter.com/PoisonPilled/statuses/1490902744470732806,0,16,"Twitter for iPhone"
PoisonPilled,"ID 1490769656214437892","Mon Feb 07 19:29:17 +0000 2022"," @LordCarsonEsq Outdoor Research",https://twitter.com/PoisonPilled/statuses/1490769656214437892,0,2,"Twitter for iPhone"
PoisonPilled,"ID 1490754402977972224","Mon Feb 07 18:28:41 +0000 2022"," @NiceTitsLuv No need fren youre hired",https://twitter.com/PoisonPilled/statuses/1490754402977972224,0,1,"Twitter for iPhone"
PoisonPilled,"ID 1490719235240308739","Mon Feb 07 16:08:56 +0000 2022"," Im thinkin we need new govt officials https://t.co/iwmYBaUj29",https://twitter.com/PoisonPilled/statuses/1490719235240308739,1,11,"Twitter for iPhone"
