"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RAIRFoundation,"ID 1606586946540961792","Sat Dec 24 09:45:51 +0000 2022"," Climate Change Scam: Help Protect Endangered Whales From Corrupted Environmentalists 

U.S. government agencies are enabling the destruction of critically endangered and threatened species, all in the name of ""climate change.""

Exclusive Interview: https://t.co/PRLYVysDrb",https://twitter.com/RAIRFoundation/statuses/1606586946540961792,10,11,"Twitter Web App"
RAIRFoundation,"ID 1605815509361905665","Thu Dec 22 06:40:26 +0000 2022"," Breaking: German Parliament Vice President Calls For Investigation into Covid 'Vaccine' Deaths and Damages 

Chief pathologist discovered that in 30% of the people he examined who died after the Covid vaccine - vaccination was the cause of death.
Video: https://t.co/0kSs46Atgg",https://twitter.com/RAIRFoundation/statuses/1605815509361905665,4,7,"Twitter Web App"
RAIRFoundation,"ID 1605815009375682560","Thu Dec 22 06:38:27 +0000 2022"," Spain: Another Pakistani Man Arrested For Trying to Force His Daughter into Arranged Islamic Marriage 

“She must die, and not of something… With blood! In the ground. Stone. Stone. — Stoned. Because what she has done [is] forbidden.”

Video: https://t.co/vcSEe05xD0",https://twitter.com/RAIRFoundation/statuses/1605815009375682560,4,7,"Twitter Web App"
RAIRFoundation,"ID 1503519065008082946","Mon Mar 14 23:50:53 +0000 2022"," Globalists Capitalize on Ukrainian Crisis to Further Their Covid 'Vaccine' Agenda 

Must Watch: https://t.co/2WnAKSriIu",https://twitter.com/RAIRFoundation/statuses/1503519065008082946,13,22,"Twitter Web App"
RAIRFoundation,"ID 1502786792935862276","Sat Mar 12 23:21:06 +0000 2022"," @jimmy0726 @ChristinaPushaw @NikkiFried Flashback: Nikki Fried’s Net Worth Increases 416%, Tied to Former Cannabis Exec

https://t.co/PZDQTNjR27",https://twitter.com/RAIRFoundation/statuses/1502786792935862276,0,3,"Twitter Web App"
RAIRFoundation,"ID 1502786364105969667","Sat Mar 12 23:19:24 +0000 2022"," RT @ChristinaPushaw: @NikkiFried If Florida Democrats want to convince people that they aren’t creeps for advocating K-3 sex &amp; gender theor…",https://twitter.com/RAIRFoundation/statuses/1502786364105969667,318,0,"Twitter Web App"
RAIRFoundation,"ID 1502786247856689156","Sat Mar 12 23:18:56 +0000 2022"," RT @Cernovich: https://t.co/VHf9zUV9LS",https://twitter.com/RAIRFoundation/statuses/1502786247856689156,52,0,"Twitter Web App"
RAIRFoundation,"ID 1502785149670408193","Sat Mar 12 23:14:34 +0000 2022"," The bill ""prevents schools from secretly propagandizing 4- to 9-year-olds on gender identity and sexual orientation and stops teachers from hiding information from parents."" 

What do you disagree with? Be specific. 

https://t.co/LKBBGlwvjp https://t.co/x4KV3ZQIiZ",https://twitter.com/RAIRFoundation/statuses/1502785149670408193,3,9,"Twitter Web App"
RAIRFoundation,"ID 1502463111424585728","Sat Mar 12 01:54:54 +0000 2022"," Breaking: Full video of interviews with WI nursing home patients who voted in 2020 released 

""The sheriff found that facility staff, under the guise of 'helping' residents to vote, coaxed votes from some whom family members believed incapable of voting.""

https://t.co/CvFz92bsl4",https://twitter.com/RAIRFoundation/statuses/1502463111424585728,7,13,"Twitter Web App"
RAIRFoundation,"ID 1502462404684357636","Sat Mar 12 01:52:06 +0000 2022"," Great Replacement: Globalists Use Ukrainian Crisis to Further their Population Replacement Scheme (Video)

""One in three refugees coming from Ukraine to France are predominately migrants from Islamic and African countries.""

https://t.co/coIs1geDZF",https://twitter.com/RAIRFoundation/statuses/1502462404684357636,47,58,"Twitter Web App"
