"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
REAL_7homas777,"ID 1621806193042751488","Sat Feb 04 09:41:42 +0000 2023"," @CurioRecks 🤣Indeed. ""SLEEPING BAG"" jumped out at me too.",https://twitter.com/REAL_7homas777/statuses/1621806193042751488,0,2,"Twitter Web App"
REAL_7homas777,"ID 1621803388362014721","Sat Feb 04 09:30:34 +0000 2023"," @dystopia_82 No. I PAID myself $200. Bought a TSUGE comb, a HOODIE, and sum other things.",https://twitter.com/REAL_7homas777/statuses/1621803388362014721,0,0,"Twitter Web App"
REAL_7homas777,"ID 1621803045771165697","Sat Feb 04 09:29:12 +0000 2023"," CRYONICS = DOING it WRONG. If you covet IMMORTALITY, you must 1) Solve the PROBLEM of CONSCIOUSNESS; 2) Devise a way to extricate consciousness from a physical body doomed to biological DEATH. FREEZING stiffs is ridiculous.",https://twitter.com/REAL_7homas777/statuses/1621803045771165697,1,23,"Twitter Web App"
REAL_7homas777,"ID 1621802215206752256","Sat Feb 04 09:25:54 +0000 2023"," https://t.co/7ZgfZy0NOP",https://twitter.com/REAL_7homas777/statuses/1621802215206752256,0,18,"Twitter Web App"
REAL_7homas777,"ID 1621749733474684929","Sat Feb 04 05:57:21 +0000 2023"," @DouglasEdward84 @FrederickCotte3 LEGIT. BEST Third Reich hist channel on YT by a wide mile. The man is doing GOD'S work in preserving HISTORICAL memory. Wenn alle bruder schweigen 🙏.",https://twitter.com/REAL_7homas777/statuses/1621749733474684929,0,2,"Twitter Web App"
REAL_7homas777,"ID 1621722208975437830","Sat Feb 04 04:07:59 +0000 2023"," RT @FrederickCotte3: https://t.co/myVogebmpC
SS Div. REICH Pt. 21 is going live guys",https://twitter.com/REAL_7homas777/statuses/1621722208975437830,3,0,"Twitter Web App"
REAL_7homas777,"ID 1621722015160745986","Sat Feb 04 04:07:13 +0000 2023"," Relying on R.H.S. STOLFI'S outstanding study of UNTERNEHMEN BARBAROSSA - https://t.co/pcaxcDUkPJ",https://twitter.com/REAL_7homas777/statuses/1621722015160745986,0,10,"Twitter Web App"
REAL_7homas777,"ID 1621722013525049345","Sat Feb 04 04:07:12 +0000 2023"," @FrederickCotte3 continues to DELIVER the goods and MORE - his latest vid is an OUTSTANDING summary (buttressed and dramatically brought to life by contemporaneous direct testimony) of HOW WWII was decided in DEC., '41. I've LONG advocated this PERSPECTIVE -",https://twitter.com/REAL_7homas777/statuses/1621722013525049345,1,15,"Twitter Web App"
REAL_7homas777,"ID 1621719199851610112","Sat Feb 04 03:56:01 +0000 2023"," @FrederickCotte3 continues to DELIVER the goods and MORE - his latest vid (""MOSCOW, KIEV or LENINGRAD?"") EXPLAINS how the War was decided in DECEMBER, '41 - which I have ALWAYS maintained, drawing on RHS STOLFI'S exhaustive study on the topic (""HITLER'S PANZERS EAST"").",https://twitter.com/REAL_7homas777/statuses/1621719199851610112,0,1,"Twitter Web App"
REAL_7homas777,"ID 1621633853432414208","Fri Feb 03 22:16:53 +0000 2023"," That is tapping into the RAGE impulses of miserable and simpleminded normies causing them to blow a GASKET.",https://twitter.com/REAL_7homas777/statuses/1621633853432414208,2,23,"Twitter Web App"
REAL_7homas777,"ID 1621633851964489729","Fri Feb 03 22:16:53 +0000 2023"," In a minute sum FUCKKHEAD is gonna dip in here and claim that BILLIONS of White kids like Dylan ROOF are lynching POCs every day. The PROBLEM with that claim is ROOF (like ALL these ""RACIST"" killers) is obviously mentally ILL and there is no WN version of CNN -",https://twitter.com/REAL_7homas777/statuses/1621633851964489729,3,27,"Twitter Web App"
REAL_7homas777,"ID 1621631691264593921","Fri Feb 03 22:08:18 +0000 2023"," One of these FREAKS some years back decided he was an ""ATHEIST"" after imbibing Bill Maher day in day out - then proceeded to MURDER this MOSLEM guy cuz Islam is ""SEXIST"" or mean to ""SCIENCE"" or something.",https://twitter.com/REAL_7homas777/statuses/1621631691264593921,3,36,"Twitter Web App"
REAL_7homas777,"ID 1621631050282672128","Fri Feb 03 22:05:45 +0000 2023"," I used to think the idea that semi IMMERSIVE media was behavior altering was total BULLSHIT - Then I began coming across superficially NORMAL, if simple, INFOTAINMENT addicts whod fly into trembling rages over TRUMP and ""POCs"" who literally believe that WHITES plot against them.",https://twitter.com/REAL_7homas777/statuses/1621631050282672128,7,62,"Twitter Web App"
