"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RealDSchmidt,"ID 1621719716892151808","Sat Feb 04 03:58:05 +0000 2023"," Charlie Kirk and everyone else will call out the double standard when it’s about China but be completely silent when it’s about Israel

Ask yourself why 🤔🤔🤔 https://t.co/5VZtJAmCZg",https://twitter.com/RealDSchmidt/statuses/1621719716892151808,25,179,"Twitter for iPhone"
RealDSchmidt,"ID 1621670599881027584","Sat Feb 04 00:42:54 +0000 2023"," RT @RealDSchmidt: @Breaking911 You forgot someone https://t.co/llI1xIuL4V",https://twitter.com/RealDSchmidt/statuses/1621670599881027584,59,0,"Twitter Web App"
RealDSchmidt,"ID 1620872403730698240","Wed Feb 01 19:51:10 +0000 2023"," Increased police presence because of chalk?????

Love Speech spotted at the University of Florida https://t.co/pBeu41HFUO https://t.co/OoJzMMBvtz",https://twitter.com/RealDSchmidt/statuses/1620872403730698240,28,224,"Twitter Web App"
RealDSchmidt,"ID 1620641348587241474","Wed Feb 01 04:33:02 +0000 2023"," @Breaking911 You forgot someone https://t.co/llI1xIuL4V",https://twitter.com/RealDSchmidt/statuses/1620641348587241474,59,842,"Twitter Web App"
RealDSchmidt,"ID 1620463351368396800","Tue Jan 31 16:45:44 +0000 2023"," ratio https://t.co/UO3GxCeexK",https://twitter.com/RealDSchmidt/statuses/1620463351368396800,28,282,"Twitter Web App"
RealDSchmidt,"ID 1620458517915369473","Tue Jan 31 16:26:31 +0000 2023"," RT @RepGosar: That's odd.

Why not have a general amnesty for all banned accounts, @elonmusk?

Let's restore trust in Twitter.",https://twitter.com/RealDSchmidt/statuses/1620458517915369473,265,0,"Twitter Web App"
RealDSchmidt,"ID 1620228716562632705","Tue Jan 31 01:13:23 +0000 2023"," Jewish students at the University of Alabama were “terrified” by chalk supporting Ye on campus.

Hyper-emotional reactions like this are why @Students_Ye is so necessary.

Until we can have honest conversations, we will forever be divided.

Stop the guilt tripping. https://t.co/6UsaSjqVAS",https://twitter.com/RealDSchmidt/statuses/1620228716562632705,27,184,"Twitter for iPhone"
RealDSchmidt,"ID 1620208385303134208","Mon Jan 30 23:52:35 +0000 2023"," The DeSantis team is allegedly using bot farms to boost engagement on pro-DeSantis tweets and pressure conservative influencers to shill for DeSantis

If this is true, this is the epitome of an astroturfed campaign https://t.co/p14weGij7s",https://twitter.com/RealDSchmidt/statuses/1620208385303134208,114,312,"Twitter for iPhone"
RealDSchmidt,"ID 1620125764879536128","Mon Jan 30 18:24:17 +0000 2023"," DeSantis is so boring, unexciting, unoriginal

Any Zoomer that wants him as president is sus AF

Either they just sheepishly follow what Con Inc influencers tell them, or they just support DeSantis out of pure hatred of Trump

Boomer mentality in a college student's body",https://twitter.com/RealDSchmidt/statuses/1620125764879536128,30,225,"Twitter Web App"
RealDSchmidt,"ID 1620115005457985538","Mon Jan 30 17:41:32 +0000 2023"," RT @RealDSchmidt: If Trump and DeSantis both run in 2024, all the slimy, ""intellectual"" Bill Buckley-wannabes at Yale and Harvard who circl…",https://twitter.com/RealDSchmidt/statuses/1620115005457985538,28,0,"Twitter Web App"
RealDSchmidt,"ID 1619870243668758528","Mon Jan 30 01:28:56 +0000 2023"," Thankful everyday I got a RELIGIOUS EXEMPTION to my university’s COVID jab requirement

Congrats to all students who got exemptions

Praise God 🙏",https://twitter.com/RealDSchmidt/statuses/1619870243668758528,28,337,"Twitter for iPhone"
RealDSchmidt,"ID 1619865419267080193","Mon Jan 30 01:09:46 +0000 2023"," RT @seanleon: Interesting, I’m not surprised.",https://twitter.com/RealDSchmidt/statuses/1619865419267080193,80,0,"Twitter for iPhone"
RealDSchmidt,"ID 1619852498675834881","Mon Jan 30 00:18:25 +0000 2023"," @TobyTurner Thank you @TobyTurner for standing up for the truth, you are an inspiration for many 🙏",https://twitter.com/RealDSchmidt/statuses/1619852498675834881,0,33,"Twitter for iPhone"
RealDSchmidt,"ID 1619797787721482240","Sun Jan 29 20:41:01 +0000 2023"," RT @RealDSchmidt: What is more common on college campuses?

RT for large sample",https://twitter.com/RealDSchmidt/statuses/1619797787721482240,141,0,"Twitter Web App"
RealDSchmidt,"ID 1619785641910472704","Sun Jan 29 19:52:45 +0000 2023"," RT @ye24joker: @RealDSchmidt Ye been callin out the propaganda for years. One of my favorite clips: https://t.co/Fylm3I7xDK",https://twitter.com/RealDSchmidt/statuses/1619785641910472704,16,0,"Twitter Web App"
RealDSchmidt,"ID 1619763755830878209","Sun Jan 29 18:25:47 +0000 2023"," Ye called out The Matrix and fake news in 2009

One of my favorite clips of all time

#YE24 https://t.co/zP40F6IrrH",https://twitter.com/RealDSchmidt/statuses/1619763755830878209,105,451,"Twitter for iPhone"
RealDSchmidt,"ID 1619760238667907072","Sun Jan 29 18:11:49 +0000 2023"," RT @sneako: The Matrix favors the liars. #YE24 https://t.co/D7yx13mK05",https://twitter.com/RealDSchmidt/statuses/1619760238667907072,459,0,"Twitter for iPhone"
RealDSchmidt,"ID 1619745098954326016","Sun Jan 29 17:11:39 +0000 2023"," RT @TobyTurner: can u post @kanyewest's new song yet or do u get suspended from the lyrics like @ali was https://t.co/1wjbf8VlNG",https://twitter.com/RealDSchmidt/statuses/1619745098954326016,134,0,"Twitter for iPhone"
RealDSchmidt,"ID 1619432283261505536","Sat Jan 28 20:28:38 +0000 2023"," William F Buckley sucks and is a main reason why campus conservatives are lame and boring

This is a good thing https://t.co/lXr7HBARPW",https://twitter.com/RealDSchmidt/statuses/1619432283261505536,10,131,"Twitter Web App"
