"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
RichardBSpencer,"ID 1621690653385101313","Sat Feb 04 02:02:35 +0000 2023"," RT @SenatorRomney: A big Chinese balloon in the sky and millions of Chinese TikTok balloons on our phones. Let’s shut them all down.",https://twitter.com/RichardBSpencer/statuses/1621690653385101313,2298,0,"Twitter for iPhone"
RichardBSpencer,"ID 1621675080580468737","Sat Feb 04 01:00:43 +0000 2023"," I can see the China balloon from my house! https://t.co/9hO1NkvBSg",https://twitter.com/RichardBSpencer/statuses/1621675080580468737,5,85,"Twitter for iPhone"
RichardBSpencer,"ID 1621608292350070785","Fri Feb 03 20:35:19 +0000 2023"," It’s important to understand how figures in the American Right *imagine* their mundane lives as pundits, what makes them tick. It’s often some world historical grievance that you might not expect from a “populist.” https://t.co/UZ8Xp3KUzq",https://twitter.com/RichardBSpencer/statuses/1621608292350070785,4,49,"Twitter for iPhone"
RichardBSpencer,"ID 1621599191830257664","Fri Feb 03 19:59:09 +0000 2023"," RT @nervusbelli: Ask yourself why the likes of Pool are so invested in this.",https://twitter.com/RichardBSpencer/statuses/1621599191830257664,6,0,"Twitter for iPhone"
RichardBSpencer,"ID 1621536724424982532","Fri Feb 03 15:50:56 +0000 2023"," @MarkBrahmin “Dissidents winning is as likely as incels getting laid.” 😂",https://twitter.com/RichardBSpencer/statuses/1621536724424982532,2,23,"Twitter for iPhone"
RichardBSpencer,"ID 1621428121739354112","Fri Feb 03 08:39:23 +0000 2023"," RT @markyzaguirre: I recall seeing some right-wing commentators suggest there was something nefarious going on with the investigation of fo…",https://twitter.com/RichardBSpencer/statuses/1621428121739354112,45,0,"Twitter for iPhone"
RichardBSpencer,"ID 1621418269113720833","Fri Feb 03 08:00:14 +0000 2023"," The old Tankie to Likud pipeline https://t.co/ZuBaL7seBD",https://twitter.com/RichardBSpencer/statuses/1621418269113720833,6,93,"Twitter for iPhone"
RichardBSpencer,"ID 1621415397135114240","Fri Feb 03 07:48:49 +0000 2023"," Radix Journal: The Clique  https://t.co/oij2ejHoQg",https://twitter.com/RichardBSpencer/statuses/1621415397135114240,0,4,Substack
RichardBSpencer,"ID 1621358810819604481","Fri Feb 03 04:03:58 +0000 2023"," RT @LauraLoomer: Earlier I posted an expenditure report from DeSantis’s PAC which paid @TheBabylonBee $21,500.

I said their post below is…",https://twitter.com/RichardBSpencer/statuses/1621358810819604481,649,0,"Twitter for iPhone"
RichardBSpencer,"ID 1621306578841522176","Fri Feb 03 00:36:25 +0000 2023"," Additionally, it seems like every clip and speech I've seen from this guy is him whining about how things are unfair. Extremely lame and uninspiring politician.",https://twitter.com/RichardBSpencer/statuses/1621306578841522176,7,129,"Twitter Web App"
