"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
SamMeliaPA,"ID 1621562906398580742","Fri Feb 03 17:34:58 +0000 2023"," RT @thisislaurat: LIVESTREAM: Patriotic Alternative January Update - with Laura Towler and special guest hosts Kenny Smith and Sam Melia

J…",https://twitter.com/SamMeliaPA/statuses/1621562906398580742,20,0,"Twitter for iPhone"
SamMeliaPA,"ID 1621232870265061378","Thu Feb 02 19:43:31 +0000 2023"," Join us for PA Talk #73 LIVE at 8:30 pm UK time (3:30 pm EST) with our special guest Essex Anglo.

Odysee:  https://t.co/kz9vwEiNoE

Entropy: https://t.co/T1TAz9Qmz6",https://twitter.com/SamMeliaPA/statuses/1621232870265061378,1,4,"Twitter for iPhone"
SamMeliaPA,"ID 1621116182765133824","Thu Feb 02 11:59:51 +0000 2023"," RT @nastymutant: Don't ask 'what inventions?'. Ask that later over champers. Just say yes. A thousand yeses.",https://twitter.com/SamMeliaPA/statuses/1621116182765133824,5,0,"Twitter for iPhone"
SamMeliaPA,"ID 1621086809148227585","Thu Feb 02 10:03:08 +0000 2023"," RT @Gabriele_Corno: Elephant gives birth in the Masai Mara reserve in Kenya https://t.co/M1DyPXGHmL",https://twitter.com/SamMeliaPA/statuses/1621086809148227585,10258,0,"Twitter for iPhone"
SamMeliaPA,"ID 1620899849309913089","Wed Feb 01 21:40:13 +0000 2023"," @Chr1s5opherrr @ZenMonksan @prussianblue111 @SerenaJB3 @thisislaurat @Yogablackbelt @PatAlternative Lol, who’s ‘The Man’?",https://twitter.com/SamMeliaPA/statuses/1620899849309913089,0,1,"Twitter for iPhone"
SamMeliaPA,"ID 1620812424638238721","Wed Feb 01 15:52:49 +0000 2023"," @Chr1s5opherrr @prussianblue111 @SerenaJB3 @thisislaurat @Yogablackbelt @PatAlternative Can I call my self Japanese? Mongolian? Afghan? No, it would be ridiculous. It's only Europeans whose identity is boiled down to nothing beyond a passport.

If you want Europe to remain European then I'm sorry, but you're literally Hitler to these people.",https://twitter.com/SamMeliaPA/statuses/1620812424638238721,1,4,"Twitter Web App"
SamMeliaPA,"ID 1620811503191597056","Wed Feb 01 15:49:10 +0000 2023"," Patriotic Weekly Review is LIVE at 7pm UK time (2pm EST) with special host Laura Towler and special guest Emily Youcis.

You can find tonight's episode of PWR LIVE on:

Odysee: https://t.co/kW7tpxNr4P

DLIVE: https://t.co/Xft9Wf6LWB

Entropy: https://t.co/p3U7RukkPA",https://twitter.com/SamMeliaPA/statuses/1620811503191597056,2,10,"Twitter Web App"
SamMeliaPA,"ID 1620811215076478976","Wed Feb 01 15:48:01 +0000 2023"," RT @Clay1984More: There's now a facebook group specifically for the demo in Erskine which will take place at 12 noon on Sunday (5th Feb). #…",https://twitter.com/SamMeliaPA/statuses/1620811215076478976,21,0,"Twitter Web App"
SamMeliaPA,"ID 1620557855366729728","Tue Jan 31 23:01:15 +0000 2023"," With security services like these, who needs enemies… https://t.co/mNCTV6D3kv",https://twitter.com/SamMeliaPA/statuses/1620557855366729728,4,15,"Twitter for iPhone"
SamMeliaPA,"ID 1620432232472260610","Tue Jan 31 14:42:05 +0000 2023"," RT @Clay1984More: Mark McGivern from the Daily Record called us a short time ago. They are running a story about Sunday's demo tomorrow (We…",https://twitter.com/SamMeliaPA/statuses/1620432232472260610,19,0,"Twitter for iPhone"
SamMeliaPA,"ID 1620346806919114753","Tue Jan 31 09:02:38 +0000 2023"," @RaifPW75 @SerenaJB3 @PatAlternative @telephonisttm @PatriotAlbion I can only imagine they read nothing but the Guardian",https://twitter.com/SamMeliaPA/statuses/1620346806919114753,0,2,"Twitter for iPhone"
SamMeliaPA,"ID 1620188696862666753","Mon Jan 30 22:34:21 +0000 2023"," Absolute state of the left, depriving the homeless of essential funds because they don't like who's giving it. https://t.co/U3Qd0PMQZz",https://twitter.com/SamMeliaPA/statuses/1620188696862666753,1,11,"Twitter Web App"
SamMeliaPA,"ID 1620134489153495041","Mon Jan 30 18:58:57 +0000 2023"," RT @thisislaurat: Join us tonight at 7pm (UK time) for Episode 79 of Tea Time with Sam &amp; Laura. We're joined by Darren “One-Punch” Edmundso…",https://twitter.com/SamMeliaPA/statuses/1620134489153495041,20,0,"Twitter Web App"
SamMeliaPA,"ID 1619783687079596033","Sun Jan 29 19:44:59 +0000 2023"," @thisislaurat @Chr1s5opherrr @Yogablackbelt @PatAlternative https://t.co/OGixHQSCEY",https://twitter.com/SamMeliaPA/statuses/1619783687079596033,1,22,"Twitter for iPhone"
SamMeliaPA,"ID 1619778954881273857","Sun Jan 29 19:26:11 +0000 2023"," @Chr1s5opherrr @thisislaurat @Yogablackbelt @PatAlternative Does it call me a liar in there?",https://twitter.com/SamMeliaPA/statuses/1619778954881273857,0,19,"Twitter for iPhone"
SamMeliaPA,"ID 1619775271921651712","Sun Jan 29 19:11:33 +0000 2023"," @Psychicchic74 @GordonFbpe @thisislaurat @Yogablackbelt @PatAlternative ding ding ding ding!",https://twitter.com/SamMeliaPA/statuses/1619775271921651712,0,1,"Twitter for iPhone"
SamMeliaPA,"ID 1619727822385483778","Sun Jan 29 16:03:00 +0000 2023"," RT @WestHullensian: They rarely venture outside their echo chamber, which Twitter has been for the past couple of years. 

Large swathes of…",https://twitter.com/SamMeliaPA/statuses/1619727822385483778,6,0,"Twitter Web App"
SamMeliaPA,"ID 1619713590495424513","Sun Jan 29 15:06:27 +0000 2023"," @FlafYorkshire @LadsLasses That's a picture of your guy...",https://twitter.com/SamMeliaPA/statuses/1619713590495424513,0,29,"Twitter Web App"
SamMeliaPA,"ID 1619713457712156672","Sun Jan 29 15:05:55 +0000 2023"," @GordonFbpe @thisislaurat @Yogablackbelt @PatAlternative Crossing the channel without docs and not via a legal entry point IS illegal. Claiming asylum merely protects you from any persecution for doing so.",https://twitter.com/SamMeliaPA/statuses/1619713457712156672,0,6,"Twitter Web App"
