"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
SerenaJB3,"ID 1621831725327290373","Sat Feb 04 11:23:10 +0000 2023"," RT @YorksRose_84: Mansfield Residents Say NO to the towns migrant hotel https://t.co/dWJAtRKXaK",https://twitter.com/SerenaJB3/statuses/1621831725327290373,71,0,"Twitter Web App"
SerenaJB3,"ID 1621831615549685762","Sat Feb 04 11:22:43 +0000 2023"," @RaifPW75 @trexfan2 @OptimistiCynic @SkyNews @BethRigby @Baddiel @DailyMailUK @s_stan1 @Sarathiel22 @DerylLynn @telephonisttm @KarenJukes2 @David_jc17 @LadyEnigma_93 @LondongirlSJ Corbyn was very happy to go along with the antiWhite agenda, but he upset the YKWs, so he had to go.",https://twitter.com/SerenaJB3/statuses/1621831615549685762,0,0,"Twitter Web App"
SerenaJB3,"ID 1621831123083878401","Sat Feb 04 11:20:46 +0000 2023"," @AndyJam15959991 All the mainstream parties are the same, they're all antiWhite and hell bent on making us into a demographic minority against our will. So much for democracy.",https://twitter.com/SerenaJB3/statuses/1621831123083878401,0,0,"Twitter Web App"
SerenaJB3,"ID 1621830762021490689","Sat Feb 04 11:19:20 +0000 2023"," @LondongirlSJ @RaifPW75 @AndyJam15959991 @PatAlternative @PatriotAlbion @bigfrankbutch12 @s_stan1 @EnglishRose_xiv @LadyEnigma_93 @JimFergusonUK @KarenJukes2 PA haven't given up, they're still trying to get registered, but our enemies keep putting obstacles in their way.",https://twitter.com/SerenaJB3/statuses/1621830762021490689,0,3,"Twitter Web App"
SerenaJB3,"ID 1621830357065809922","Sat Feb 04 11:17:43 +0000 2023"," @WilliamNorwich7 @MrSarlaac13 😂",https://twitter.com/SerenaJB3/statuses/1621830357065809922,0,2,"Twitter Web App"
SerenaJB3,"ID 1621821429657354242","Sat Feb 04 10:42:15 +0000 2023"," They want you to feel guilty for eternity White man, they want you to believe that you and only you are uniquely evil.

This is one of many manifestations of #antiWhitism.

#NoMoreWhiteGuilt https://t.co/TFelpKjSmA",https://twitter.com/SerenaJB3/statuses/1621821429657354242,2,22,"Twitter Web App"
SerenaJB3,"ID 1621819229170196481","Sat Feb 04 10:33:30 +0000 2023"," RT @JeffersonLee86: The United States was caught literally spying on Angela Merkel in her own office but I'm supposed to believe that China…",https://twitter.com/SerenaJB3/statuses/1621819229170196481,3,0,"Twitter Web App"
SerenaJB3,"ID 1621819094621212672","Sat Feb 04 10:32:58 +0000 2023"," RT @NHPUKOfficial: Politically Correct @markwhiteTV &amp; @PatrickChristys won’t dare say what the only solution is. It is to completely stop a…",https://twitter.com/SerenaJB3/statuses/1621819094621212672,68,0,"Twitter Web App"
SerenaJB3,"ID 1621814462041784320","Sat Feb 04 10:14:34 +0000 2023"," RT @StreetStarAndy6: @NHPUKOfficial @MichelleDewbs I'm livid that they get put in Hotels then given Flats! I've been Homeless for 13 Years…",https://twitter.com/SerenaJB3/statuses/1621814462041784320,10,0,"Twitter Web App"
SerenaJB3,"ID 1621803897667948545","Sat Feb 04 09:32:35 +0000 2023"," @greyraven20 The real crime is labelling people who want to keep their countries for their people as 'far right'.

The people who are trying to replace us are extremists.

#AntiWhitism",https://twitter.com/SerenaJB3/statuses/1621803897667948545,9,38,"Twitter Web App"
SerenaJB3,"ID 1621783798781288448","Sat Feb 04 08:12:43 +0000 2023"," RT @MuMofaBITCH1: @Steve92592444 @mssassysally My Nephew was a Prison officer, now Border Force, he blocked me of FB  when I had a heated d…",https://twitter.com/SerenaJB3/statuses/1621783798781288448,3,0,"Twitter for Android"
SerenaJB3,"ID 1621633459599835137","Fri Feb 03 22:15:19 +0000 2023"," @MatLodestone @Rekt57v I think so.",https://twitter.com/SerenaJB3/statuses/1621633459599835137,0,1,"Twitter for Android"
SerenaJB3,"ID 1621632850876309506","Fri Feb 03 22:12:54 +0000 2023"," RT @Justice_forum: Irish government on the ropes!

Patriot Graham Carey charged with incitement to hatred and barred from social media over…",https://twitter.com/SerenaJB3/statuses/1621632850876309506,31,0,"Twitter for Android"
SerenaJB3,"ID 1621632820358643712","Fri Feb 03 22:12:47 +0000 2023"," RT @MelishMarcus: Irish government are arresting folk who stand up to the INVASION
Same media who support Ukraine are silent.
@Iromg @Julia…",https://twitter.com/SerenaJB3/statuses/1621632820358643712,2,0,"Twitter for Android"
SerenaJB3,"ID 1621632720748089349","Fri Feb 03 22:12:23 +0000 2023"," @WVSchleicher @NatCI4Words @GuntherClub @Meer_Harm @Manny_Street @LondongirlSJ @woe_tree I love this song, best thing about that film.",https://twitter.com/SerenaJB3/statuses/1621632720748089349,0,3,"Twitter for Android"
SerenaJB3,"ID 1621587967792775170","Fri Feb 03 19:14:33 +0000 2023"," @1patriot_pirate @RMadden85 @Rekt57v I'd be happy about that, at least they wouldn't be bothering us.",https://twitter.com/SerenaJB3/statuses/1621587967792775170,0,7,"Twitter Web App"
SerenaJB3,"ID 1621585330137612288","Fri Feb 03 19:04:04 +0000 2023"," Live now! https://t.co/Q2x0K6IX94",https://twitter.com/SerenaJB3/statuses/1621585330137612288,2,10,"Twitter Web App"
SerenaJB3,"ID 1621584072907554816","Fri Feb 03 18:59:05 +0000 2023"," @jbelme21 @Rekt57v They don't belong in the West, and I think it's actually bad for them to be here (as well as terrible for us obviously), and it's bad for them to keep feeding them in Africa. It's built up a dependency on us, and they resent us for it so they behave like spoilt brats.",https://twitter.com/SerenaJB3/statuses/1621584072907554816,0,3,"Twitter Web App"
