"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
Southron_X,"ID 1621737976920248320","Sat Feb 04 05:10:38 +0000 2023"," @JessicaCiocci You are definitely never not fat! Far from it! You are pretty near perfect. 🤷‍♂️",https://twitter.com/Southron_X/statuses/1621737976920248320,0,0,"Twitter for iPhone"
Southron_X,"ID 1621720995479359488","Sat Feb 04 04:03:10 +0000 2023"," @JessicaCiocci Fat?? Lol",https://twitter.com/Southron_X/statuses/1621720995479359488,0,0,"Twitter for iPhone"
Southron_X,"ID 1621674230222921729","Sat Feb 04 00:57:20 +0000 2023"," @JessicaCiocci 💯",https://twitter.com/Southron_X/statuses/1621674230222921729,0,0,"Twitter for iPhone"
Southron_X,"ID 1621674165567688706","Sat Feb 04 00:57:04 +0000 2023"," @JessicaCiocci I’m right there with you today! :/",https://twitter.com/Southron_X/statuses/1621674165567688706,0,0,"Twitter for iPhone"
Southron_X,"ID 1621669676018188288","Sat Feb 04 00:39:14 +0000 2023"," @kjosmitty Sad, isn’t it?",https://twitter.com/Southron_X/statuses/1621669676018188288,0,1,"Twitter for iPhone"
Southron_X,"ID 1621669434472497153","Sat Feb 04 00:38:16 +0000 2023"," @BaconNoob22 So you’re all mouth.",https://twitter.com/Southron_X/statuses/1621669434472497153,0,0,"Twitter for iPhone"
Southron_X,"ID 1621663721096364038","Sat Feb 04 00:15:34 +0000 2023"," @BaconNoob22 Bring it!",https://twitter.com/Southron_X/statuses/1621663721096364038,0,0,"Twitter for iPhone"
Southron_X,"ID 1621663516288585728","Sat Feb 04 00:14:45 +0000 2023"," @kjosmitty American voters are morons, so you’re probably right.",https://twitter.com/Southron_X/statuses/1621663516288585728,0,1,"Twitter for iPhone"
Southron_X,"ID 1621663093112586241","Sat Feb 04 00:13:05 +0000 2023"," RT @AmericaTaiwan: Black privilege: When black liberals get to throw around the false term ""white privilege"" to hide their own racism.",https://twitter.com/Southron_X/statuses/1621663093112586241,1,0,"Twitter for iPhone"
Southron_X,"ID 1621656035093086208","Fri Feb 03 23:45:02 +0000 2023"," @BaconNoob22 No. Piss off. 🖕🏻😂",https://twitter.com/Southron_X/statuses/1621656035093086208,0,0,"Twitter for iPhone"
Southron_X,"ID 1621644455420764160","Fri Feb 03 22:59:01 +0000 2023"," https://t.co/iW009nLxGD https://t.co/n3Mf9s1bGY",https://twitter.com/Southron_X/statuses/1621644455420764160,0,1,"Twitter Web App"
Southron_X,"ID 1621643805253410816","Fri Feb 03 22:56:26 +0000 2023"," RT @paulsperry_: NORAD has confirmed this is a military incursion by a foreign adversary. Yet the White House is going to let the incursion…",https://twitter.com/Southron_X/statuses/1621643805253410816,2612,0,"Twitter Web App"
Southron_X,"ID 1621638567628783620","Fri Feb 03 22:35:37 +0000 2023"," where are all the libtard snowflakes? https://t.co/FbPJtPzkTa",https://twitter.com/Southron_X/statuses/1621638567628783620,0,2,"Twitter Web App"
Southron_X,"ID 1621637719725047812","Fri Feb 03 22:32:15 +0000 2023"," @cocknee1 @Bowrie For? lol",https://twitter.com/Southron_X/statuses/1621637719725047812,0,0,"Twitter Web App"
Southron_X,"ID 1621637648421998592","Fri Feb 03 22:31:58 +0000 2023"," @Bowrie Reported for?",https://twitter.com/Southron_X/statuses/1621637648421998592,0,0,"Twitter Web App"
Southron_X,"ID 1621626705390469120","Fri Feb 03 21:48:29 +0000 2023"," More White privilege
https://t.co/VbOrfaTgDt",https://twitter.com/Southron_X/statuses/1621626705390469120,1,5,"Twitter Web App"
Southron_X,"ID 1621602473147244545","Fri Feb 03 20:12:12 +0000 2023"," @TheKoboldest https://t.co/XOlzoi8OvS",https://twitter.com/Southron_X/statuses/1621602473147244545,0,0,"Twitter Web App"
Southron_X,"ID 1621601337489199107","Fri Feb 03 20:07:41 +0000 2023"," @YouBrokeItMate @time2Bkind2all https://t.co/vP7j3Hp0qR",https://twitter.com/Southron_X/statuses/1621601337489199107,0,0,"Twitter Web App"
