"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
TOOEdit,"ID 1621729465184452608","Sat Feb 04 04:36:49 +0000 2023"," Finally, it turns out that Tyre Nichols murder was really about White supremacy all along. 
https://t.co/0fJAlJV9I8",https://twitter.com/TOOEdit/statuses/1621729465184452608,7,57,"Twitter Web App"
TOOEdit,"ID 1621606148091805696","Fri Feb 03 20:26:48 +0000 2023"," @ADL_Tracker What about criticizing Israeli government policies on the West Bank, e.g. Is that anti-Semitic?",https://twitter.com/TOOEdit/statuses/1621606148091805696,0,1,"Twitter Web App"
TOOEdit,"ID 1621605535215943682","Fri Feb 03 20:24:22 +0000 2023"," RT @MarkACollett: This isn't Islamabad in Pakistan, this is London, England.
When politicians gush over 'diversity' &amp; multiculturalism, thi…",https://twitter.com/TOOEdit/statuses/1621605535215943682,273,0,"Twitter Web App"
TOOEdit,"ID 1621596028901396480","Fri Feb 03 19:46:35 +0000 2023"," Criticism of Israel as anti-Semitism is absolutely entrenched in the pro-Israel establishment. https://t.co/3k8hKuseg8",https://twitter.com/TOOEdit/statuses/1621596028901396480,31,104,"Twitter Web App"
TOOEdit,"ID 1621595325688606721","Fri Feb 03 19:43:48 +0000 2023"," RT @MarkACollett: Zelensky calls for preemptive nuclear strikes on Moscow, an act that would lead to nuclear war &amp; billions dying.
This is…",https://twitter.com/TOOEdit/statuses/1621595325688606721,461,0,"Twitter Web App"
TOOEdit,"ID 1621591782965526528","Fri Feb 03 19:29:43 +0000 2023"," Republicans being Republicans.  Deporting is definitely not on the table.
https://t.co/qdsjdwGU3t",https://twitter.com/TOOEdit/statuses/1621591782965526528,9,34,"Twitter Web App"
TOOEdit,"ID 1621543335784771584","Fri Feb 03 16:17:12 +0000 2023"," Just another indoctrinated White woman. I'd like to know what college she went to and what her professors told her. https://t.co/mBONdjnG4y",https://twitter.com/TOOEdit/statuses/1621543335784771584,15,95,"Twitter Web App"
TOOEdit,"ID 1621542185014534145","Fri Feb 03 16:12:38 +0000 2023"," been $2.5 trillion higher in the year 2018 alone. Price and Edwards calculate that the cumulative tab for our four-decade-long experiment in radical inequality had grown to over $47 trillion from 1975 through 2018.""",https://twitter.com/TOOEdit/statuses/1621542185014534145,3,30,"Twitter Web App"
TOOEdit,"ID 1621542183198400512","Fri Feb 03 16:12:37 +0000 2023"," Coincides with the rise of our new elite: ""had the more equitable income distributions of the three decades following World War II (1945-1974) merely held steady, the aggregate annual income of Americans earning below the 90th percentile would have 
https://t.co/ZbUPEeTez9",https://twitter.com/TOOEdit/statuses/1621542183198400512,11,54,"Twitter Web App"
TOOEdit,"ID 1621529946773655555","Fri Feb 03 15:24:00 +0000 2023"," Equity and climate change are 50 percent more important than the cost.",https://twitter.com/TOOEdit/statuses/1621529946773655555,0,16,"Twitter Web App"
