"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
TheMadDimension,"ID 1621666575748145152","Sat Feb 04 00:26:55 +0000 2023"," @Philosophi_Cat @KingDavidQPS Porn bad. Base desires good. The difference is important because if the right only wants to attract frigid, sexless men and women it will find few converts. And the alternative to porn will look pretty weak.",https://twitter.com/TheMadDimension/statuses/1621666575748145152,0,1,"Twitter for iPhone"
TheMadDimension,"ID 1621610538974302208","Fri Feb 03 20:44:15 +0000 2023"," @AmericanKrogan I agree with your overall premise about Star Trek being subversive and (to some extent) Jewish.

But I’m not sure that asking “what does it mean to be male or female” is necessarily deconstructivist. Science fiction uses hypotheticals to help us understand what it is to be human",https://twitter.com/TheMadDimension/statuses/1621610538974302208,0,2,"Twitter for iPhone"
TheMadDimension,"ID 1621603553788706820","Fri Feb 03 20:16:29 +0000 2023"," @AmericanKrogan DS9 was when Trek really started turning the corner towards social justice themes: race and gay stuff.

The Trill were clearly a trans allegory. Plus the White woman dating a Klingon. Garak being a homosexual, etc",https://twitter.com/TheMadDimension/statuses/1621603553788706820,0,3,"Twitter for iPhone"
TheMadDimension,"ID 1621602546379800577","Fri Feb 03 20:12:29 +0000 2023"," @AmericanKrogan Star Trek has become extremely subversive but this isn’t that bad imo. There are species of reptiles that change gender depending on the temperature during their gestation.

Not all species would necessarily have human gender biology.",https://twitter.com/TheMadDimension/statuses/1621602546379800577,0,7,"Twitter for iPhone"
TheMadDimension,"ID 1621585591807754240","Fri Feb 03 19:05:07 +0000 2023"," RT @jeremycarl4: 🧵

1/x

Of the 97 federal judges confirmed under Biden:

5 are white men

22 are black women

From LSAT data taken from a…",https://twitter.com/TheMadDimension/statuses/1621585591807754240,581,0,"Twitter for iPhone"
TheMadDimension,"ID 1621583381992542210","Fri Feb 03 18:56:20 +0000 2023"," Why does every coffee house have to have Communist, BLM and queer supremacy propaganda?",https://twitter.com/TheMadDimension/statuses/1621583381992542210,5,59,"Twitter for iPhone"
TheMadDimension,"ID 1621529966616739840","Fri Feb 03 15:24:05 +0000 2023"," @WorldWarWang Is that what the Vietnamese hookers told you?",https://twitter.com/TheMadDimension/statuses/1621529966616739840,0,5,"Twitter for iPhone"
TheMadDimension,"ID 1621529670251417601","Fri Feb 03 15:22:54 +0000 2023"," Is that what the Vietnamese hookers told you? https://t.co/1706pSsExx",https://twitter.com/TheMadDimension/statuses/1621529670251417601,0,6,"Twitter for iPhone"
TheMadDimension,"ID 1621529174220341248","Fri Feb 03 15:20:56 +0000 2023"," RT @petessubstack: https://t.co/QHemjLahnC",https://twitter.com/TheMadDimension/statuses/1621529174220341248,99,0,"Twitter for iPhone"
TheMadDimension,"ID 1621528785911791617","Fri Feb 03 15:19:23 +0000 2023"," RT @VaDominion: Average ""RW"" take tbh. I can't stand these clowns.",https://twitter.com/TheMadDimension/statuses/1621528785911791617,2,0,"Twitter for iPhone"
