"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
WLMCalifornia,"ID 1621587335845650432","Fri Feb 03 19:12:03 +0000 2023"," Did you know Henry Ford was an author? 

The International Jew by Henry Ford Volume One

Get it now at https://t.co/JP86yd6C4X https://t.co/4ErWbWkdmV",https://twitter.com/WLMCalifornia/statuses/1621587335845650432,19,155,"Twitter Web App"
WLMCalifornia,"ID 1621388857819398145","Fri Feb 03 06:03:22 +0000 2023"," These parasites would celebrate the government taking your kids from you for not teaching them about the 6 million. https://t.co/d9r6SBxVHs",https://twitter.com/WLMCalifornia/statuses/1621388857819398145,26,117,"Twitter Web App"
WLMCalifornia,"ID 1621291644938244096","Thu Feb 02 23:37:04 +0000 2023"," Mentally unstable Jew @KrisGoldsmith85 who got booted from the military works to put your name on a list and is simultaneously the innocent victim of doxxing. https://t.co/4mWSWoKp1l",https://twitter.com/WLMCalifornia/statuses/1621291644938244096,4,30,"Twitter Web App"
WLMCalifornia,"ID 1621281078211379200","Thu Feb 02 22:55:05 +0000 2023"," https://t.co/RWUbayoDC4 https://t.co/2i6sUm9g6d",https://twitter.com/WLMCalifornia/statuses/1621281078211379200,20,102,"Twitter Web App"
WLMCalifornia,"ID 1620954240712871936","Thu Feb 02 01:16:21 +0000 2023"," RT @troonytoons: https://t.co/xFF7IOEQHI",https://twitter.com/WLMCalifornia/statuses/1620954240712871936,155,0,"Twitter Web App"
WLMCalifornia,"ID 1620922504805244929","Wed Feb 01 23:10:15 +0000 2023"," The Irish have enough ethnic homogeneity to not sit idly by while foreign invaders destroy their country and people. Footage is from a Irish nationalist protest tonight in Ireland. 

https://t.co/ryKTEJaSFy https://t.co/yiY4I0jA5U",https://twitter.com/WLMCalifornia/statuses/1620922504805244929,95,355,"Twitter Web App"
WLMCalifornia,"ID 1620917492041543682","Wed Feb 01 22:50:19 +0000 2023"," A gang, shock troops for the commissars 
Kosher sheriffs that's why they all wear orange stars https://t.co/7v8lLXKc5d",https://twitter.com/WLMCalifornia/statuses/1620917492041543682,3,21,"Twitter Web App"
WLMCalifornia,"ID 1620916074782031872","Wed Feb 01 22:44:42 +0000 2023"," @sbsheriff Anyone with information about the source of these messages is encouraged to contact Sheriff’s Detectives at (805)681-4150.

What will you do with this information?",https://twitter.com/WLMCalifornia/statuses/1620916074782031872,0,14,"Twitter Web App"
WLMCalifornia,"ID 1620909663587024901","Wed Feb 01 22:19:13 +0000 2023"," “Our children pay the price for our inaction - Stand up white man” read one of the flyers upon closer inspection. The other flyer contained an ad for a white supremacist propaganda film entitled “Europa: The Last Battle.” 

https://t.co/Bhdudy42Mp",https://twitter.com/WLMCalifornia/statuses/1620909663587024901,3,22,"Twitter Web App"
WLMCalifornia,"ID 1620564910454489088","Tue Jan 31 23:29:17 +0000 2023"," Our enemies have infinite funds they use to suppress and disrupt anyone who opposes them.

If you support our extremism (pro-White real life activism) consider donating to our cause anonymously with Bitcoin. 100% goes to irl activism.

bc1qqhyclrq40g60frfqysazte6lv844j7dq8twnrk https://t.co/T5nYLQ2UXf",https://twitter.com/WLMCalifornia/statuses/1620564910454489088,5,26,"Twitter Web App"
WLMCalifornia,"ID 1620536111071399937","Tue Jan 31 21:34:51 +0000 2023"," Active Club France 🇫🇷
Get active wherever you are. https://t.co/bpnrws9IpP https://t.co/QflHhVUhEg",https://twitter.com/WLMCalifornia/statuses/1620536111071399937,2,42,"Twitter Web App"
WLMCalifornia,"ID 1620264339176562688","Tue Jan 31 03:34:56 +0000 2023"," Join your local active club and bully bugmen ""journalists""

https://t.co/PhSgmOHLmm",https://twitter.com/WLMCalifornia/statuses/1620264339176562688,8,52,"Twitter Web App"
WLMCalifornia,"ID 1620200516096790528","Mon Jan 30 23:21:19 +0000 2023"," RT @NationalPartyIE: When Irish rights are under attack, it's time to send them all back!

Get active and join the National Party: https://…",https://twitter.com/WLMCalifornia/statuses/1620200516096790528,27,0,"Twitter Web App"
WLMCalifornia,"ID 1620187681006432257","Mon Jan 30 22:30:19 +0000 2023"," Which Way - No Face Nate https://t.co/nP9yMjQT6r",https://twitter.com/WLMCalifornia/statuses/1620187681006432257,7,42,"Twitter Web App"
WLMCalifornia,"ID 1620179498280050689","Mon Jan 30 21:57:48 +0000 2023"," RT @WLM_NEW_YORK: This is Our southern border. They have UNIFORMS on and this is still ""migration"" not INVASION? This is why Our Folk are d…",https://twitter.com/WLMCalifornia/statuses/1620179498280050689,7,0,"Twitter Web App"
WLMCalifornia,"ID 1619853212680605696","Mon Jan 30 00:21:15 +0000 2023"," Infiltrate your local bugmen 👀 https://t.co/c4F3QovZmP",https://twitter.com/WLMCalifornia/statuses/1619853212680605696,3,52,"Twitter Web App"
WLMCalifornia,"ID 1619813979601408001","Sun Jan 29 21:45:22 +0000 2023"," Big troon L https://t.co/Se1yxZidjz",https://twitter.com/WLMCalifornia/statuses/1619813979601408001,0,21,"Twitter Web App"
WLMCalifornia,"ID 1619532254178598913","Sun Jan 29 03:05:53 +0000 2023"," In case you missed it watch here -
Media2Rise - Birth of a New Frontier https://t.co/XhAEcoNdhe https://t.co/46j2m49fax",https://twitter.com/WLMCalifornia/statuses/1619532254178598913,3,11,"Twitter Web App"
WLMCalifornia,"ID 1619474485639512064","Sat Jan 28 23:16:20 +0000 2023"," Officers encourage anyone with information to contact the department at 916-355-7230.

Call and ask why they have the hate crime unit investigating ""It's okay to be White"" flyers and what crime has been committed.

https://t.co/LFqQ1Z9GYc https://t.co/sQlxQs0Eik",https://twitter.com/WLMCalifornia/statuses/1619474485639512064,16,62,"Twitter Web App"
WLMCalifornia,"ID 1619460560051130369","Sat Jan 28 22:21:00 +0000 2023"," RT @Nature_and_Race: This is exactly why people like me exist.",https://twitter.com/WLMCalifornia/statuses/1619460560051130369,48,0,"Twitter Web App"
WLMCalifornia,"ID 1619125505722294272","Sat Jan 28 00:09:37 +0000 2023"," As we honor Holocaust Remembrance Day it's important to remember not to make the same mistakes of the past. Take the time to watch this life-changing documentary out of respect for all the fallen. If you've seen it, make the effort to share it.
https://t.co/Ep3GVxsFvr https://t.co/gPRH0R9cdJ",https://twitter.com/WLMCalifornia/statuses/1619125505722294272,379,1391,"Twitter Web App"
WLMCalifornia,"ID 1619104708207214593","Fri Jan 27 22:46:58 +0000 2023"," Bills like this continue to pop up all over the country as they scramble to suppress the truth. 
Use your rights before you lose your rights! Get active. https://t.co/XSsfPEE43W",https://twitter.com/WLMCalifornia/statuses/1619104708207214593,7,24,"Twitter Web App"
WLMCalifornia,"ID 1619104688967917568","Fri Jan 27 22:46:54 +0000 2023"," They continue to overplay their hand. A Florida ""Republican"" proposed a new shut it down bill. Distributing factual flyers, projecting on to buildings, and whatever they deem antisemitic would be a 3rd class felony hate crime.

https://t.co/Mg47b37uAS https://t.co/AmKSi135lV",https://twitter.com/WLMCalifornia/statuses/1619104688967917568,25,72,"Twitter Web App"
WLMCalifornia,"ID 1618393137042591745","Wed Jan 25 23:39:26 +0000 2023"," Walk for Life SF.

We'll never stop fighting to secure the existence of our people and a future for White children. https://t.co/bMub0WI4ye",https://twitter.com/WLMCalifornia/statuses/1618393137042591745,21,134,"Twitter Web App"
WLMCalifornia,"ID 1618372983374110720","Wed Jan 25 22:19:21 +0000 2023"," @elonmusk Reinstate @wlmfront",https://twitter.com/WLMCalifornia/statuses/1618372983374110720,15,60,"Twitter Web App"
WLMCalifornia,"ID 1618371993572872210","Wed Jan 25 22:15:25 +0000 2023"," If you want to see your elected officials actually do something just criticize Jewish power and they'll work through the night to shut it down. https://t.co/eratZIlOJ5",https://twitter.com/WLMCalifornia/statuses/1618371993572872210,5,29,"Twitter Web App"
WLMCalifornia,"ID 1618366130732797952","Wed Jan 25 21:52:08 +0000 2023"," Always bully bugmen.
https://t.co/1g5O8ZTe8R https://t.co/sF5Gj3tCjx",https://twitter.com/WLMCalifornia/statuses/1618366130732797952,2,35,"Twitter Web App"
