"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
WurzelRoot,"ID 1621604670698561538","Fri Feb 03 20:20:56 +0000 2023"," @TobyTurner Tobuscus will save this planet.",https://twitter.com/WurzelRoot/statuses/1621604670698561538,2,70,"Twitter Web App"
WurzelRoot,"ID 1621604594643247104","Fri Feb 03 20:20:37 +0000 2023"," RT @TobyTurner: Hitler youth were taught to betray their family if they disagreed with the state run education

in Canada, parents are arre…",https://twitter.com/WurzelRoot/statuses/1621604594643247104,33,0,"Twitter Web App"
WurzelRoot,"ID 1620921270845214723","Wed Feb 01 23:05:20 +0000 2023"," Why tf was your school's library entirely filled with ""gay sex for kids"" books??? https://t.co/Gt7L18rFeZ",https://twitter.com/WurzelRoot/statuses/1620921270845214723,39,402,"Twitter Web App"
WurzelRoot,"ID 1620894368042450944","Wed Feb 01 21:18:26 +0000 2023"," Libtards... 🤬😡😾",https://twitter.com/WurzelRoot/statuses/1620894368042450944,6,95,"Twitter for Android"
WurzelRoot,"ID 1620173945902338048","Mon Jan 30 21:35:44 +0000 2023"," Blaspheming with a binkie in his mouth. https://t.co/oleEhxZa71",https://twitter.com/WurzelRoot/statuses/1620173945902338048,5,117,"Twitter for Android"
WurzelRoot,"ID 1620162678122749953","Mon Jan 30 20:50:58 +0000 2023"," RT @cozy_clips: Wurzleroot is a big mom RESPECTER.  Watch him at https://t.co/xVh8InVTuP https://t.co/f1CAuTotPP",https://twitter.com/WurzelRoot/statuses/1620162678122749953,36,0,"Twitter for Android"
WurzelRoot,"ID 1619442547285426176","Sat Jan 28 21:09:25 +0000 2023"," This is unacceptable ✊🏿
#MemphisPolice #BLM #NoJusticeNoPeace #TyreNichols https://t.co/xL8gSZK1zJ",https://twitter.com/WurzelRoot/statuses/1619442547285426176,14,136,"Twitter Web App"
WurzelRoot,"ID 1619434545945939969","Sat Jan 28 20:37:38 +0000 2023"," @thelaymanstake try reading the tweet again, this time slowly",https://twitter.com/WurzelRoot/statuses/1619434545945939969,0,6,"Twitter Web App"
WurzelRoot,"ID 1619433565904850944","Sat Jan 28 20:33:44 +0000 2023"," RT @WurzelRoot: @Chuck_your_guru im not saying anything is your fault, i am saying you are too dumb to understand the world around you. jus…",https://twitter.com/WurzelRoot/statuses/1619433565904850944,1,0,"Twitter Web App"
WurzelRoot,"ID 1619433554202746882","Sat Jan 28 20:33:41 +0000 2023"," @Chuck_your_guru im not saying anything is your fault, i am saying you are too dumb to understand the world around you. just as you are too dumb to have the 3rd grade reading comprehension skills required to understand my tweet.",https://twitter.com/WurzelRoot/statuses/1619433554202746882,1,39,"Twitter Web App"
