"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
YEisRIGHT2024,"ID 1620591793908899841","Wed Feb 01 01:16:07 +0000 2023"," @floridastate https://t.co/5XTTMZjO1z",https://twitter.com/YEisRIGHT2024/statuses/1620591793908899841,2,13,"Twitter for iPhone"
YEisRIGHT2024,"ID 1620589638271524864","Wed Feb 01 01:07:33 +0000 2023"," @floridastate https://t.co/nEdxVTJIFv",https://twitter.com/YEisRIGHT2024/statuses/1620589638271524864,0,0,"Twitter for iPhone"
YEisRIGHT2024,"ID 1620575113434509312","Wed Feb 01 00:09:50 +0000 2023"," YEisRIGHT at FSU will air tomorrow at 6:30pm est on https://t.co/mrT8rfzKDW and the VOD will be on our rumble channel.",https://twitter.com/YEisRIGHT2024/statuses/1620575113434509312,14,49,"Twitter for iPhone"
YEisRIGHT2024,"ID 1620231094380658688","Tue Jan 31 01:22:49 +0000 2023"," We are only here for peace and love #YEisRIGHT @floridastate #LOVESPEECH 

RT if you love Ye! https://t.co/kv1oBFOGx3",https://twitter.com/YEisRIGHT2024/statuses/1620231094380658688,32,110,"Twitter for iPhone"
YEisRIGHT2024,"ID 1619538295217856512","Sun Jan 29 03:29:53 +0000 2023"," Uh oh @UofAlabama #YEisRIGHT",https://twitter.com/YEisRIGHT2024/statuses/1619538295217856512,4,62,"Twitter for iPhone"
YEisRIGHT2024,"ID 1619077486457020417","Fri Jan 27 20:58:48 +0000 2023"," RT @TRightDissident: University of Alabama has violated our first amendment right. Big announcement soon. Lots of footage. @UofAlabama",https://twitter.com/YEisRIGHT2024/statuses/1619077486457020417,33,0,"Twitter for iPhone"
YEisRIGHT2024,"ID 1618801633957400581","Fri Jan 27 02:42:40 +0000 2023"," RT @TRightDissident: Real and accurate reporting! #YEisRIGHT

https://t.co/BfxeH4prOn",https://twitter.com/YEisRIGHT2024/statuses/1618801633957400581,12,0,"Twitter for iPhone"
YEisRIGHT2024,"ID 1618652909432094720","Thu Jan 26 16:51:41 +0000 2023"," Hey @floridastate we are here. #LOVESPEECH #YEisRIGHT",https://twitter.com/YEisRIGHT2024/statuses/1618652909432094720,34,163,"Twitter for iPhone"
YEisRIGHT2024,"ID 1618648880853434369","Thu Jan 26 16:35:40 +0000 2023"," @GeoHeraldo @TRightDissident https://t.co/gL4Fjx1nCh",https://twitter.com/YEisRIGHT2024/statuses/1618648880853434369,1,9,"Twitter for iPhone"
YEisRIGHT2024,"ID 1618648713442000897","Thu Jan 26 16:35:00 +0000 2023"," @GeoHeraldo @TRightDissident https://t.co/Hnc3NVYFkc",https://twitter.com/YEisRIGHT2024/statuses/1618648713442000897,0,1,"Twitter for iPhone"
YEisRIGHT2024,"ID 1618476195951284224","Thu Jan 26 05:09:29 +0000 2023"," Spotted in Bama! ROLL TIDE! https://t.co/BC9m9tCcM7",https://twitter.com/YEisRIGHT2024/statuses/1618476195951284224,8,116,"Twitter for iPhone"
YEisRIGHT2024,"ID 1617554755919966211","Mon Jan 23 16:08:01 +0000 2023"," RT @TRightDissident: I won antisemite of the week! o7 @StopAntisemites thank you!",https://twitter.com/YEisRIGHT2024/statuses/1617554755919966211,27,0,"Twitter for iPhone"
YEisRIGHT2024,"ID 1616923717904510976","Sat Jan 21 22:20:29 +0000 2023"," RT @TRightDissident: For anyone who wants to help out the YEisRIGHT change my mind expenses. Aka travel, security, gas, equipment feel free…",https://twitter.com/YEisRIGHT2024/statuses/1616923717904510976,5,0,"Twitter for iPhone"
YEisRIGHT2024,"ID 1616684673467355144","Sat Jan 21 06:30:37 +0000 2023"," RT @WorldWarWang: https://t.co/bWdERV5Ine",https://twitter.com/YEisRIGHT2024/statuses/1616684673467355144,52,0,"Twitter for iPhone"
YEisRIGHT2024,"ID 1616578890071261185","Fri Jan 20 23:30:16 +0000 2023"," @thepinna @RealDSchmidt Not inherently but the “facts” surrounding the holocaust like any other historic event should and can be discussed.",https://twitter.com/YEisRIGHT2024/statuses/1616578890071261185,0,3,"Twitter for iPhone"
YEisRIGHT2024,"ID 1616545487624060934","Fri Jan 20 21:17:32 +0000 2023"," Why are we being labeled as hateful??? #YEisRIGHT https://t.co/MaVWCbW867",https://twitter.com/YEisRIGHT2024/statuses/1616545487624060934,10,73,"Twitter for iPhone"
YEisRIGHT2024,"ID 1616507065584738305","Fri Jan 20 18:44:52 +0000 2023"," Let’s try and get this to 20k views??? Many people don’t know where to find it because we are on Alt tech platforms! 

https://t.co/AARp7hs0TY",https://twitter.com/YEisRIGHT2024/statuses/1616507065584738305,18,56,"Twitter for iPhone"
YEisRIGHT2024,"ID 1616488389871534088","Fri Jan 20 17:30:39 +0000 2023"," RT @Libtard_Killa: funny encounter with a histrionic jewess 

https://t.co/NXtlkYK5Z4 https://t.co/PAn6rRICOe",https://twitter.com/YEisRIGHT2024/statuses/1616488389871534088,85,0,"Twitter for iPhone"
YEisRIGHT2024,"ID 1616285618564104195","Fri Jan 20 04:04:55 +0000 2023"," Be sure to hit the like button and comment! It’s only getting better from here. 

https://t.co/AARp7hs0TY",https://twitter.com/YEisRIGHT2024/statuses/1616285618564104195,6,59,"Twitter for iPhone"
