"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
_AllTheCost,"ID 1166755915137191936","Wed Aug 28 16:54:22 +0000 2019"," @Joltyr1 Lulz",https://twitter.com/_AllTheCost/statuses/1166755915137191936,0,0,"Twitter for Android"
_AllTheCost,"ID 1166752480329437186","Wed Aug 28 16:40:43 +0000 2019"," @Joltyr1 He's warming up in the locker room.",https://twitter.com/_AllTheCost/statuses/1166752480329437186,0,1,"Twitter for Android"
_AllTheCost,"ID 1166749457322565632","Wed Aug 28 16:28:42 +0000 2019"," @Jonandstuff @ybca Because then you niggers would starve just like in Zimbabwe. 

#oogabooga",https://twitter.com/_AllTheCost/statuses/1166749457322565632,0,0,"Twitter for Android"
_AllTheCost,"ID 1166747810752061442","Wed Aug 28 16:22:09 +0000 2019"," Come on!? That guy is a nigger, if there ever was one. https://t.co/QaaawkMJ3d",https://twitter.com/_AllTheCost/statuses/1166747810752061442,0,3,"Twitter for Android"
_AllTheCost,"ID 1166745439938498563","Wed Aug 28 16:12:44 +0000 2019"," Fuck around and find out, nigger. https://t.co/7oy5wovoy8",https://twitter.com/_AllTheCost/statuses/1166745439938498563,17,98,"Twitter for Android"
_AllTheCost,"ID 1166166130198765570","Tue Aug 27 01:50:46 +0000 2019"," @FilthyHeeb_ Yessir. Any time. EVERYTIME. Lulz.",https://twitter.com/_AllTheCost/statuses/1166166130198765570,0,0,"Twitter for Android"
_AllTheCost,"ID 1166165651439984641","Tue Aug 27 01:48:52 +0000 2019"," @Outsider__14 Laugh my ass right the fuck off.",https://twitter.com/_AllTheCost/statuses/1166165651439984641,0,0,"Twitter for Android"
_AllTheCost,"ID 1166164851527495682","Tue Aug 27 01:45:41 +0000 2019"," ⚡⚡FOLLOW this fren⚡⚡ https://t.co/mqYNdXh5sK",https://twitter.com/_AllTheCost/statuses/1166164851527495682,0,0,"Twitter for Android"
_AllTheCost,"ID 1166091403547619332","Mon Aug 26 20:53:50 +0000 2019"," mUh PrIvAtE cOmPaNiEs....are doing the government's heavy lifting to throw you in jail for thought crime. 

https://t.co/L2BmOnxsh3",https://twitter.com/_AllTheCost/statuses/1166091403547619332,0,1,"Twitter for Android"
_AllTheCost,"ID 1166028635284881408","Mon Aug 26 16:44:25 +0000 2019"," ⚡⚡Follow for subdued and sophisticated political debate ⚡⚡ https://t.co/XwjDfeKE5W",https://twitter.com/_AllTheCost/statuses/1166028635284881408,2,2,"Twitter for Android"
_AllTheCost,"ID 1165770934676008961","Sun Aug 25 23:40:24 +0000 2019"," One small step for a woman...one giant leap backward for mankind. https://t.co/w0cgwAL0m3",https://twitter.com/_AllTheCost/statuses/1165770934676008961,0,3,"Twitter for Android"
_AllTheCost,"ID 1165742530975215616","Sun Aug 25 21:47:32 +0000 2019"," @SmilingPariahV4 Get em.",https://twitter.com/_AllTheCost/statuses/1165742530975215616,0,0,"Twitter for Android"
_AllTheCost,"ID 1165685483583746049","Sun Aug 25 18:00:51 +0000 2019"," @salvamedomine You're right. Used a bad number that he thought was good. 

That one may be F",https://twitter.com/_AllTheCost/statuses/1165685483583746049,0,1,"Twitter for Android"
_AllTheCost,"ID 1165682752043270145","Sun Aug 25 17:50:00 +0000 2019"," @salvamedomine Quick number verification...few minutes and he'll be up.",https://twitter.com/_AllTheCost/statuses/1165682752043270145,0,0,"Twitter for Android"
_AllTheCost,"ID 1165681937631068161","Sun Aug 25 17:46:45 +0000 2019"," ⚡⚡ Follow⚡⚡ https://t.co/6wxktrdvci",https://twitter.com/_AllTheCost/statuses/1165681937631068161,0,1,"Twitter for Android"
_AllTheCost,"ID 1165670510405046272","Sun Aug 25 17:01:21 +0000 2019"," Stunning and brave. https://t.co/5ETmfTDarP",https://twitter.com/_AllTheCost/statuses/1165670510405046272,0,1,"Twitter for Android"
_AllTheCost,"ID 1165660681296850951","Sun Aug 25 16:22:18 +0000 2019"," @Fenrir3_0 @MMcGeeWriter @Bigsmellyboy @Atlanta962 @TheSimpsons Of the two reasonable options presented, only coronary boomer man thought ""spades"" applied to the darks. 🤔",https://twitter.com/_AllTheCost/statuses/1165660681296850951,0,1,"Twitter for Android"
_AllTheCost,"ID 1165658140928618498","Sun Aug 25 16:12:12 +0000 2019"," @MMcGeeWriter @Fenrir3_0 @Bigsmellyboy @Atlanta962 @TheSimpsons This boomer has lived long enough to remember calling blacks ""spades.""

It's not racial, dipshit. It's the highest suit in the deck... making it ""your strong suit"" or talent.

Epitaph...lol. The word you're looking for is ""epithet,"" you proud, proud writer.",https://twitter.com/_AllTheCost/statuses/1165658140928618498,0,2,"Twitter for Android"
_AllTheCost,"ID 1165508114604593152","Sun Aug 25 06:16:03 +0000 2019"," @_wecounterhate_ @DFWAltRight And I retweeted my own tweet. So pay that animal again.",https://twitter.com/_AllTheCost/statuses/1165508114604593152,0,0,"Twitter for Android"
_AllTheCost,"ID 1165507760378789889","Sun Aug 25 06:14:38 +0000 2019"," @_wecounterhate_ @DFWAltRight This piece of trash made a donation for the person who said ""it's just a dang dog"" while taking up for the person beating it's paws with a bat...just because mUh RaCiSm. 🤤",https://twitter.com/_AllTheCost/statuses/1165507760378789889,0,1,"Twitter for Android"
_AllTheCost,"ID 1165501021377957888","Sun Aug 25 05:47:52 +0000 2019"," @DFWAltRight You must not like the many food options in Detroit or Mogadishu.

Fuck coloreds.",https://twitter.com/_AllTheCost/statuses/1165501021377957888,1,1,"Twitter for Android"
_AllTheCost,"ID 1165495633307996160","Sun Aug 25 05:26:27 +0000 2019"," @Fenrir3_0 @KaraTheeFox @NickManIsBroken King.",https://twitter.com/_AllTheCost/statuses/1165495633307996160,0,0,"Twitter for Android"
_AllTheCost,"ID 1165493148925222912","Sun Aug 25 05:16:35 +0000 2019"," @looten_plunder @RubinFarrRight3 Couldn't have said it better.",https://twitter.com/_AllTheCost/statuses/1165493148925222912,0,0,"Twitter for Android"
_AllTheCost,"ID 1165492275037782017","Sun Aug 25 05:13:06 +0000 2019"," @looten_plunder @RubinFarrRight3 Blind solidarity to the clan. Fucking scum.

I they made me hate them.",https://twitter.com/_AllTheCost/statuses/1165492275037782017,0,0,"Twitter for Android"
_AllTheCost,"ID 1165487641728618496","Sun Aug 25 04:54:42 +0000 2019"," A fucking brown person that thinks its ok to beat animals because...""fo fo-hunnit yeas!!!"" 

Color me not shocked. https://t.co/n4GdGR9zSg",https://twitter.com/_AllTheCost/statuses/1165487641728618496,0,7,"Twitter for Android"
_AllTheCost,"ID 1165471776584998912","Sun Aug 25 03:51:39 +0000 2019"," ⚡⚡follow fam⚡⚡ https://t.co/N5Qq1rAuOH",https://twitter.com/_AllTheCost/statuses/1165471776584998912,1,1,"Twitter for Android"
_AllTheCost,"ID 1165306690243354624","Sat Aug 24 16:55:39 +0000 2019"," ⚡⚡Follow this Fren ⚡⚡

Willi seems  bit uppity...but he's nice. https://t.co/sVlwNnBu5x",https://twitter.com/_AllTheCost/statuses/1165306690243354624,0,1,"Twitter for Android"
_AllTheCost,"ID 1165066050980986880","Sat Aug 24 00:59:27 +0000 2019"," @TSSChelmsford I lol'd",https://twitter.com/_AllTheCost/statuses/1165066050980986880,0,0,"Twitter for Android"
_AllTheCost,"ID 1165058777479094272","Sat Aug 24 00:30:32 +0000 2019"," @TSSChelmsford Thanks Fren. Fruitcake discount code in the mail.",https://twitter.com/_AllTheCost/statuses/1165058777479094272,0,0,"Twitter for Android"
_AllTheCost,"ID 1165056010555461632","Sat Aug 24 00:19:33 +0000 2019"," ⚡⚡Follow or ROPE⚡⚡

@Outsider__14 https://t.co/JSUPwxnJDR",https://twitter.com/_AllTheCost/statuses/1165056010555461632,1,1,"Twitter for Android"
_AllTheCost,"ID 1165053998237396992","Sat Aug 24 00:11:33 +0000 2019"," ⚡⚡ Follow a fren⚡⚡ https://t.co/SrY8Wsvl38",https://twitter.com/_AllTheCost/statuses/1165053998237396992,0,1,"Twitter for Android"
_AllTheCost,"ID 1164999212993589248","Fri Aug 23 20:33:51 +0000 2019"," The left screams about open borders and ""no human is illegal."" David Koch put his money where their mouth is...and leftists celebrate his death. Clever people. https://t.co/SUVws9RIXO",https://twitter.com/_AllTheCost/statuses/1164999212993589248,1,5,"Twitter for Android"
_AllTheCost,"ID 1164993012373569537","Fri Aug 23 20:09:13 +0000 2019"," @Outsider__14 F",https://twitter.com/_AllTheCost/statuses/1164993012373569537,0,0,"Twitter for Android"
_AllTheCost,"ID 1164975359051386886","Fri Aug 23 18:59:04 +0000 2019"," @black_rider_666 Dirty street shitter thinks I see myself the way she sees me.",https://twitter.com/_AllTheCost/statuses/1164975359051386886,0,0,"Twitter for Android"
