"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
_HB2014,"ID 1541609225360535554","Tue Jun 28 02:27:35 +0000 2022"," Considering discontinuing doing clips. It is a massively time consuming and unrewarding operation very little return on investment. If it were a business, it would be in the red.

What should I do?",https://twitter.com/_HB2014/statuses/1541609225360535554,3,12,"Twitter Web App"
_HB2014,"ID 1541553342857375744","Mon Jun 27 22:45:32 +0000 2022"," On June 25, 2022 at the Harold K. Stubbs Center in Akron, Ohio NJP members gathered to call for justice in the murder of Ethan Liming.

Full video 👉🏼 https://t.co/ZgikLlBhGa https://t.co/zSXB5sSWDR",https://twitter.com/_HB2014/statuses/1541553342857375744,20,47,"Twitter Web App"
_HB2014,"ID 1541449110972026880","Mon Jun 27 15:51:21 +0000 2022"," @JackPosobiec White people — kind, naive, good-natured — are the easiest race to manipulate with this ridiculous mythology called ""White privilege.""

Imagine choosing to work as an English teacher or engineer in a non-White country and then complaining that the system doesn't cater to you.",https://twitter.com/_HB2014/statuses/1541449110972026880,11,54,"Twitter Web App"
_HB2014,"ID 1541440024230580226","Mon Jun 27 15:15:15 +0000 2022"," 📝 Going Free - June 26, 2022

""Why is it you want me to be okay with White people and Westernkind being victimized and destroyed?""
— No White Guilt @NoWhiteGuiltNWG 

🔗 https://t.co/tJTcaxbmKx https://t.co/9BtcBRpsBc",https://twitter.com/_HB2014/statuses/1541440024230580226,14,32,"Twitter Web App"
_HB2014,"ID 1541071352089948160","Sun Jun 26 14:50:16 +0000 2022"," 🐰 White Rabbit Radio Live - June 25, 2022

""What I need [White Christian groups et al.] to do now is to be as committed to enacting a racial divorce.""
— @AmericanKrogan  @eurorabbit 

🔗 https://t.co/3ftUpourHy https://t.co/pngw82w82q",https://twitter.com/_HB2014/statuses/1541071352089948160,3,9,"Twitter Web App"
_HB2014,"ID 1540768054564376576","Sat Jun 25 18:45:04 +0000 2022"," The mayor ______ his city for six years.",https://twitter.com/_HB2014/statuses/1540768054564376576,0,2,"Twitter Web App"
_HB2014,"ID 1540713999649497090","Sat Jun 25 15:10:17 +0000 2022"," @Semiogogue ONLY Semiogogue would use the correct spelling of ""Capitol"" in this context. In part 2 of Gods and Generals by Jeff Shaara he uses ""capital"" several times to refer to Washington D.C., but then corrects it later on.",https://twitter.com/_HB2014/statuses/1540713999649497090,0,1,"Twitter Web App"
_HB2014,"ID 1540549018882695168","Sat Jun 25 04:14:42 +0000 2022"," Does anyone else like to stick beverages in the freezer (lemonade, Coke, root beer, iced tea, etc . . .) for about 25 minutes until it becomes slushy? 😎 Ah, refreshing on a summer's day.",https://twitter.com/_HB2014/statuses/1540549018882695168,2,11,"Twitter Web App"
_HB2014,"ID 1540455807841492992","Fri Jun 24 22:04:19 +0000 2022"," @NoWhiteGuiltNWG Normally I would disavow this idea since no live stream should run longer than one hour and fifteen minutes; however, this is for a good cause.

In other news congratulations to NWGCLips @UpWhitey Yesterday he passed my Twitter follower count. He did it in two years fewer.",https://twitter.com/_HB2014/statuses/1540455807841492992,0,5,"Twitter Web App"
_HB2014,"ID 1540450516789997568","Fri Jun 24 21:43:18 +0000 2022"," @BasedGuitar1 Can't wait to see it. Have you done this before?",https://twitter.com/_HB2014/statuses/1540450516789997568,0,1,"Twitter Web App"
_HB2014,"ID 1540441178641862656","Fri Jun 24 21:06:11 +0000 2022"," @realSlaughtz Tim. I don't know what x2 is.",https://twitter.com/_HB2014/statuses/1540441178641862656,0,1,"Twitter Web App"
_HB2014,"ID 1540427532872232960","Fri Jun 24 20:11:58 +0000 2022"," Getting my hair cut in two hours. Which style should I request?",https://twitter.com/_HB2014/statuses/1540427532872232960,0,1,"Twitter Web App"
_HB2014,"ID 1540387093712490496","Fri Jun 24 17:31:16 +0000 2022"," @CeruleanGates A brainwashed ingrate. White men built the civilization and gave her more rights than any woman in a non-White country ever saw.",https://twitter.com/_HB2014/statuses/1540387093712490496,1,6,"Twitter Web App"
_HB2014,"ID 1540362427925090304","Fri Jun 24 15:53:16 +0000 2022"," @BanePiller1352 Their unhinged behavior affects the perception of independents, moderates, and people uninterested in politics. It benefits us.",https://twitter.com/_HB2014/statuses/1540362427925090304,0,1,"Twitter Web App"
_HB2014,"ID 1539728595865567232","Wed Jun 22 21:54:38 +0000 2022"," 💻 Patriotic Weekly Review - June 22, 2022

""If we lose our right to self-defense in the United States, you all in the UK will see the worst tyranny the world has ever known.""
— No White Guilt @NoWhiteGuiltNWG 

🔗 https://t.co/SH7GF2UzJA https://t.co/3oVo0IEeHs",https://twitter.com/_HB2014/statuses/1539728595865567232,13,34,"Twitter Web App"
_HB2014,"ID 1539692287558488064","Wed Jun 22 19:30:22 +0000 2022"," 🗣️ Jason Goes Political - June 21, 2022

""They see what race you are, and they know what your people have created, and they are actively destroying it.""
— Jason Köhne @NoWhiteGuiltNWG 

🔗 https://t.co/pUG5WDPIz7 https://t.co/eWReEn3A41",https://twitter.com/_HB2014/statuses/1539692287558488064,13,38,"Twitter Web App"
_HB2014,"ID 1539625654374653952","Wed Jun 22 15:05:35 +0000 2022"," Guide to Kulchur - June 18, 2022

""The Left is egalitarian in theory, but elitist in practice; whereas the Right is elitist in theory, but very egalitarian in practice.""
— Frodi Midjord @real_gtk 

🔗 https://t.co/eTsWde266t https://t.co/uuVNkzXL24",https://twitter.com/_HB2014/statuses/1539625654374653952,10,20,"Twitter Web App"
