"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
activeasian,"ID 1621755409559343106","Sat Feb 04 06:19:55 +0000 2023"," How come many racist thugs and thugettes tweet the most vile and racist comments to me and Twitter won’t suspend them? And our page gets suspended all the time for reporting facts.",https://twitter.com/activeasian/statuses/1621755409559343106,32,214,"Twitter for iPhone"
activeasian,"ID 1621747595155734528","Sat Feb 04 05:48:51 +0000 2023"," What’s with all the fake Black and Asian solidarity events? They aren’t real. It’s propaganda. Race solidarity is a joke. When is the next Black and white Unity event lol? https://t.co/7W1rxkDm6p",https://twitter.com/activeasian/statuses/1621747595155734528,5,65,"Twitter for iPhone"
activeasian,"ID 1621747075519229952","Sat Feb 04 05:46:48 +0000 2023"," @nikki4oakland @OaklandAsianCC Ugh",https://twitter.com/activeasian/statuses/1621747075519229952,0,12,"Twitter for iPhone"
activeasian,"ID 1621746740549525504","Sat Feb 04 05:45:28 +0000 2023"," @AntiWhiteWatch1 @jonathan_c_ong 💯",https://twitter.com/activeasian/statuses/1621746740549525504,0,2,"Twitter for iPhone"
activeasian,"ID 1621731229438726144","Sat Feb 04 04:43:50 +0000 2023"," RT @activeasian: This is our Gofundme. Please support our work. We are the hardest working  ppl when it comes to supporting the Asian commu…",https://twitter.com/activeasian/statuses/1621731229438726144,74,0,"Twitter for iPhone"
activeasian,"ID 1621724892852011008","Sat Feb 04 04:18:39 +0000 2023"," @mcderpy87 💯",https://twitter.com/activeasian/statuses/1621724892852011008,0,1,"Twitter for iPhone"
activeasian,"ID 1621724832982507521","Sat Feb 04 04:18:25 +0000 2023"," This academic researcher knows nothing about San Francisco since he’s living in Boston lol.",https://twitter.com/activeasian/statuses/1621724832982507521,0,37,"Twitter for iPhone"
activeasian,"ID 1621724608637587456","Sat Feb 04 04:17:31 +0000 2023"," We are not private now . For now",https://twitter.com/activeasian/statuses/1621724608637587456,0,16,"Twitter for iPhone"
activeasian,"ID 1621724520355885056","Sat Feb 04 04:17:10 +0000 2023"," @jstryker123 @jonathan_c_ong He has zero credibility",https://twitter.com/activeasian/statuses/1621724520355885056,0,0,"Twitter for iPhone"
activeasian,"ID 1621724444434784257","Sat Feb 04 04:16:52 +0000 2023"," @jonathan_c_ong This guy follows our page but doesn’t care about anti Asian violence and racism",https://twitter.com/activeasian/statuses/1621724444434784257,0,17,"Twitter for iPhone"
activeasian,"ID 1621724231070552066","Sat Feb 04 04:16:01 +0000 2023"," @jonathan_c_ong U don’t live in San Francisco bro. U live in Boston and know nothing about what’s going on here",https://twitter.com/activeasian/statuses/1621724231070552066,0,33,"Twitter for iPhone"
activeasian,"ID 1621723655230345216","Sat Feb 04 04:13:44 +0000 2023"," What’s wrong with frequently posting about Black on Asian violence and racism anyways? The videos and pics are evidence.",https://twitter.com/activeasian/statuses/1621723655230345216,0,21,"Twitter for iPhone"
activeasian,"ID 1621723170536583168","Sat Feb 04 04:11:48 +0000 2023"," What race is the foundation of anti Asian hate? This Asian guy is a professor and follows our page and doesn’t like us reporting on anti Asian racism and violence I guess. It’s embarrassing to have Asians not support ACR. https://t.co/LYzAn3lHmB",https://twitter.com/activeasian/statuses/1621723170536583168,4,70,"Twitter for iPhone"
activeasian,"ID 1621719831975432192","Sat Feb 04 03:58:32 +0000 2023"," @YodaSheisty @NBCAsianAmerica @kimmythepooh Send a DM",https://twitter.com/activeasian/statuses/1621719831975432192,0,0,"Twitter for iPhone"
activeasian,"ID 1621673192057339904","Sat Feb 04 00:53:12 +0000 2023"," @RX78 @elonmusk Please",https://twitter.com/activeasian/statuses/1621673192057339904,0,0,"Twitter for iPhone"
activeasian,"ID 1621673100537659393","Sat Feb 04 00:52:51 +0000 2023"," @JNotexotic It’s on @ACRWatchdog too . Try RT on that account. We made this page private for now",https://twitter.com/activeasian/statuses/1621673100537659393,0,0,"Twitter for iPhone"
activeasian,"ID 1621576427375325184","Fri Feb 03 18:28:42 +0000 2023"," For example, look at a request like this. Don’t tell me she cares about anti Asian violence and racism lol. She’s trying to follow so she can report my page and silence me. https://t.co/dKbRl81RoD",https://twitter.com/activeasian/statuses/1621576427375325184,0,128,"Twitter for iPhone"
activeasian,"ID 1621575868245217280","Fri Feb 03 18:26:29 +0000 2023"," Please support our Gofundme, link in bio",https://twitter.com/activeasian/statuses/1621575868245217280,0,18,"Twitter for iPhone"
