"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
classiflied77,"ID 1621716075690737666","Sat Feb 04 03:43:37 +0000 2023"," Eggplant? https://t.co/BVjc5Dxj8u",https://twitter.com/classiflied77/statuses/1621716075690737666,0,14,"Twitter for Android"
classiflied77,"ID 1621712046671761408","Sat Feb 04 03:27:36 +0000 2023"," @IdentifyAsHulk Which model ?",https://twitter.com/classiflied77/statuses/1621712046671761408,0,1,"Twitter for Android"
classiflied77,"ID 1621711972642193408","Sat Feb 04 03:27:18 +0000 2023"," @CatsUndRaifus I love 1911s",https://twitter.com/classiflied77/statuses/1621711972642193408,0,1,"Twitter for Android"
classiflied77,"ID 1621697260567384064","Sat Feb 04 02:28:51 +0000 2023"," G'night https://t.co/i0ZJR4WnF6",https://twitter.com/classiflied77/statuses/1621697260567384064,0,2,"Twitter for Android"
classiflied77,"ID 1621695701116755970","Sat Feb 04 02:22:39 +0000 2023"," The mouth on this box wine person https://t.co/KeGFCLqipu",https://twitter.com/classiflied77/statuses/1621695701116755970,0,12,"Twitter for Android"
classiflied77,"ID 1621669165084934144","Sat Feb 04 00:37:12 +0000 2023"," Note: the video and audio portions of our program are not in sync https://t.co/OgFWXSDMQM",https://twitter.com/classiflied77/statuses/1621669165084934144,0,4,"Twitter for Android"
classiflied77,"ID 1621668365134700544","Sat Feb 04 00:34:02 +0000 2023"," Chinese balloon spreading covid 20 virus spores....",https://twitter.com/classiflied77/statuses/1621668365134700544,1,3,"Twitter for Android"
classiflied77,"ID 1621668068119150593","Sat Feb 04 00:32:51 +0000 2023"," @MogTheUrbanite US impotency level &gt; maximum",https://twitter.com/classiflied77/statuses/1621668068119150593,0,4,"Twitter for Android"
classiflied77,"ID 1621667216218259458","Sat Feb 04 00:29:28 +0000 2023"," @blueeyedhound1 These aren't men and women in the traditional sense tho....",https://twitter.com/classiflied77/statuses/1621667216218259458,0,5,"Twitter for Android"
classiflied77,"ID 1621666853939552258","Sat Feb 04 00:28:01 +0000 2023"," @cartoonAttorney Gn, Buddy.",https://twitter.com/classiflied77/statuses/1621666853939552258,0,1,"Twitter for Android"
classiflied77,"ID 1621666529799540738","Sat Feb 04 00:26:44 +0000 2023"," @HarmlessYardDog @blueeyedhound1 Diesel powered twerk ...... https://t.co/qK9TswfZIo",https://twitter.com/classiflied77/statuses/1621666529799540738,0,2,"Twitter for Android"
classiflied77,"ID 1621665800271679489","Sat Feb 04 00:23:50 +0000 2023"," @HarmlessYardDog Bringing back the dreadnought",https://twitter.com/classiflied77/statuses/1621665800271679489,0,5,"Twitter for Android"
classiflied77,"ID 1621665154432630784","Sat Feb 04 00:21:16 +0000 2023"," @IdentifyAsHulk https://t.co/GPOMSaCqBa",https://twitter.com/classiflied77/statuses/1621665154432630784,0,1,"Twitter for Android"
classiflied77,"ID 1621648881812475904","Fri Feb 03 23:16:36 +0000 2023"," RT @Schminxer: They should put up a balloon tracker like the Santa tracker.",https://twitter.com/classiflied77/statuses/1621648881812475904,1,0,"Twitter for Android"
classiflied77,"ID 1621648546263973889","Fri Feb 03 23:15:16 +0000 2023"," President PeePaw regime brought down by a Chinese balloon and a compromised pentagon https://t.co/vp7rsy0O2p",https://twitter.com/classiflied77/statuses/1621648546263973889,0,20,"Twitter for Android"
classiflied77,"ID 1621647060775718912","Fri Feb 03 23:09:22 +0000 2023"," @HarmlessYardDog A thin veener moment",https://twitter.com/classiflied77/statuses/1621647060775718912,1,11,"Twitter for Android"
classiflied77,"ID 1621646606297612288","Fri Feb 03 23:07:34 +0000 2023"," @cartoonAttorney It's an amazing thing....",https://twitter.com/classiflied77/statuses/1621646606297612288,0,1,"Twitter for Android"
classiflied77,"ID 1621618087769292800","Fri Feb 03 21:14:14 +0000 2023"," Now that I have 1,100 rounds of 9MM ammo.
 I feel the need for acquiring another pistol.",https://twitter.com/classiflied77/statuses/1621618087769292800,0,26,"Twitter Web App"
classiflied77,"ID 1621617347323740161","Fri Feb 03 21:11:18 +0000 2023"," Me &amp; the lads prepping our spy balloon https://t.co/cH2YdyPUYr",https://twitter.com/classiflied77/statuses/1621617347323740161,0,4,"Twitter Web App"
classiflied77,"ID 1621616820795985921","Fri Feb 03 21:09:12 +0000 2023"," Our gub'mint is suspect https://t.co/BmFRXS3P5z",https://twitter.com/classiflied77/statuses/1621616820795985921,1,0,"Twitter Web App"
classiflied77,"ID 1621616416137912322","Fri Feb 03 21:07:36 +0000 2023"," ""THE BORDER IS CLOSED"" - KAMMIE HARRIS https://t.co/ILaQMSxM1M",https://twitter.com/classiflied77/statuses/1621616416137912322,2,0,"Twitter Web App"
classiflied77,"ID 1621615201329057794","Fri Feb 03 21:02:46 +0000 2023"," FACT CHECKED  ✅✅ TRUE https://t.co/3n5quspPK4",https://twitter.com/classiflied77/statuses/1621615201329057794,0,3,"Twitter Web App"
classiflied77,"ID 1621597433946857474","Fri Feb 03 19:52:10 +0000 2023"," @ladydissident Naw. Gen 6",https://twitter.com/classiflied77/statuses/1621597433946857474,0,1,"Twitter for Android"
classiflied77,"ID 1621591269037187072","Fri Feb 03 19:27:40 +0000 2023"," @HAv2RtrnVdeoTps Just my Kimber 9 for now https://t.co/J8QsfUmvFs",https://twitter.com/classiflied77/statuses/1621591269037187072,0,0,"Twitter for Android"
classiflied77,"ID 1621587626263285763","Fri Feb 03 19:13:12 +0000 2023"," Thought they didn't eat where they shat https://t.co/uqzlu3zKnV",https://twitter.com/classiflied77/statuses/1621587626263285763,1,6,"Twitter for Android"
classiflied77,"ID 1621587046807617536","Fri Feb 03 19:10:54 +0000 2023"," @HarmlessYardDog ..... https://t.co/NAN1CSGXBy",https://twitter.com/classiflied77/statuses/1621587046807617536,0,8,"Twitter for Android"
classiflied77,"ID 1621586680762273796","Fri Feb 03 19:09:26 +0000 2023"," @AetiusRF Bruh, he appointed these 2... https://t.co/FiIbMjbbYb",https://twitter.com/classiflied77/statuses/1621586680762273796,0,7,"Twitter for Android"
classiflied77,"ID 1621586007685488641","Fri Feb 03 19:06:46 +0000 2023"," Political discussion with Wifey. Big, big mistake when I said, ""things were better when there was fewer wimmen in office""
I suspect it's going to be like a monastery around for a few days....",https://twitter.com/classiflied77/statuses/1621586007685488641,1,14,"Twitter for Android"
classiflied77,"ID 1621585365617328128","Fri Feb 03 19:04:13 +0000 2023"," @DuosEquis Sure, cost was reasonable. Had to do with side dection system and proximity sensors. Most independent shops lack the equipment to do this work. Actually had a Caddy dealer do the work, they're cheaper than the Chevy - Buick dealer here. Nicer people too.",https://twitter.com/classiflied77/statuses/1621585365617328128,0,0,"Twitter for Android"
classiflied77,"ID 1621584232815509506","Fri Feb 03 18:59:43 +0000 2023"," @13_wud @HarmlessYardDog Rubs paws... "" my fellow canines""",https://twitter.com/classiflied77/statuses/1621584232815509506,0,5,"Twitter for Android"
classiflied77,"ID 1621583973460705280","Fri Feb 03 18:58:41 +0000 2023"," @DuosEquis Turned out to be a software issue and reprogramming sensors.",https://twitter.com/classiflied77/statuses/1621583973460705280,0,1,"Twitter for Android"
classiflied77,"ID 1621583315210846209","Fri Feb 03 18:56:04 +0000 2023"," Overheard 2 car Hispanic porters at the car dealers.
Damn, Ese, we come here because they say home of the brave land of the free, I'm brave as a mutha, but where that free shit, homes?",https://twitter.com/classiflied77/statuses/1621583315210846209,0,13,"Twitter for Android"
classiflied77,"ID 1621582799898660864","Fri Feb 03 18:54:01 +0000 2023"," Finished my car, repairs were less $$ than expected... winning https://t.co/3t95Hx1w0n",https://twitter.com/classiflied77/statuses/1621582799898660864,0,7,"Twitter for Android"
classiflied77,"ID 1621582520750940162","Fri Feb 03 18:52:55 +0000 2023"," Surveying the land they own and scouting for future purchases. 
Imagine selling low quality trinkets for years and using the earnings to purchase the country that imported your junk for 40 yrs. https://t.co/BPNRisvD7z",https://twitter.com/classiflied77/statuses/1621582520750940162,0,5,"Twitter for Android"
classiflied77,"ID 1621581602508754948","Fri Feb 03 18:49:16 +0000 2023"," @DuosEquis No...",https://twitter.com/classiflied77/statuses/1621581602508754948,0,2,"Twitter for Android"
classiflied77,"ID 1621530132941766659","Fri Feb 03 15:24:44 +0000 2023"," @FreedomCat20 Mornt.  Have a great day!",https://twitter.com/classiflied77/statuses/1621530132941766659,0,1,"Twitter Web App"
classiflied77,"ID 1621524402167742465","Fri Feb 03 15:01:58 +0000 2023"," If you only knew how bad it really is... https://t.co/wrW5i8wjdc",https://twitter.com/classiflied77/statuses/1621524402167742465,1,30,"Twitter for Android"
classiflied77,"ID 1621522220727291909","Fri Feb 03 14:53:18 +0000 2023"," @TBASgtPrincess Ima commandeer this..",https://twitter.com/classiflied77/statuses/1621522220727291909,0,1,"Twitter for Android"
classiflied77,"ID 1621518299011104768","Fri Feb 03 14:37:43 +0000 2023"," New thot grift just dropped https://t.co/bJT0P5x93E",https://twitter.com/classiflied77/statuses/1621518299011104768,0,4,"Twitter for Android"
classiflied77,"ID 1621514809480208392","Fri Feb 03 14:23:51 +0000 2023"," @Breaking911 What about the other 8 incursions ?",https://twitter.com/classiflied77/statuses/1621514809480208392,0,4,"Twitter for Android"
classiflied77,"ID 1621514693188931592","Fri Feb 03 14:23:23 +0000 2023"," https://t.co/YVs2PG9VIn https://t.co/4mcRBPqtGy",https://twitter.com/classiflied77/statuses/1621514693188931592,1,6,"Twitter for Android"
classiflied77,"ID 1621514300673380358","Fri Feb 03 14:21:50 +0000 2023"," @leamipere AI is racist...",https://twitter.com/classiflied77/statuses/1621514300673380358,0,2,"Twitter for Android"
classiflied77,"ID 1621501924322197505","Fri Feb 03 13:32:39 +0000 2023"," My Camaro has been in the shop for 2 days.... I might need to start a gofundme. 
Electrical - sensor problems....",https://twitter.com/classiflied77/statuses/1621501924322197505,0,14,"Twitter for Android"
classiflied77,"ID 1621501129296154624","Fri Feb 03 13:29:29 +0000 2023"," @blueeyedhound1 It's probably harmless but a good distraction from the PeePaw clown show, the border, the debt, Ukraine all around malfeasance
He admitted only 50% of the wimmen in his administration are actually wimmen 🤣👌😯",https://twitter.com/classiflied77/statuses/1621501129296154624,0,4,"Twitter for Android"
classiflied77,"ID 1621497594496143361","Fri Feb 03 13:15:27 +0000 2023"," Can someone decipher this hogwash? https://t.co/8fPjzs5luw",https://twitter.com/classiflied77/statuses/1621497594496143361,1,18,"Twitter for Android"
classiflied77,"ID 1621345791502598145","Fri Feb 03 03:12:14 +0000 2023"," Bred for violence 
It will never stop. . https://t.co/5k2qG4Ja0j",https://twitter.com/classiflied77/statuses/1621345791502598145,1,9,"Twitter for Android"
classiflied77,"ID 1621345365944320000","Fri Feb 03 03:10:33 +0000 2023"," Sure..... this is exactly what every community needs, a race based symbol on public property https://t.co/8A4xwJCbAs",https://twitter.com/classiflied77/statuses/1621345365944320000,3,9,"Twitter for Android"
classiflied77,"ID 1621331463470735361","Fri Feb 03 02:15:18 +0000 2023"," @NWordSpeaker Yep,  paid 100 billion",https://twitter.com/classiflied77/statuses/1621331463470735361,0,1,"Twitter for Android"
classiflied77,"ID 1621327225722224641","Fri Feb 03 01:58:28 +0000 2023"," Yo, dude, bro, broski . . . rad barrels out there! https://t.co/1swoZbewnk",https://twitter.com/classiflied77/statuses/1621327225722224641,0,4,"Twitter for Android"
classiflied77,"ID 1621300751728263169","Fri Feb 03 00:13:16 +0000 2023"," @Lifter_Fren Put it down and issue a denial that it ever existed.
What balloon?",https://twitter.com/classiflied77/statuses/1621300751728263169,0,2,"Twitter for Android"
classiflied77,"ID 1621300395623567362","Fri Feb 03 00:11:51 +0000 2023"," @AttorneyFren Taking one for the team",https://twitter.com/classiflied77/statuses/1621300395623567362,0,2,"Twitter for Android"
classiflied77,"ID 1621299651470049282","Fri Feb 03 00:08:53 +0000 2023"," @TheIntelFrog @HarmlessYardDog What's going on in Kentucky and Minnesota?",https://twitter.com/classiflied77/statuses/1621299651470049282,0,2,"Twitter for Android"
classiflied77,"ID 1621299177274630144","Fri Feb 03 00:07:00 +0000 2023"," @Pickuptruckdude This is some putrid shit",https://twitter.com/classiflied77/statuses/1621299177274630144,0,2,"Twitter for Android"
classiflied77,"ID 1621298198118539267","Fri Feb 03 00:03:07 +0000 2023"," @blueeyedhound1 I'd pump 30 tomahawks up Beijing's ass at the same time",https://twitter.com/classiflied77/statuses/1621298198118539267,0,2,"Twitter for Android"
classiflied77,"ID 1621297561469427713","Fri Feb 03 00:00:35 +0000 2023"," Peepaw misfiring on 5 of 8 cylinders again https://t.co/s5ShhoNo7Q",https://twitter.com/classiflied77/statuses/1621297561469427713,0,9,"Twitter for Android"
classiflied77,"ID 1621297442548289537","Fri Feb 03 00:00:07 +0000 2023"," @WallStreetSilv @HarmlessYardDog His wisdom is renowned.....",https://twitter.com/classiflied77/statuses/1621297442548289537,0,0,"Twitter for Android"
classiflied77,"ID 1621297263032025088","Thu Feb 02 23:59:24 +0000 2023"," @blueeyedhound1 ..while we still can",https://twitter.com/classiflied77/statuses/1621297263032025088,0,6,"Twitter for Android"
classiflied77,"ID 1621294986187739138","Thu Feb 02 23:50:21 +0000 2023"," Miami Moe saw his shadow today, 6 more weeks of 78 degrees https://t.co/o6frO7ZtRY",https://twitter.com/classiflied77/statuses/1621294986187739138,0,8,"Twitter for Android"
classiflied77,"ID 1621255294830493699","Thu Feb 02 21:12:38 +0000 2023"," @bigears1975 ""Ameena"" https://t.co/17UGR0OtjZ",https://twitter.com/classiflied77/statuses/1621255294830493699,0,1,"Twitter Web App"
classiflied77,"ID 1621254192689029122","Thu Feb 02 21:08:15 +0000 2023"," https://t.co/mv9IaMsgng https://t.co/DiULP6uWhw",https://twitter.com/classiflied77/statuses/1621254192689029122,0,6,"Twitter Web App"
classiflied77,"ID 1621253801830236162","Thu Feb 02 21:06:42 +0000 2023"," @GwenNorth14 https://t.co/NvUOOqw393",https://twitter.com/classiflied77/statuses/1621253801830236162,0,1,"Twitter Web App"
classiflied77,"ID 1621252111240515586","Thu Feb 02 20:59:59 +0000 2023"," @bigears1975 ahahahahaha",https://twitter.com/classiflied77/statuses/1621252111240515586,0,1,"Twitter Web App"
classiflied77,"ID 1621251666593947648","Thu Feb 02 20:58:13 +0000 2023"," Manlet out of his weight class - NGMI https://t.co/FCNWzho4Ey",https://twitter.com/classiflied77/statuses/1621251666593947648,1,4,"Twitter Web App"
classiflied77,"ID 1621251117236604929","Thu Feb 02 20:56:02 +0000 2023"," @bigears1975 That nibba slurping coke LOL",https://twitter.com/classiflied77/statuses/1621251117236604929,0,1,"Twitter Web App"
classiflied77,"ID 1621249900435365892","Thu Feb 02 20:51:12 +0000 2023"," Please give this kind and based lady your support and vote for her fine work https://t.co/ho5sFuVq6S",https://twitter.com/classiflied77/statuses/1621249900435365892,2,4,"Twitter Web App"
classiflied77,"ID 1621249465645408256","Thu Feb 02 20:49:28 +0000 2023"," RT @Bepperony: @classiflied77 Its fun to pause these AOC clips every 2 seconds to see the different donkey faces she makes.",https://twitter.com/classiflied77/statuses/1621249465645408256,1,0,"Twitter Web App"
classiflied77,"ID 1621249434221772801","Thu Feb 02 20:49:21 +0000 2023"," @cynthialowens @ProjektM0gul ugh....",https://twitter.com/classiflied77/statuses/1621249434221772801,0,2,"Twitter Web App"
classiflied77,"ID 1621223156777189376","Thu Feb 02 19:04:56 +0000 2023"," @Trollstoy88 @HarmlessYardDog Where's all money, ah, aid going. Ukraine should have the largest military on earth now",https://twitter.com/classiflied77/statuses/1621223156777189376,1,3,"Twitter Web App"
classiflied77,"ID 1621222660695793666","Thu Feb 02 19:02:57 +0000 2023"," Joe Biden Offered Vladimir Putin 20 Percent of Ukraine to End War: Report https://t.co/1sNawhHGQZ",https://twitter.com/classiflied77/statuses/1621222660695793666,2,4,"Twitter Web App"
classiflied77,"ID 1621222142900674566","Thu Feb 02 19:00:54 +0000 2023"," President PeePaw is in the real estate business now
https://t.co/LVoSj836Hv",https://twitter.com/classiflied77/statuses/1621222142900674566,0,2,"Twitter Web App"
classiflied77,"ID 1621217320646443009","Thu Feb 02 18:41:44 +0000 2023"," ahahahahahahaha... priceless
Stamp those feet https://t.co/Fv06KqnO1n",https://twitter.com/classiflied77/statuses/1621217320646443009,1,4,"Twitter Web App"
classiflied77,"ID 1621217148642131970","Thu Feb 02 18:41:03 +0000 2023"," Like when of those traveling preachers whipped into a sweaty froth right before passing the plate LMAO https://t.co/Fv06KqnO1n",https://twitter.com/classiflied77/statuses/1621217148642131970,1,8,"Twitter Web App"
classiflied77,"ID 1621216898808414211","Thu Feb 02 18:40:04 +0000 2023"," @toots_the_h8er Looks like perfectly cooked eggo, eat it",https://twitter.com/classiflied77/statuses/1621216898808414211,0,1,"Twitter Web App"
classiflied77,"ID 1621216648614092802","Thu Feb 02 18:39:04 +0000 2023"," @BorderHawkNews when France is colonized by violent ppl from the southern lands....",https://twitter.com/classiflied77/statuses/1621216648614092802,0,2,"Twitter Web App"
classiflied77,"ID 1621215713896632321","Thu Feb 02 18:35:21 +0000 2023"," @HarmlessYardDog Who knew Fred Rogers was an accelerant ?",https://twitter.com/classiflied77/statuses/1621215713896632321,0,1,"Twitter Web App"
