"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
cozy_clips,"ID 1621262451386753024","Thu Feb 02 21:41:04 +0000 2023"," RT @bakedalaska: i am entering federal custody very soon for live-streaming j6. for a nonviolent misdemeanor i am doin 60 days in federal p…",https://twitter.com/cozy_clips/statuses/1621262451386753024,1012,0,"Twitter for iPhone"
cozy_clips,"ID 1621221643920998401","Thu Feb 02 18:58:55 +0000 2023"," @FightHaven Black men need to overcome their mothers.",https://twitter.com/cozy_clips/statuses/1621221643920998401,0,6,"Twitter for iPhone"
cozy_clips,"ID 1621220942662746130","Thu Feb 02 18:56:08 +0000 2023"," @FaxingBibletoUN @Ali_Jamal1776 https://t.co/q3RRAlNRz9",https://twitter.com/cozy_clips/statuses/1621220942662746130,0,4,"Twitter for iPhone"
cozy_clips,"ID 1621192970438410240","Thu Feb 02 17:04:59 +0000 2023"," Choose your @Ali_Jamal1776 https://t.co/1eulFAotr5",https://twitter.com/cozy_clips/statuses/1621192970438410240,2,47,"Twitter for iPhone"
cozy_clips,"ID 1621158630073704449","Thu Feb 02 14:48:31 +0000 2023"," Pringles man Vs Zelensky #AmericaFirst #ye24 https://t.co/nc0YxAQCZT",https://twitter.com/cozy_clips/statuses/1621158630073704449,2,19,"Twitter for iPhone"
cozy_clips,"ID 1620847410372317184","Wed Feb 01 18:11:51 +0000 2023"," @WorldWarWang CHA MON! https://t.co/9fh4ROrqga",https://twitter.com/cozy_clips/statuses/1620847410372317184,0,10,"Twitter for iPhone"
cozy_clips,"ID 1620593145028268035","Wed Feb 01 01:21:29 +0000 2023"," Law and Order https://t.co/bxTYobo3Nm",https://twitter.com/cozy_clips/statuses/1620593145028268035,7,40,"Twitter for iPhone"
cozy_clips,"ID 1620137484976791560","Mon Jan 30 19:10:51 +0000 2023"," Wurzleroot is a big mom RESPECTER.  Watch him at https://t.co/xVh8InVTuP https://t.co/f1CAuTotPP",https://twitter.com/cozy_clips/statuses/1620137484976791560,36,236,"Twitter for iPhone"
cozy_clips,"ID 1620106740888121349","Mon Jan 30 17:08:41 +0000 2023"," @TheRalphRetort @ali https://t.co/PEgxOhKzwo",https://twitter.com/cozy_clips/statuses/1620106740888121349,0,21,"Twitter for iPhone"
cozy_clips,"ID 1620102852059496449","Mon Jan 30 16:53:14 +0000 2023"," https://t.co/tS7IBhpe75",https://twitter.com/cozy_clips/statuses/1620102852059496449,1,21,"Twitter for iPhone"
cozy_clips,"ID 1618643008114823170","Thu Jan 26 16:12:20 +0000 2023"," Someone put this on a shirt https://t.co/K2GSojUlFD",https://twitter.com/cozy_clips/statuses/1618643008114823170,3,63,"Twitter for iPhone"
cozy_clips,"ID 1618282292232990722","Wed Jan 25 16:18:59 +0000 2023"," Nick evading the Twitter police #freenickfuentes https://t.co/duEdDHifV9",https://twitter.com/cozy_clips/statuses/1618282292232990722,4,32,"Twitter for iPhone"
cozy_clips,"ID 1618138910156292096","Wed Jan 25 06:49:14 +0000 2023"," @WorldWarWang https://t.co/EnLYjrRiXn",https://twitter.com/cozy_clips/statuses/1618138910156292096,0,3,"Twitter for iPhone"
cozy_clips,"ID 1617999645703307264","Tue Jan 24 21:35:51 +0000 2023"," @TRightDissident @NickJFuentes https://t.co/ZYGuCQfKXJ",https://twitter.com/cozy_clips/statuses/1617999645703307264,0,0,"Twitter for iPhone"
cozy_clips,"ID 1617976265721643008","Tue Jan 24 20:02:56 +0000 2023"," @sneako https://t.co/gCdgMV00ZL",https://twitter.com/cozy_clips/statuses/1617976265721643008,2,23,"Twitter for iPhone"
