"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
dickmasterson,"ID 1621740367317188609","Sat Feb 04 05:20:08 +0000 2023"," Lol you want Americans to go to war with Iran. You understand that’s government censorship of Iran, right? CAREFUL JORDAN. https://t.co/lErsNrfoS4",https://twitter.com/dickmasterson/statuses/1621740367317188609,3,38,"Twitter for iPhone"
dickmasterson,"ID 1621739003862204417","Sat Feb 04 05:14:43 +0000 2023"," @Zergling__Rush @grandsonofsiege He didn’t get laid and he got made fun of. So I guess he’s a hero for you.",https://twitter.com/dickmasterson/statuses/1621739003862204417,0,1,"Twitter for iPhone"
dickmasterson,"ID 1621735596715839488","Sat Feb 04 05:01:11 +0000 2023"," RT @JustinWhang: Ronnie Radke vs Frank Hassle arc. 2023 has finally begun",https://twitter.com/dickmasterson/statuses/1621735596715839488,13,0,"Twitter for iPhone"
dickmasterson,"ID 1621699730840633345","Sat Feb 04 02:38:40 +0000 2023"," @ApeDurden @davidbelle_ How about as someone who drives a truck?",https://twitter.com/dickmasterson/statuses/1621699730840633345,0,1,"Twitter for iPhone"
dickmasterson,"ID 1621696854537949185","Sat Feb 04 02:27:14 +0000 2023"," RT @TheBPITU: Good news! Due to shifting schedules, we will be able to start the show earlier than expected.

New show time is 7PM PST / 10…",https://twitter.com/dickmasterson/statuses/1621696854537949185,5,0,"Twitter Web App"
dickmasterson,"ID 1621696785109630981","Sat Feb 04 02:26:57 +0000 2023"," I'm going to this. Gonna be 🔥! https://t.co/QHAW74eSaK",https://twitter.com/dickmasterson/statuses/1621696785109630981,1,13,"Twitter Web App"
dickmasterson,"ID 1621696164067446784","Sat Feb 04 02:24:29 +0000 2023"," North Koreans weep for joy at how much they love Kim Jong-un. https://t.co/CMdjXZgF0x",https://twitter.com/dickmasterson/statuses/1621696164067446784,7,86,"Twitter Web App"
dickmasterson,"ID 1621694971962343424","Sat Feb 04 02:19:45 +0000 2023"," @MANwithCOME69 @NotProvoked That's not a quote. That's just a picture you posted.",https://twitter.com/dickmasterson/statuses/1621694971962343424,0,4,"Twitter Web App"
dickmasterson,"ID 1621694894887813120","Sat Feb 04 02:19:27 +0000 2023"," Probably the best Fat Watch of all time. Sean couldn't get on board and I don't know why. https://t.co/Qz2TgsY7tf https://t.co/ym6E4lPf3a",https://twitter.com/dickmasterson/statuses/1621694894887813120,1,19,"Twitter Web App"
dickmasterson,"ID 1621694302857609218","Sat Feb 04 02:17:06 +0000 2023"," Pop quiz, hotshot.  Would you have rather been on this bus or one one of the 9/11 planes that hit the World Trade? 🤔 https://t.co/4deqjuqD9o",https://twitter.com/dickmasterson/statuses/1621694302857609218,9,69,"Twitter for iPhone"
dickmasterson,"ID 1621693061150679041","Sat Feb 04 02:12:10 +0000 2023"," Sign up, @CountDankulaTV !! I will begin bullying people next week. Right after we put credit cards on the platform. 💰💰💰 https://t.co/cCQCN7r9os",https://twitter.com/dickmasterson/statuses/1621693061150679041,3,22,"Twitter for iPhone"
dickmasterson,"ID 1621692916614987776","Sat Feb 04 02:11:35 +0000 2023"," Happy Friday! The system is growing!! Tag a creator you want to join our decentralized Patreon alternative. https://t.co/IF3ndnW0oP https://t.co/L1dl3SrdQg https://t.co/DKw3aQrozD",https://twitter.com/dickmasterson/statuses/1621692916614987776,5,21,"Twitter for iPhone"
dickmasterson,"ID 1621690115243528192","Sat Feb 04 02:00:27 +0000 2023"," Give me the dumb quotes from those chicks about deep fake permission.",https://twitter.com/dickmasterson/statuses/1621690115243528192,3,50,"Twitter Web App"
dickmasterson,"ID 1621688017319755777","Sat Feb 04 01:52:07 +0000 2023"," @ChrissieMayr https://t.co/FeT2A4doxc",https://twitter.com/dickmasterson/statuses/1621688017319755777,1,35,"Twitter for iPhone"
dickmasterson,"ID 1621687786175881216","Sat Feb 04 01:51:12 +0000 2023"," @sparklingruby This is so interesting.",https://twitter.com/dickmasterson/statuses/1621687786175881216,0,3,"Twitter for iPhone"
dickmasterson,"ID 1621682237820534784","Sat Feb 04 01:29:09 +0000 2023"," Goddammit. There goes my bit for tonight. https://t.co/NlGobzoONc",https://twitter.com/dickmasterson/statuses/1621682237820534784,2,15,"Twitter Web App"
dickmasterson,"ID 1621670943419674625","Sat Feb 04 00:44:16 +0000 2023"," @jamil_lewis6 @JLPtalk has that!",https://twitter.com/dickmasterson/statuses/1621670943419674625,0,9,"Twitter for iPhone"
