"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
exposing_white,"ID 1621734991146225664","Sat Feb 04 04:58:46 +0000 2023"," @SallyMayweather @CassandraRules Nailed it!",https://twitter.com/exposing_white/statuses/1621734991146225664,0,9,"Twitter for iPhone"
exposing_white,"ID 1621733806762770432","Sat Feb 04 04:54:04 +0000 2023"," @Alex11719872 🤬😡🤬😡🤬🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬🤬🤬😡😡🤬😡🤬😡🤬😡🤬😡🤬",https://twitter.com/exposing_white/statuses/1621733806762770432,0,22,"Twitter for iPhone"
exposing_white,"ID 1621669745316581378","Sat Feb 04 00:39:31 +0000 2023"," @LanaLokteff If you’re a parent of a White kid going to an all brown &amp;/or black school &amp; you don’t take them out of that school you are guilty of child abuse.  This kid may have been arrested but there’s hundreds more just like him waiting for the opportunity to turn your kid into a victim.",https://twitter.com/exposing_white/statuses/1621669745316581378,10,163,"Twitter for iPhone"
exposing_white,"ID 1621361198733135873","Fri Feb 03 04:13:27 +0000 2023"," @N_S_F_B_W hate to ask you again but where can I go to buy a NSFBW shirt? I know you told me before but lost the link.",https://twitter.com/exposing_white/statuses/1621361198733135873,0,1,"Twitter for iPhone"
exposing_white,"ID 1621326323040788481","Fri Feb 03 01:54:52 +0000 2023"," @howmanyare2many 🤬😡🤬😡🤬😡🤬 F🇺🇸K joe! I really despise this joke of a president.",https://twitter.com/exposing_white/statuses/1621326323040788481,0,2,"Twitter for iPhone"
exposing_white,"ID 1621303301982519302","Fri Feb 03 00:23:24 +0000 2023"," https://t.co/h9Rv11aGAn",https://twitter.com/exposing_white/statuses/1621303301982519302,29,196,"Twitter for iPhone"
exposing_white,"ID 1621303298677506048","Fri Feb 03 00:23:23 +0000 2023"," White privileged GinaStallis,34,had successfully fought stomach cancer most of her life.The last day she was released from the hospital in 2009,her home was invaded.Her family forced to lay facedown on the ground. 3 were shot. Gina the only one fatally.They stole a single watch. https://t.co/Cc7LsOeT9g",https://twitter.com/exposing_white/statuses/1621303298677506048,764,2601,"Twitter for iPhone"
exposing_white,"ID 1620642012717547523","Wed Feb 01 04:35:40 +0000 2023"," @OffensiveToon @BIPOCracism Best think you can possibly do.",https://twitter.com/exposing_white/statuses/1620642012717547523,0,3,"Twitter for iPhone"
exposing_white,"ID 1620095756689608707","Mon Jan 30 16:25:02 +0000 2023"," https://t.co/iW0KJmLgQU",https://twitter.com/exposing_white/statuses/1620095756689608707,17,142,"Twitter for iPhone"
exposing_white,"ID 1620095751903911940","Mon Jan 30 16:25:01 +0000 2023"," KaytlynnCargill,14, was beat to death with a hammer, thrown in a dumpster, hauled away in a garbage truck &amp; dumped in an Arlington,Tx landfill where she stayed for2 days in June2017.Her killer will be out of prison in4 1/2years, but she’s the privileged one because she was White https://t.co/VTe7U89Eng",https://twitter.com/exposing_white/statuses/1620095751903911940,493,1654,"Twitter for iPhone"
exposing_white,"ID 1619658260700868610","Sun Jan 29 11:26:35 +0000 2023"," @FrankDeScushin Having experienced what a majority black school is like, if you’re White and something happens and you want to do something about it… just stand back and be a good witness.",https://twitter.com/exposing_white/statuses/1619658260700868610,6,169,"Twitter for iPhone"
exposing_white,"ID 1619655480787468288","Sun Jan 29 11:15:33 +0000 2023"," @FrankDeScushin @MagicBelle1 Trillions spent on trying to educate them…..",https://twitter.com/exposing_white/statuses/1619655480787468288,6,535,"Twitter for iPhone"
exposing_white,"ID 1619521434208047104","Sun Jan 29 02:22:53 +0000 2023"," @MattChr83 https://t.co/lS8slkrN1f",https://twitter.com/exposing_white/statuses/1619521434208047104,0,0,"Twitter for iPhone"
exposing_white,"ID 1619521306705432577","Sun Jan 29 02:22:23 +0000 2023"," @MattChr83 His entire defense was every person, place, and object around him was racist. Even knocked out his own attorney for being a racist.",https://twitter.com/exposing_white/statuses/1619521306705432577,1,2,"Twitter for iPhone"
exposing_white,"ID 1619513974772633601","Sun Jan 29 01:53:15 +0000 2023"," @CharlesMartel96 I don’t think so. I’ve looked for a few days now and can’t  find anything at all about them being caught or on the run.",https://twitter.com/exposing_white/statuses/1619513974772633601,0,17,"Twitter for iPhone"
exposing_white,"ID 1619505568129126400","Sun Jan 29 01:19:51 +0000 2023"," After a minor hit and run in Feb2017, the husband of White privileged JessicaMills,29, followed  the 2 “youths”,eventually stopping in a strip mall parking  lot. One of them pulled a gun and shot several times at her car.She was hit &amp; died in front of her husband &amp; 2 daughters. https://t.co/XpCJjjucoQ",https://twitter.com/exposing_white/statuses/1619505568129126400,52,242,"Twitter for iPhone"
exposing_white,"ID 1618782340423225344","Fri Jan 27 01:26:00 +0000 2023"," @USAtradlife They ever going to let Jared Taylor back on Twitter?",https://twitter.com/exposing_white/statuses/1618782340423225344,0,4,"Twitter for iPhone"
exposing_white,"ID 1618315370720550912","Wed Jan 25 18:30:25 +0000 2023"," From the Washington Compost:

https://t.co/3iurjxHrfx",https://twitter.com/exposing_white/statuses/1618315370720550912,7,37,"Twitter for iPhone"
exposing_white,"ID 1618314959842340864","Wed Jan 25 18:28:47 +0000 2023"," “He’s killing Kevin”his sister screamed as their grandma ran to help,but it was too late.The third grader was dead. KevinShifflett,8, killed because he was White.Stabbed to death in a racially motivated attack in the front yard of his Virginia home in April2000. #WhitePrivilege https://t.co/Wp6brit6fD",https://twitter.com/exposing_white/statuses/1618314959842340864,160,531,"Twitter for iPhone"
exposing_white,"ID 1617819682668707841","Tue Jan 24 09:40:44 +0000 2023"," @1True_American_ Nope.",https://twitter.com/exposing_white/statuses/1617819682668707841,0,55,"Twitter for iPhone"
exposing_white,"ID 1617687116213014528","Tue Jan 24 00:53:58 +0000 2023"," https://t.co/TF0pyDd5t4",https://twitter.com/exposing_white/statuses/1617687116213014528,26,120,"Twitter for iPhone"
exposing_white,"ID 1617687112807239680","Tue Jan 24 00:53:57 +0000 2023"," UCLA grad  Brianna Kupfer,24,had White privilege when she was stabbed26 times while working alone in an LA luxury furniture store in Jan2022.She had bled to death before anyone found her. She hadn’t been robbed, or raped, &amp; nothing taken from the store. She was just killed. https://t.co/0F7VyGbSTm",https://twitter.com/exposing_white/statuses/1617687112807239680,377,1238,"Twitter for iPhone"
exposing_white,"ID 1617315635205386241","Mon Jan 23 00:17:50 +0000 2023"," @howmanyare2many 🤬😡🤬😡🤬😡🤬",https://twitter.com/exposing_white/statuses/1617315635205386241,0,2,"Twitter for iPhone"
exposing_white,"ID 1617314364813352960","Mon Jan 23 00:12:47 +0000 2023"," @LanaLokteff Must be nice to not have to worry your people being blended out of existence any time soon.",https://twitter.com/exposing_white/statuses/1617314364813352960,2,46,"Twitter for iPhone"
exposing_white,"ID 1617310436193632256","Sun Jan 22 23:57:10 +0000 2023"," @Henrik_Palmgren What a terrible, horrible, no good person.",https://twitter.com/exposing_white/statuses/1617310436193632256,0,12,"Twitter for iPhone"
exposing_white,"ID 1617309582560198657","Sun Jan 22 23:53:47 +0000 2023"," @brooklyn5738 Well said. Never apologize and never live on your knees.",https://twitter.com/exposing_white/statuses/1617309582560198657,2,46,"Twitter for iPhone"
exposing_white,"ID 1617304563199115264","Sun Jan 22 23:33:50 +0000 2023"," @brianstephens00 I completely agree with you. We are being walked all over and blended out of existence and sadly I don’t see us lifting a finger to change it.",https://twitter.com/exposing_white/statuses/1617304563199115264,0,0,"Twitter for iPhone"
exposing_white,"ID 1617300370404921345","Sun Jan 22 23:17:10 +0000 2023"," @JaimePretellEsq Damn. You’re not kidding. What a joke.",https://twitter.com/exposing_white/statuses/1617300370404921345,0,1,"Twitter for iPhone"
exposing_white,"ID 1617276717445386240","Sun Jan 22 21:43:11 +0000 2023"," Eleanor Bowles,77, was found dead in her Atlanta,Ga home by her son who was visiting for the holidays in Dec2022. She had been stabbed to death for having the audacity to interrupt her car being stolen from her own garage.She died while White privileged. https://t.co/I4Zq87sNC0",https://twitter.com/exposing_white/statuses/1617276717445386240,113,388,"Twitter for iPhone"
exposing_white,"ID 1616865894550106112","Sat Jan 21 18:30:43 +0000 2023"," https://t.co/0HnISr9RXr",https://twitter.com/exposing_white/statuses/1616865894550106112,0,19,"Twitter for iPhone"
exposing_white,"ID 1616865891697795074","Sat Jan 21 18:30:43 +0000 2023"," JadenUrrea(19) moved fromEl Paso to Dallas,TX to attend SMU with plans of studying law.But in Oct2020 walking home alone after a Halloween party he was shot and killed for no reason by a driver in a passing car.Jaden had  #WhitePrivilege and his life deemed worthless. https://t.co/Y1mGutx1of",https://twitter.com/exposing_white/statuses/1616865891697795074,44,195,"Twitter for iPhone"
exposing_white,"ID 1615978614700363779","Thu Jan 19 07:44:59 +0000 2023"," @DS2Archery2EZ @BlakeFrazier0 Worth looking in to. Guy rapes guys son. Sons dad takes him out after pretending to be on the phone til he passes.",https://twitter.com/exposing_white/statuses/1615978614700363779,0,0,"Twitter for iPhone"
exposing_white,"ID 1615828396335894529","Wed Jan 18 21:48:04 +0000 2023"," https://t.co/WmdMHeUo3z",https://twitter.com/exposing_white/statuses/1615828396335894529,13,64,"Twitter for iPhone"
exposing_white,"ID 1615828392313593860","Wed Jan 18 21:48:04 +0000 2023"," Italian citizen Davide Giri(30) was a Ph.D student at ColumbiaUniversity. He loved soccer,living in NewYork &amp; its diversity. In Dec2021 he was stabbed to death on his way home from soccer practice by a stranger who was out killing random people. Davide had #WhitePrivilege. https://t.co/Jf5XBhYNHB",https://twitter.com/exposing_white/statuses/1615828392313593860,144,546,"Twitter for iPhone"
exposing_white,"ID 1615531373204234241","Wed Jan 18 02:07:49 +0000 2023"," @LanaLokteff I’ve got an idea for a movie about Nelson Mandela… starring Pauly Shore.",https://twitter.com/exposing_white/statuses/1615531373204234241,0,45,"Twitter for iPhone"
exposing_white,"ID 1615530405133697026","Wed Jan 18 02:03:58 +0000 2023"," @WesternVan123 Spot on.",https://twitter.com/exposing_white/statuses/1615530405133697026,0,2,"Twitter for iPhone"
exposing_white,"ID 1615347030611877890","Tue Jan 17 13:55:18 +0000 2023"," https://t.co/cbH836cncQ",https://twitter.com/exposing_white/statuses/1615347030611877890,9,36,"Twitter for iPhone"
exposing_white,"ID 1615347025603592192","Tue Jan 17 13:55:17 +0000 2023"," White privileged Rodney Surprise,46, died from an unstoppable brain bleed when he was pulled from his car, beaten and left for dead in a Milwaukee gas station parking lot by 2 men in Oct2022. His stolen car was found later missing it’s wheels. #WhitePrivilege https://t.co/jiMPW1c4NI",https://twitter.com/exposing_white/statuses/1615347025603592192,69,228,"Twitter for iPhone"
exposing_white,"ID 1614801888293052416","Mon Jan 16 01:49:06 +0000 2023"," https://t.co/Y8TIHB0vHz",https://twitter.com/exposing_white/statuses/1614801888293052416,29,107,"Twitter for iPhone"
exposing_white,"ID 1614800160865005568","Mon Jan 16 01:42:14 +0000 2023"," In April2014, young, educated,and beautiful Sviatlana Dranko,30, was able to take advantage of her completely worthless White privilege when she was raped, strangled to death and set on fire by a coworker,an illegal immigrant from Mexico, in her Hillsborough,NJ  home. https://t.co/huGJinjUBU",https://twitter.com/exposing_white/statuses/1614800160865005568,257,1065,"Twitter for iPhone"
exposing_white,"ID 1614497584046817286","Sun Jan 15 05:39:54 +0000 2023"," @LanaLokteff 🤬😡🤬😡🤬😡🤬😡",https://twitter.com/exposing_white/statuses/1614497584046817286,0,9,"Twitter for iPhone"
exposing_white,"ID 1614386335309070338","Sat Jan 14 22:17:50 +0000 2023"," https://t.co/K4r81Aostt",https://twitter.com/exposing_white/statuses/1614386335309070338,25,148,"Twitter for iPhone"
exposing_white,"ID 1614386331970572288","Sat Jan 14 22:17:50 +0000 2023"," When Dr.Robert Lesslie,70,and the rest of his White privileged family who were home at the time;wife,Barbara,69&amp; grandkids Adah,9,&amp; Noah,5, had been shot and killed wasn’t enough,their killer went outside &amp; shot 2 more privileged White maintenance men who happened to be there. https://t.co/y5n4t23bsy",https://twitter.com/exposing_white/statuses/1614386331970572288,251,890,"Twitter for iPhone"
exposing_white,"ID 1613643512729280514","Thu Jan 12 21:06:08 +0000 2023"," @dahadooshtube @MISINFOSCIENCE No problem and I don’t blame you. It’s gotten to me a few times. And there’s no shortage of material.",https://twitter.com/exposing_white/statuses/1613643512729280514,1,13,"Twitter for iPhone"
