"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
fuctmind,"ID 1621845170470748161","Sat Feb 04 12:16:35 +0000 2023"," It's 1 degree out.

One.",https://twitter.com/fuctmind/statuses/1621845170470748161,0,4,"Twitter for Android"
fuctmind,"ID 1621828345741590530","Sat Feb 04 11:09:44 +0000 2023"," Good morning ☕☕🇺🇸",https://twitter.com/fuctmind/statuses/1621828345741590530,5,33,"Twitter for Android"
fuctmind,"ID 1621753177325375489","Sat Feb 04 06:11:02 +0000 2023"," Goodnight folks #sleep",https://twitter.com/fuctmind/statuses/1621753177325375489,0,14,"Twitter for Android"
fuctmind,"ID 1621749333711327234","Sat Feb 04 05:55:46 +0000 2023"," I see a bunch of people who want to be CEO of Twitter and nag @elonmusk about it.

I would absolutely prefer to work for @Tesla.

Automotive is way harder than any of this other stuff. One of the hardest industries out there.",https://twitter.com/fuctmind/statuses/1621749333711327234,1,19,"Twitter for Android"
fuctmind,"ID 1621716626813886464","Sat Feb 04 03:45:48 +0000 2023"," @UNLOVABLE_NIXON I don't know.",https://twitter.com/fuctmind/statuses/1621716626813886464,0,1,"Twitter for Android"
fuctmind,"ID 1621680944577904641","Sat Feb 04 01:24:01 +0000 2023"," @The_FJC https://t.co/HKW0QhAfTv",https://twitter.com/fuctmind/statuses/1621680944577904641,2,5,"Twitter for Android"
fuctmind,"ID 1621680691661381632","Sat Feb 04 01:23:00 +0000 2023"," Pentagon says another Chinese spy balloon is traveling over Latin America

https://t.co/ZFpA1h6bn7",https://twitter.com/fuctmind/statuses/1621680691661381632,10,16,"Twitter for Android"
fuctmind,"ID 1621680637026369538","Sat Feb 04 01:22:47 +0000 2023"," That's harassment at Twitter HQ? https://t.co/vCWRItBuyr",https://twitter.com/fuctmind/statuses/1621680637026369538,4,6,"Twitter for Android"
fuctmind,"ID 1621679253950537734","Sat Feb 04 01:17:18 +0000 2023"," Seems normal. https://t.co/Pi93jOQiDP",https://twitter.com/fuctmind/statuses/1621679253950537734,9,18,"Twitter for Android"
fuctmind,"ID 1621586484024188928","Fri Feb 03 19:08:40 +0000 2023"," RT @TheBabylonBee: Biden Says He’ll Shoot Down Chinese Spy Balloon As Soon As He’s Done Letting It Spy https://t.co/rdYAnALclI",https://twitter.com/fuctmind/statuses/1621586484024188928,3474,0,"Twitter for Android"
