"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
groyper25,"ID 1619781162209284096","Sun Jan 29 19:34:57 +0000 2023"," “I condemn Ronna McDaniel and the Republican Party.  What have they ever done for us?”———X (America First on Friday ❤️)",https://twitter.com/groyper25/statuses/1619781162209284096,0,2,"Twitter for iPhone"
groyper25,"ID 1619687567972257793","Sun Jan 29 13:23:03 +0000 2023"," @WurzelRoot @realgangstalker Literally clown country lol.",https://twitter.com/groyper25/statuses/1619687567972257793,0,0,"Twitter for iPhone"
groyper25,"ID 1619687483658350593","Sun Jan 29 13:22:43 +0000 2023"," RT @WurzelRoot: BLACK MAN KILLED BY BLACK POLICE OFFICERS! WHITES TO BLAME! - CNN",https://twitter.com/groyper25/statuses/1619687483658350593,29,0,"Twitter for iPhone"
groyper25,"ID 1619534794081337344","Sun Jan 29 03:15:59 +0000 2023"," @stevewi44821209 He talked about it on Infowars aside from saying he loved Hitler.  That’s all the media wants to focus on",https://twitter.com/groyper25/statuses/1619534794081337344,0,0,"Twitter for iPhone"
groyper25,"ID 1619388649925398529","Sat Jan 28 17:35:15 +0000 2023"," Nothing will stop Ye West and Nick Fuentes 😊.  We’ve all done things none of us are perfect.  He was addicted to porn.  But he cares about this country.  If you’re not Ye24 then move.  America First is inevitable ❤️.",https://twitter.com/groyper25/statuses/1619388649925398529,0,6,"Twitter for iPhone"
groyper25,"ID 1619383752387600384","Sat Jan 28 17:15:47 +0000 2023"," @stevewi44821209 @SteveFranssen Yes ❤️.  I don’t care what he does you’re being dishonest.  You’re not showing me this bc you genuinely care for the truth you’re showing me this so you can ruin his reputation which makes you a snake.  We’ve all done things no politician is perfect.",https://twitter.com/groyper25/statuses/1619383752387600384,0,1,"Twitter for iPhone"
groyper25,"ID 1619219099141406721","Sat Jan 28 06:21:31 +0000 2023"," RT @WurzelRoot: The founding fathers were super clear about why they wrote the Second Amendment and who the militia would be resisting. 

Y…",https://twitter.com/groyper25/statuses/1619219099141406721,21,0,"Twitter for iPhone"
groyper25,"ID 1619215818373615617","Sat Jan 28 06:08:29 +0000 2023"," @SteveFranssen Ye24 seriously or move out of the way 😊.",https://twitter.com/groyper25/statuses/1619215818373615617,0,1,"Twitter for iPhone"
groyper25,"ID 1619215711947350018","Sat Jan 28 06:08:03 +0000 2023"," RT @SteveFranssen: I can't respect you if you don't support Ye.",https://twitter.com/groyper25/statuses/1619215711947350018,47,0,"Twitter for iPhone"
groyper25,"ID 1619215602719293441","Sat Jan 28 06:07:37 +0000 2023"," RT @WurzelRoot: The 2nd Amendment was not written for home defense.

The 2nd Amendment was not written for hunting rights.

The 2nd Amendme…",https://twitter.com/groyper25/statuses/1619215602719293441,12,0,"Twitter for iPhone"
groyper25,"ID 1619210118700371970","Sat Jan 28 05:45:50 +0000 2023"," RT @SteveFranssen: I don't want DailyWire money.

I want to go to Heaven.",https://twitter.com/groyper25/statuses/1619210118700371970,19,0,"Twitter for iPhone"
groyper25,"ID 1619210040539500544","Sat Jan 28 05:45:31 +0000 2023"," RT @WorldWarWang: When a woman flirts with a man in order to get him to do what she wants him to do, it is exactly the same as if a man pun…",https://twitter.com/groyper25/statuses/1619210040539500544,71,0,"Twitter for iPhone"
groyper25,"ID 1619178089493454848","Sat Jan 28 03:38:34 +0000 2023"," RT @SteveFranssen: If someone supports Jordan Peterson, I simply assume that they're evil.",https://twitter.com/groyper25/statuses/1619178089493454848,9,0,"Twitter for iPhone"
groyper25,"ID 1619142690255540224","Sat Jan 28 01:17:54 +0000 2023"," RT @SteveFranssen: America will never be Republican ever again.",https://twitter.com/groyper25/statuses/1619142690255540224,15,0,"Twitter for iPhone"
groyper25,"ID 1618816232207314944","Fri Jan 27 03:40:40 +0000 2023"," Nick is such a rockstar 😊.  America First is inevitable in 2023 ❤️.  Ye is right about everything. https://t.co/vlcTPeDLZy",https://twitter.com/groyper25/statuses/1618816232207314944,0,9,"Twitter for iPhone"
groyper25,"ID 1618651369698902019","Thu Jan 26 16:45:34 +0000 2023"," I would like to thank @WurzelRoot for supporting me through all the e drama.  Thanks man you’re a king.  You’ve really been there for me 😊.  America First is inevitable ❤️.",https://twitter.com/groyper25/statuses/1618651369698902019,0,1,"Twitter for iPhone"
groyper25,"ID 1618345566723014657","Wed Jan 25 20:30:25 +0000 2023"," RT @RealBrysonGray: The Bible doesn’t tell you not to judge, but It tells you to not judge as a hypocrite. Jesus said to judge righteously.",https://twitter.com/groyper25/statuses/1618345566723014657,295,0,"Twitter for iPhone"
