"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
kanyestreams1,"ID 1621739841527349248","Sat Feb 04 05:18:03 +0000 2023"," @trboxing Amazing fight",https://twitter.com/kanyestreams1/statuses/1621739841527349248,0,2,"Twitter for iPhone"
kanyestreams1,"ID 1621673240287395840","Sat Feb 04 00:53:24 +0000 2023"," @CornCFC We need Kova or Kante so bad it’s unreal",https://twitter.com/kanyestreams1/statuses/1621673240287395840,0,1,"Twitter for iPhone"
kanyestreams1,"ID 1621630028650844160","Fri Feb 03 22:01:41 +0000 2023"," @kanyefestCHI Lmfaoooo gotta take care of the queen",https://twitter.com/kanyestreams1/statuses/1621630028650844160,0,32,"Twitter for iPhone"
kanyestreams1,"ID 1621628155575369734","Fri Feb 03 21:54:15 +0000 2023"," @ChelseaFC Mid table coach trying to manage Chelsea.. frustrating",https://twitter.com/kanyestreams1/statuses/1621628155575369734,11,199,"Twitter for iPhone"
kanyestreams1,"ID 1621583464330846208","Fri Feb 03 18:56:40 +0000 2023"," I know Kevin Durant somewhere in disbelief..",https://twitter.com/kanyestreams1/statuses/1621583464330846208,17,323,"Twitter for iPhone"
kanyestreams1,"ID 1621582108257914880","Fri Feb 03 18:51:16 +0000 2023"," @neika_x0 U askin the right questions",https://twitter.com/kanyestreams1/statuses/1621582108257914880,0,1,"Twitter for iPhone"
kanyestreams1,"ID 1621381084981170177","Fri Feb 03 05:32:29 +0000 2023"," Giannis going crazy man, single handedly willing the W",https://twitter.com/kanyestreams1/statuses/1621381084981170177,0,62,"Twitter for iPhone"
kanyestreams1,"ID 1621373891292676097","Fri Feb 03 05:03:54 +0000 2023"," @DAT_B01_R0CKY First &amp; last spin fr",https://twitter.com/kanyestreams1/statuses/1621373891292676097,0,9,"Twitter for iPhone"
kanyestreams1,"ID 1621373397820215298","Fri Feb 03 05:01:56 +0000 2023"," @DAT_B01_R0CKY I see it, giving it a spin 🫡",https://twitter.com/kanyestreams1/statuses/1621373397820215298,0,15,"Twitter for iPhone"
kanyestreams1,"ID 1621372854544596992","Fri Feb 03 04:59:46 +0000 2023"," Yoo anything dropping tonight? I’ve heard about nothing",https://twitter.com/kanyestreams1/statuses/1621372854544596992,2,116,"Twitter for iPhone"
kanyestreams1,"ID 1621363157053710342","Fri Feb 03 04:21:14 +0000 2023"," @love95604 LeBron’s biggest W",https://twitter.com/kanyestreams1/statuses/1621363157053710342,0,8,"Twitter for iPhone"
kanyestreams1,"ID 1621320701700358144","Fri Feb 03 01:32:32 +0000 2023"," @Kurrco And they still don’t think Jordan Carter is on the mount rushmore 😒",https://twitter.com/kanyestreams1/statuses/1621320701700358144,0,64,"Twitter for iPhone"
kanyestreams1,"ID 1621319707767734273","Fri Feb 03 01:28:35 +0000 2023"," @no_Slayerr I love it as well, great song",https://twitter.com/kanyestreams1/statuses/1621319707767734273,0,5,"Twitter for iPhone"
kanyestreams1,"ID 1621318608881156097","Fri Feb 03 01:24:13 +0000 2023"," Nicki, Drake, &amp; Wayne ki!!ed this beat basically https://t.co/4NIu5Msf11 https://t.co/OeNC0KzlkL",https://twitter.com/kanyestreams1/statuses/1621318608881156097,12,235,"Twitter for iPhone"
kanyestreams1,"ID 1621281857588367361","Thu Feb 02 22:58:11 +0000 2023"," @FabrizioRomano The only thing that will change is him getting sacked if he can’t make this work.",https://twitter.com/kanyestreams1/statuses/1621281857588367361,0,112,"Twitter for iPhone"
kanyestreams1,"ID 1621244535006175238","Thu Feb 02 20:29:53 +0000 2023"," RT @SHENYENG: I love him, such a mastermind and inspiration. Yes we'll do something again, God's willing.",https://twitter.com/kanyestreams1/statuses/1621244535006175238,19,0,"Twitter for iPhone"
kanyestreams1,"ID 1621229234357211137","Thu Feb 02 19:29:05 +0000 2023"," @Drakesoldmore SZA topped it but in Hip-Hop probably Carti or Trav",https://twitter.com/kanyestreams1/statuses/1621229234357211137,1,160,"Twitter for iPhone"
kanyestreams1,"ID 1621174081763549184","Thu Feb 02 15:49:55 +0000 2023"," @vinayatheflyer It was X as well most likely https://t.co/ufQbGJL98y",https://twitter.com/kanyestreams1/statuses/1621174081763549184,1,74,"Twitter for iPhone"
kanyestreams1,"ID 1621156494682238977","Thu Feb 02 14:40:02 +0000 2023"," https://t.co/wy9NNUQGTu",https://twitter.com/kanyestreams1/statuses/1621156494682238977,518,3573,"Twitter for iPhone"
kanyestreams1,"ID 1621153422325211140","Thu Feb 02 14:27:50 +0000 2023"," RT @CrAstro2: The world listening to YE https://t.co/GkqUPq7S3l",https://twitter.com/kanyestreams1/statuses/1621153422325211140,19,0,"Twitter for iPhone"
kanyestreams1,"ID 1621142291414122500","Thu Feb 02 13:43:36 +0000 2023"," @FairlyOddDon @DomScot39676682 He meant overall, but still he’s barely seen a drop off in streams, just other artists dropped new music",https://twitter.com/kanyestreams1/statuses/1621142291414122500,0,4,"Twitter for iPhone"
kanyestreams1,"ID 1621142157448081409","Thu Feb 02 13:43:04 +0000 2023"," @DomScot39676682 Lot of people dropped albums, his streams have been great. Half a billion in one month with no new music",https://twitter.com/kanyestreams1/statuses/1621142157448081409,2,205,"Twitter for iPhone"
kanyestreams1,"ID 1621140979372929024","Thu Feb 02 13:38:23 +0000 2023"," Ye received 479M streams on Spotify in January! He was the 3rd most streamed Hip-Hop artist of the month behind Drake &amp; Eminem https://t.co/1ELdVnEJra",https://twitter.com/kanyestreams1/statuses/1621140979372929024,188,2338,"Twitter for iPhone"
kanyestreams1,"ID 1621020791864438784","Thu Feb 02 05:40:48 +0000 2023"," @worldwar_will He wouldn’t get boo’d imo🤣",https://twitter.com/kanyestreams1/statuses/1621020791864438784,0,40,"Twitter for iPhone"
kanyestreams1,"ID 1620996306234933249","Thu Feb 02 04:03:30 +0000 2023"," @GLAMstarrr Barcelona, everyone I know says Paris is a tourist trap",https://twitter.com/kanyestreams1/statuses/1620996306234933249,2,42,"Twitter for iPhone"
kanyestreams1,"ID 1620991017762820097","Thu Feb 02 03:42:29 +0000 2023"," @cardistics Only Megan really. Glo if they add Tomorrow 2 but doubt they will",https://twitter.com/kanyestreams1/statuses/1620991017762820097,0,7,"Twitter for iPhone"
kanyestreams1,"ID 1620990380882948097","Thu Feb 02 03:39:58 +0000 2023"," @bethanysBDTF @Winstontheking1 @Karimdiallo_ Lmaoaoao he didn’t want me to cook m&amp;m like that",https://twitter.com/kanyestreams1/statuses/1620990380882948097,0,4,"Twitter for iPhone"
kanyestreams1,"ID 1620989749446983680","Thu Feb 02 03:37:27 +0000 2023"," @Winstontheking1 @Karimdiallo_ locked out of dm’s 😭",https://twitter.com/kanyestreams1/statuses/1620989749446983680,0,3,"Twitter for iPhone"
kanyestreams1,"ID 1620985032251957249","Thu Feb 02 03:18:42 +0000 2023"," @GodBreathedOnMe His verse is crazy, but not popular enough for that moment",https://twitter.com/kanyestreams1/statuses/1620985032251957249,3,70,"Twitter for iPhone"
kanyestreams1,"ID 1620984817570684928","Thu Feb 02 03:17:51 +0000 2023"," If Rihanna brings out Ye at the SuperBowl, it’d be bigger than the game itself 🤧

It won’t happen though",https://twitter.com/kanyestreams1/statuses/1620984817570684928,56,1349,"Twitter for iPhone"
kanyestreams1,"ID 1620963511554961410","Thu Feb 02 01:53:11 +0000 2023"," @love95604 Same, she needs to solo it",https://twitter.com/kanyestreams1/statuses/1620963511554961410,0,18,"Twitter for iPhone"
kanyestreams1,"ID 1620886439071481856","Wed Feb 01 20:46:56 +0000 2023"," @FabrizioRomano UCL Champion in 4 months https://t.co/zfQksbKGIn",https://twitter.com/kanyestreams1/statuses/1620886439071481856,4,480,"Twitter for iPhone"
kanyestreams1,"ID 1620854016493379584","Wed Feb 01 18:38:06 +0000 2023"," @longi_lee If he ever became president, it’d be the crazier than Trump tbh 😭",https://twitter.com/kanyestreams1/statuses/1620854016493379584,0,4,"Twitter for iPhone"
kanyestreams1,"ID 1620853289775673349","Wed Feb 01 18:35:12 +0000 2023"," Freestyle 4 https://t.co/7acUf2Tg7w",https://twitter.com/kanyestreams1/statuses/1620853289775673349,92,2019,"Twitter for iPhone"
kanyestreams1,"ID 1620847790913118208","Wed Feb 01 18:13:21 +0000 2023"," @FabrizioRomano @Transfers We just getting started. We’re making football better https://t.co/AfjDoIP760",https://twitter.com/kanyestreams1/statuses/1620847790913118208,3,556,"Twitter for iPhone"
kanyestreams1,"ID 1620835531658776576","Wed Feb 01 17:24:39 +0000 2023"," Ye &amp; Bianca in Hollywood https://t.co/4f3jhfk5Ve",https://twitter.com/kanyestreams1/statuses/1620835531658776576,63,978,"Twitter for iPhone"
kanyestreams1,"ID 1620817819414978561","Wed Feb 01 16:14:16 +0000 2023"," Ye sells out clothing with no logo in a day &amp; age where people buy clothing just for the logo

Influence is unreal.",https://twitter.com/kanyestreams1/statuses/1620817819414978561,96,1102,"Twitter for iPhone"
kanyestreams1,"ID 1620786443823247360","Wed Feb 01 14:09:35 +0000 2023"," Don’t let, don’t let the lifestyle drag you dooowwnn
Who knows when was the last time you felt the love https://t.co/jkjcH1Sl5y",https://twitter.com/kanyestreams1/statuses/1620786443823247360,9,173,"Twitter for iPhone"
kanyestreams1,"ID 1620783718318358528","Wed Feb 01 13:58:45 +0000 2023"," It’s a good day to listen to Come To Life",https://twitter.com/kanyestreams1/statuses/1620783718318358528,31,478,"Twitter for iPhone"
kanyestreams1,"ID 1620779000594579457","Wed Feb 01 13:40:01 +0000 2023"," RT @poondaYZY: NEW DONDA 2 LEAK

NEVER FORGIVE YOURSELF

BEAT SWITCH

SAID TO BE THE BEST SONG OFF DONDA 2 https://t.co/o1PTM6C6qr",https://twitter.com/kanyestreams1/statuses/1620779000594579457,534,0,"Twitter for iPhone"
kanyestreams1,"ID 1620595332534145024","Wed Feb 01 01:30:11 +0000 2023"," @yzyupdates New Slaves",https://twitter.com/kanyestreams1/statuses/1620595332534145024,0,111,"Twitter for iPhone"
kanyestreams1,"ID 1620549417836351488","Tue Jan 31 22:27:44 +0000 2023"," @FabrizioRomano 8 years is insane 🤣 https://t.co/RFmj1Nupev",https://twitter.com/kanyestreams1/statuses/1620549417836351488,7,380,"Twitter for iPhone"
kanyestreams1,"ID 1620543832227221504","Tue Jan 31 22:05:32 +0000 2023"," @tervisscoot Future",https://twitter.com/kanyestreams1/statuses/1620543832227221504,0,85,"Twitter for iPhone"
kanyestreams1,"ID 1620541202323095555","Tue Jan 31 21:55:05 +0000 2023"," @FabrizioRomano @TurkishAirlines ENZO TO CHELSEA!! WERE COMING FOR THE UCL! https://t.co/DRS6IbwVKs",https://twitter.com/kanyestreams1/statuses/1620541202323095555,18,501,"Twitter for iPhone"
kanyestreams1,"ID 1620539939799826432","Tue Jan 31 21:50:04 +0000 2023"," @cardistics This is 🔥🔥",https://twitter.com/kanyestreams1/statuses/1620539939799826432,0,2,"Twitter for iPhone"
kanyestreams1,"ID 1620531434837651456","Tue Jan 31 21:16:16 +0000 2023"," RT @kandhiee: https://t.co/XZXnZJG4Nr",https://twitter.com/kanyestreams1/statuses/1620531434837651456,210,0,"Twitter for iPhone"
kanyestreams1,"ID 1620505500990468096","Tue Jan 31 19:33:13 +0000 2023"," I Thought About Ki!!ing You by Kanye West has surpassed 90M streams on Spotify!",https://twitter.com/kanyestreams1/statuses/1620505500990468096,33,497,"Twitter for iPhone"
kanyestreams1,"ID 1620504954074202117","Tue Jan 31 19:31:03 +0000 2023"," Junya by Kanye West featuring Playboi Carti has surpassed 50M streams on Spotify!",https://twitter.com/kanyestreams1/statuses/1620504954074202117,9,261,"Twitter for iPhone"
kanyestreams1,"ID 1620504774163726336","Tue Jan 31 19:30:20 +0000 2023"," Jonah by Kanye West featuring Lil Durk &amp; Vory has surpassed 60M streams on Spotify!",https://twitter.com/kanyestreams1/statuses/1620504774163726336,5,128,"Twitter for iPhone"
kanyestreams1,"ID 1620487038767357957","Tue Jan 31 18:19:51 +0000 2023"," @CornCFC If we get Enzo, he’s paid for my trust 😂",https://twitter.com/kanyestreams1/statuses/1620487038767357957,0,2,"Twitter for iPhone"
kanyestreams1,"ID 1620482499297308679","Tue Jan 31 18:01:49 +0000 2023"," @CFCPys We’re not leaving without him, crazy 😭",https://twitter.com/kanyestreams1/statuses/1620482499297308679,0,4,"Twitter for iPhone"
kanyestreams1,"ID 1620470839161556993","Tue Jan 31 17:15:29 +0000 2023"," Using a sign as an excuse for your behavior is wild to me 😂 https://t.co/s87VpVP87e",https://twitter.com/kanyestreams1/statuses/1620470839161556993,3,72,"Twitter for iPhone"
kanyestreams1,"ID 1620450417644818432","Tue Jan 31 15:54:20 +0000 2023"," Carter VI any week now then 👀 https://t.co/8s8XZfrX3C",https://twitter.com/kanyestreams1/statuses/1620450417644818432,4,79,"Twitter for iPhone"
kanyestreams1,"ID 1620444558139203584","Tue Jan 31 15:31:03 +0000 2023"," @donywahlberg @FabrizioRomano 🤣🤣🤣 now we wait",https://twitter.com/kanyestreams1/statuses/1620444558139203584,0,1,"Twitter for iPhone"
kanyestreams1,"ID 1620443978201190401","Tue Jan 31 15:28:45 +0000 2023"," @FabrizioRomano When we sign him with no installments https://t.co/DAQxbt1X1H",https://twitter.com/kanyestreams1/statuses/1620443978201190401,1,51,"Twitter for iPhone"
kanyestreams1,"ID 1620322496326291457","Tue Jan 31 07:26:01 +0000 2023"," @blondedmeh W take",https://twitter.com/kanyestreams1/statuses/1620322496326291457,0,2,"Twitter for iPhone"
kanyestreams1,"ID 1620321808871477249","Tue Jan 31 07:23:18 +0000 2023"," https://t.co/Iy4ZG4sPsF",https://twitter.com/kanyestreams1/statuses/1620321808871477249,0,54,"Twitter for iPhone"
