"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
realDaveReilly,"ID 1621775934876700672","Sat Feb 04 07:41:28 +0000 2023"," RT @Dennis_Porter_: Why do I get the sense that Ordinals will create blocksize war 2.0. Does this mean we will have moderate blockers and e…",https://twitter.com/realDaveReilly/statuses/1621775934876700672,3,0,"Twitter for iPhone"
realDaveReilly,"ID 1621722099252617216","Sat Feb 04 04:07:33 +0000 2023"," RT @mattgaetz: The Department of Defense would like to know the Balloon’s pronouns",https://twitter.com/realDaveReilly/statuses/1621722099252617216,5546,0,"Twitter for iPhone"
realDaveReilly,"ID 1621680870628425728","Sat Feb 04 01:23:43 +0000 2023"," How it started // how it’s going https://t.co/N92ew6j9MT",https://twitter.com/realDaveReilly/statuses/1621680870628425728,1,12,"Twitter for iPhone"
realDaveReilly,"ID 1621679114091659265","Sat Feb 04 01:16:44 +0000 2023"," @DavidPettinger @acluidaho Hey, I got one too! https://t.co/ysFjNPYeMI",https://twitter.com/realDaveReilly/statuses/1621679114091659265,0,1,"Twitter for iPhone"
realDaveReilly,"ID 1621678283258724355","Sat Feb 04 01:13:26 +0000 2023"," We used to have Frank Church, now we have this: https://t.co/12kcJH4VQr",https://twitter.com/realDaveReilly/statuses/1621678283258724355,1,5,"Twitter for iPhone"
realDaveReilly,"ID 1621676559613710336","Sat Feb 04 01:06:35 +0000 2023"," @IdahoDems I can keep going all day.

Your policy positions are tantamount to telling an anorexic girl that she really *is* fat and needs to lose weight.

Disturbing. Sad!",https://twitter.com/realDaveReilly/statuses/1621676559613710336,0,3,"Twitter for iPhone"
realDaveReilly,"ID 1621676183783108608","Sat Feb 04 01:05:06 +0000 2023"," @IdahoDems https://t.co/V57l84xiX6",https://twitter.com/realDaveReilly/statuses/1621676183783108608,0,2,"Twitter for iPhone"
realDaveReilly,"ID 1621675965570224128","Sat Feb 04 01:04:14 +0000 2023"," @IdahoDems https://t.co/znhHdOBcyT",https://twitter.com/realDaveReilly/statuses/1621675965570224128,0,5,"Twitter for iPhone"
realDaveReilly,"ID 1621675937296429056","Sat Feb 04 01:04:07 +0000 2023"," @IdahoDems https://t.co/TqdUQZ60A3",https://twitter.com/realDaveReilly/statuses/1621675937296429056,0,6,"Twitter for iPhone"
realDaveReilly,"ID 1621645928108294149","Fri Feb 03 23:04:52 +0000 2023"," @Dennis_Porter_ @ACLU The @ACLU is a joke.",https://twitter.com/realDaveReilly/statuses/1621645928108294149,0,0,"Twitter Web App"
