"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
redicetv,"ID 1620323648203784192","Tue Jan 31 07:30:36 +0000 2023"," Western Warrior: Lecturing White Women, Putin Fires Chabad Critic, Cucked AI &amp; Drastic Decline In Swedish Births

Don't miss our latest members exclusive show. Watch it at https://t.co/GK9jSerykr or https://t.co/iZzOVPQwJ2

You can also sign up at https://t.co/G60zNWhDaQ https://t.co/lRV13gEcIT",https://twitter.com/redicetv/statuses/1620323648203784192,8,48,"Twitter Web App"
redicetv,"ID 1619508332712308736","Sun Jan 29 01:30:50 +0000 2023"," 'Conservative' Republicans For Amnesty For Illegals https://t.co/Eh1gOPSnye",https://twitter.com/redicetv/statuses/1619508332712308736,17,83,"Twitter Web App"
redicetv,"ID 1619506948034166784","Sun Jan 29 01:25:20 +0000 2023"," Black Only Mortgage Loans With 1% Down

A mortgage company is offering special loans with only 1% down if you're black to ""close the gap."" Ok, great now let's see a White owned company do this. https://t.co/RJgmYdhCOa",https://twitter.com/redicetv/statuses/1619506948034166784,21,98,"Twitter Web App"
redicetv,"ID 1619210835880194048","Sat Jan 28 05:48:41 +0000 2023"," Flashback Friday: Please Remember Day &amp; ‘Cultural Reckoning’

https://t.co/6Cyr6Nt61b

Odysee https://t.co/TYa6mn1fjK

BitChute https://t.co/JZ4JCyNeqe

GabTV https://t.co/DcQCm0MLSA

VK https://t.co/5uqwRiyDSN

YouTube https://t.co/AV8ldTZuKM

Rumble https://t.co/PCe2thT4AD",https://twitter.com/redicetv/statuses/1619210835880194048,4,20,"Twitter Web App"
redicetv,"ID 1619109067527696385","Fri Jan 27 23:04:17 +0000 2023"," RT @GothicBoar: Please Remember Day &amp; ‘Cultural Reckoning’ - FF Ep200 https://t.co/oHlx6URv0W",https://twitter.com/redicetv/statuses/1619109067527696385,18,0,"Twitter Web App"
redicetv,"ID 1619103334870433792","Fri Jan 27 22:41:31 +0000 2023"," Flashback Friday: Please Remember Day &amp; ‘Cultural Reckoning’

Live at 6pm EST / 0am CET

Watch at:
⊕ https://t.co/dOJfK9hMxf
⊕ https://t.co/RO9vl9nMsh
⊕ https://t.co/PCe2thT4AD
⊕ https://t.co/9mdTX7HrfK
⊕ https://t.co/MAs9S9dIe8

Superchats: https://t.co/ymqsHTfKUi https://t.co/NsXRUjZp1H",https://twitter.com/redicetv/statuses/1619103334870433792,8,32,"Twitter Web App"
redicetv,"ID 1618792852397629441","Fri Jan 27 02:07:46 +0000 2023"," ‘Ethnic Germans Are Dying Out And Migrants Will Inherit Germany’ https://t.co/ZsIaaCqbsp",https://twitter.com/redicetv/statuses/1618792852397629441,601,1754,"Twitter Web App"
redicetv,"ID 1618791484232437762","Fri Jan 27 02:02:20 +0000 2023"," Are Black People Cooler Than White People? https://t.co/Lj85jep3p9",https://twitter.com/redicetv/statuses/1618791484232437762,23,114,"Twitter Web App"
redicetv,"ID 1618533318076821505","Thu Jan 26 08:56:28 +0000 2023"," No-Go Zone: Reinstated, Tanks For Ukraine &amp; Ghislaine Maxwell Speaks From Behind Bars

Watch https://t.co/XR8Lt9YPKe

BitChute https://t.co/qo438oULmP

Rumble https://t.co/fAngJnyXt3

GabTV https://t.co/lSyrTCt1Ni

VK https://t.co/HHxHjr5OEY

Odysee https://t.co/1QKxxcNCNG",https://twitter.com/redicetv/statuses/1618533318076821505,5,20,"Twitter Web App"
redicetv,"ID 1618395192591257600","Wed Jan 25 23:47:36 +0000 2023"," RT @GothicBoar: No-Go Zone: Reinstated, Tanks For Ukraine &amp; Ghislaine Maxwell Speaks From Behind Bars https://t.co/FeEe1rw3kt",https://twitter.com/redicetv/statuses/1618395192591257600,10,0,"Twitter Web App"
