"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
thisislaurat,"ID 1621800356966457344","Sat Feb 04 09:18:31 +0000 2023"," @BeerPooch @SamMeliaPA @MeanPeem14 @EbeneezerGoode2 @GorgeWhitebread Lol I can’t believe they wrote an article about that embarrassment of a day for them. I’d have just stayed quiet and pretend it didn’t happen if I was them.",https://twitter.com/thisislaurat/statuses/1621800356966457344,0,1,"Twitter for iPhone"
thisislaurat,"ID 1621530360210198529","Fri Feb 03 15:25:39 +0000 2023"," LIVESTREAM: Patriotic Alternative January Update - with Laura Towler and special guest hosts Kenny Smith and Sam Melia

Join us at 7pm GMT as we report on Patriotic Alternative’s January activism, our migrant hotel protests and our future plans! 

ODYSEE: https://t.co/9Ds6uL1ky6 https://t.co/3EbHnsnBc0",https://twitter.com/thisislaurat/statuses/1621530360210198529,20,59,"Twitter for iPhone"
thisislaurat,"ID 1621256919544483843","Thu Feb 02 21:19:05 +0000 2023"," RT @AshidMikeks: @dudleylad1066 @DaveAtherton20 @worshipedbyu They are. @PatAlternative did a demo in Leeds on Saturday. Leader @MarkAColle…",https://twitter.com/thisislaurat/statuses/1621256919544483843,13,0,"Twitter for iPhone"
thisislaurat,"ID 1621200509775364099","Thu Feb 02 17:34:56 +0000 2023"," @KevinOM88878405 I actually double checked myself!",https://twitter.com/thisislaurat/statuses/1621200509775364099,0,1,"Twitter for iPhone"
thisislaurat,"ID 1621191634607013891","Thu Feb 02 16:59:40 +0000 2023"," @nastymutant @Clay1984More @GBNEWS @PatAlternative Let’s do it!",https://twitter.com/thisislaurat/statuses/1621191634607013891,2,23,"Twitter for iPhone"
thisislaurat,"ID 1621187471554891776","Thu Feb 02 16:43:08 +0000 2023"," Ridiculous. Are we not allowed to sing Stan by Eminem either? Or I Don’t Like Mondays? Or Pumped Up Kicks? How far is this gonna go? 

How about you just do your job and catch some criminals? https://t.co/7dLk1lptZC",https://twitter.com/thisislaurat/statuses/1621187471554891776,16,106,"Twitter for iPhone"
thisislaurat,"ID 1621121413313884161","Thu Feb 02 12:20:38 +0000 2023"," RT @nastymutant: About ten days since @GBNEWS had the avowed communist Aaron Bastani on as a guest with friendly questions, let's ask again…",https://twitter.com/thisislaurat/statuses/1621121413313884161,24,0,"Twitter for iPhone"
thisislaurat,"ID 1621114607405236224","Thu Feb 02 11:53:35 +0000 2023"," Well done to the local people who prioritised the safety of their people over being called a mean word! 

#ErskineSaysNo https://t.co/ZC8ld43ADB",https://twitter.com/thisislaurat/statuses/1621114607405236224,17,83,"Twitter for iPhone"
thisislaurat,"ID 1621066024949792773","Thu Feb 02 08:40:32 +0000 2023"," @14fox24 Thank you. Hope I did ok standing in for Mark.",https://twitter.com/thisislaurat/statuses/1621066024949792773,0,3,"Twitter for iPhone"
thisislaurat,"ID 1620845405578878976","Wed Feb 01 18:03:53 +0000 2023"," RT @PatAlternative: Thread:

1/ Two headlines today regarding the migrant invasion here in Erskine. The Daily Record &amp; The National show th…",https://twitter.com/thisislaurat/statuses/1620845405578878976,9,0,"Twitter for iPhone"
thisislaurat,"ID 1620838101894533135","Wed Feb 01 17:34:51 +0000 2023"," @MojaveDusty I’ll pass it over",https://twitter.com/thisislaurat/statuses/1620838101894533135,0,3,"Twitter for iPhone"
thisislaurat,"ID 1620822495887593482","Wed Feb 01 16:32:51 +0000 2023"," @MojaveDusty Is it North West?",https://twitter.com/thisislaurat/statuses/1620822495887593482,0,4,"Twitter for iPhone"
thisislaurat,"ID 1620811944017162240","Wed Feb 01 15:50:55 +0000 2023"," Patriotic Weekly Review is LIVE at 7pm UK time (2pm EST) with special host Laura Towler and special guest Emily Youcis.

Odysee: https://t.co/8GRYQuDMIj https://t.co/L7MFT1HjlT",https://twitter.com/thisislaurat/statuses/1620811944017162240,14,71,"Twitter for iPhone"
thisislaurat,"ID 1620542916430303232","Tue Jan 31 22:01:54 +0000 2023"," RT @DuncanHenry78: I play a lot of the sims and I understand they want to make it realistic for everyone who plays. 

But celebrating doubl…",https://twitter.com/thisislaurat/statuses/1620542916430303232,39,0,"Twitter for iPhone"
thisislaurat,"ID 1620536029470924800","Tue Jan 31 21:34:32 +0000 2023"," @mranthony_uk 😂 What a nob head",https://twitter.com/thisislaurat/statuses/1620536029470924800,0,3,"Twitter for iPhone"
thisislaurat,"ID 1620355432132009985","Tue Jan 31 09:36:54 +0000 2023"," It’s funny seeing the far left getting all excited about the Tory vaccine lies and vested interests. The “far right” were warning people about this years ago while you were telling everybody to get jabbed and sticking an “I’m vaccinated” filter on your Facebook profile pic.",https://twitter.com/thisislaurat/statuses/1620355432132009985,53,341,"Twitter for iPhone"
thisislaurat,"ID 1620352549307191301","Tue Jan 31 09:25:27 +0000 2023"," RT @ABridgen: I was suspended from the Conservative Party for having serious concerns about the harm that ‘vaccines’ cause. 

Nadhim Zahawi…",https://twitter.com/thisislaurat/statuses/1620352549307191301,7666,0,"Twitter for iPhone"
thisislaurat,"ID 1620348831010377731","Tue Jan 31 09:10:40 +0000 2023"," @frankletobarone @PatAlternative No worries, Franco. However, the Tories aren’t anti-immigration, are they? They pretend they are because they want people to vote for them, but they’ve brought more people to this country (legally &amp; illegally) than we’ve ever had in British history. They are breaking records.",https://twitter.com/thisislaurat/statuses/1620348831010377731,0,1,"Twitter for iPhone"
thisislaurat,"ID 1620175583413157896","Mon Jan 30 21:42:15 +0000 2023"," RT @AdoptionsUk: Please retweet, to HELP FIND MISSING NICOLA BULLEY, MISSING SINCE JAN 27, from #INSKIP #LANCASHIRE #UK 

She has vanished…",https://twitter.com/thisislaurat/statuses/1620175583413157896,1200,0,"Twitter for iPhone"
thisislaurat,"ID 1620110736671539200","Mon Jan 30 17:24:34 +0000 2023"," Join us tonight at 7pm (UK time) for Episode 79 of Tea Time with Sam &amp; Laura. We're joined by Darren “One-Punch” Edmundson, aka the Pembrokeshire Patriot! 

Odysee (our preferred platform): https://t.co/ggSCgjFBwi https://t.co/yc1dg0h1yw",https://twitter.com/thisislaurat/statuses/1620110736671539200,20,76,"Twitter for iPhone"
thisislaurat,"ID 1620104901434179584","Mon Jan 30 17:01:23 +0000 2023"," @Dec3k5 @Partisangirl Oh fgs",https://twitter.com/thisislaurat/statuses/1620104901434179584,0,2,"Twitter for iPhone"
thisislaurat,"ID 1620102790084284416","Mon Jan 30 16:52:59 +0000 2023"," @Dec3k5 @Partisangirl Syria is not hostile to Britain lmao",https://twitter.com/thisislaurat/statuses/1620102790084284416,0,3,"Twitter for iPhone"
thisislaurat,"ID 1620022720640475137","Mon Jan 30 11:34:49 +0000 2023"," @Partisangirl Good luck with everything :)",https://twitter.com/thisislaurat/statuses/1620022720640475137,1,17,"Twitter for iPhone"
thisislaurat,"ID 1620018381557579777","Mon Jan 30 11:17:35 +0000 2023"," @GhostEdwards @PaulGrimshaw15 He’s alright mouthing off and calling people names but he doesn’t like being called out haha https://t.co/WK9FtBxS33",https://twitter.com/thisislaurat/statuses/1620018381557579777,0,4,"Twitter for iPhone"
thisislaurat,"ID 1620014288722067456","Mon Jan 30 11:01:19 +0000 2023"," @PaulGrimshaw15 Oh I know. I don’t think you do though. Without using Google, can you tell me what fascism is?",https://twitter.com/thisislaurat/statuses/1620014288722067456,0,3,"Twitter for iPhone"
thisislaurat,"ID 1620013069266026498","Mon Jan 30 10:56:28 +0000 2023"," @PaulGrimshaw15 What’s fascism, Paul?",https://twitter.com/thisislaurat/statuses/1620013069266026498,3,135,"Twitter for iPhone"
thisislaurat,"ID 1620012578486239232","Mon Jan 30 10:54:31 +0000 2023"," @PaulGrimshaw15 Really glad you’ve changed your mind and you’re now admitting that the people in the hotel are here illegally. I knew you’d get there eventually, Paul.",https://twitter.com/thisislaurat/statuses/1620012578486239232,0,12,"Twitter for iPhone"
thisislaurat,"ID 1620005338086019072","Mon Jan 30 10:25:45 +0000 2023"," According to these people, destroying your ID &amp; paying a people trafficker to smuggle you into Britain isn’t entering the country illegally as long as you call yourself an “asylum seeker”. 

If that’s the case, why do we have borders, passports and Visas if none of them matter? https://t.co/UO9bctKXNV",https://twitter.com/thisislaurat/statuses/1620005338086019072,27,216,"Twitter for iPhone"
thisislaurat,"ID 1620001932231294977","Mon Jan 30 10:12:13 +0000 2023"," @manumally @PatAlternative Oh I’m sorry to hear that. Did they catch who it was?",https://twitter.com/thisislaurat/statuses/1620001932231294977,0,0,"Twitter for iPhone"
thisislaurat,"ID 1619994455859249152","Mon Jan 30 09:42:30 +0000 2023"," @manumally @PatAlternative Oh we didn’t see or hear them at all. They must have been right over near the hotel?",https://twitter.com/thisislaurat/statuses/1619994455859249152,0,0,"Twitter for iPhone"
thisislaurat,"ID 1619979265675767808","Mon Jan 30 08:42:09 +0000 2023"," RT @TheHarryManSpa1: @GodwinAdamsonJ1 These aren't victims, these are hostile fighting-aged male invaders, many have been caught fleeing co…",https://twitter.com/thisislaurat/statuses/1619979265675767808,13,0,"Twitter for iPhone"
thisislaurat,"ID 1619978889568059392","Mon Jan 30 08:40:39 +0000 2023"," @GodwinAdamsonJ1 @PatAlternative How can somebody be a nationalist and a supremacist at the same time? You don’t know what those words mean do you?

And why are you telling an organiser of the protest what the theme of the protest was despite you not being there or having heard any of the speeches?",https://twitter.com/thisislaurat/statuses/1619978889568059392,0,5,"Twitter for iPhone"
thisislaurat,"ID 1619889787594317833","Mon Jan 30 02:46:36 +0000 2023"," @GodwinAdamsonJ1 @PatAlternative The fact that you use phrases like “far right nationalist white supremacists” tells me you’re a midwit who has no idea what she’s talking about.",https://twitter.com/thisislaurat/statuses/1619889787594317833,1,28,"Twitter for iPhone"
thisislaurat,"ID 1619888739970424832","Mon Jan 30 02:42:26 +0000 2023"," @R_Baccalieri_Sr Good morning 😂",https://twitter.com/thisislaurat/statuses/1619888739970424832,0,7,"Twitter for iPhone"
thisislaurat,"ID 1619807424503857155","Sun Jan 29 21:19:19 +0000 2023"," @RevJCostello @spencehargrave Could have got you on the mic 😉",https://twitter.com/thisislaurat/statuses/1619807424503857155,0,1,"Twitter for iPhone"
thisislaurat,"ID 1619807345286197250","Sun Jan 29 21:19:00 +0000 2023"," @DW_211340 @MacsgirlPam @MrBasedBloom @FingeredFred @MarkACollett Two years away from Twitter and I forgot that people like these lot exist. You never experience them out and about.",https://twitter.com/thisislaurat/statuses/1619807345286197250,0,3,"Twitter for iPhone"
thisislaurat,"ID 1619805398583615488","Sun Jan 29 21:11:16 +0000 2023"," @RevJCostello @spencehargrave It was advertised all last week!",https://twitter.com/thisislaurat/statuses/1619805398583615488,1,3,"Twitter for iPhone"
thisislaurat,"ID 1619805270036869120","Sun Jan 29 21:10:45 +0000 2023"," @MacsgirlPam @MrBasedBloom @FingeredFred @MarkACollett Imagine thinking we’d support Israel. Bloody hell, lass.",https://twitter.com/thisislaurat/statuses/1619805270036869120,0,3,"Twitter for iPhone"
thisislaurat,"ID 1619787336530681859","Sun Jan 29 19:59:29 +0000 2023"," @Nature_and_Race Can still see you on my feed and hopefully your account will get fixed 😊",https://twitter.com/thisislaurat/statuses/1619787336530681859,0,19,"Twitter for iPhone"
thisislaurat,"ID 1619783858538561537","Sun Jan 29 19:45:40 +0000 2023"," RT @SamMeliaPA: @thisislaurat @Chr1s5opherrr @Yogablackbelt @PatAlternative https://t.co/OGixHQSCEY",https://twitter.com/thisislaurat/statuses/1619783858538561537,1,0,"Twitter for iPhone"
thisislaurat,"ID 1619783536529088512","Sun Jan 29 19:44:23 +0000 2023"," @Chr1s5opherrr @SamMeliaPA @Yogablackbelt @PatAlternative Hahaha ooooh you’re hard 😂",https://twitter.com/thisislaurat/statuses/1619783536529088512,0,23,"Twitter for iPhone"
thisislaurat,"ID 1619775434157359104","Sun Jan 29 19:12:12 +0000 2023"," RT @patsypixie2: My neighbour is just short of a hundred yrs old. He's one of the last crew from the Lancaster bombers from WW2. He's now i…",https://twitter.com/thisislaurat/statuses/1619775434157359104,1489,0,"Twitter for iPhone"
thisislaurat,"ID 1619751181596729348","Sun Jan 29 17:35:49 +0000 2023"," @Stevo75186673 @chrysha22 @GodwinAdamsonJ1 @PatAlternative Gullible doesn’t even cover it",https://twitter.com/thisislaurat/statuses/1619751181596729348,0,9,"Twitter for iPhone"
thisislaurat,"ID 1619747701960151044","Sun Jan 29 17:22:00 +0000 2023"," @Rhubarb_Bacon @mazynanna @PatAlternative Lol, no he didn’t. There were more female candidates in the BUF than any other party at the time.",https://twitter.com/thisislaurat/statuses/1619747701960151044,0,5,"Twitter for iPhone"
thisislaurat,"ID 1619718041872506880","Sun Jan 29 15:24:08 +0000 2023"," @nastymutant @mattyyoz @mazynanna @PatAlternative I just can’t believe I’ve been schooled on Mosley 😂",https://twitter.com/thisislaurat/statuses/1619718041872506880,0,16,"Twitter for iPhone"
thisislaurat,"ID 1619711716811747328","Sun Jan 29 14:59:00 +0000 2023"," @PaulGrimshaw15 @GWoodyNarrative @Yogablackbelt @PatAlternative @SamMeliaPA It was a silly question because he’d already answered it above. Oops!",https://twitter.com/thisislaurat/statuses/1619711716811747328,0,7,"Twitter for iPhone"
thisislaurat,"ID 1619709601884311552","Sun Jan 29 14:50:36 +0000 2023"," @mattyyoz @mazynanna @PatAlternative Hahaha!",https://twitter.com/thisislaurat/statuses/1619709601884311552,0,17,"Twitter for iPhone"
thisislaurat,"ID 1619708318234316800","Sun Jan 29 14:45:30 +0000 2023"," @mythPloughman @MikeJPretzel He has already mentioned Cheddar Man lol",https://twitter.com/thisislaurat/statuses/1619708318234316800,0,2,"Twitter for iPhone"
thisislaurat,"ID 1619704962422034433","Sun Jan 29 14:32:10 +0000 2023"," @IndiaWilloughby @PatAlternative It’s cute that you think the Daily Mail and Farage are the conclusion of the right in the left-right paradigm.",https://twitter.com/thisislaurat/statuses/1619704962422034433,1,43,"Twitter for iPhone"
thisislaurat,"ID 1619702438101159937","Sun Jan 29 14:22:08 +0000 2023"," @RCGIndeed @MikeJPretzel I remember a girl getting in trouble at university because she’d cited Wikipedia throughout her entire essay haha.",https://twitter.com/thisislaurat/statuses/1619702438101159937,0,8,"Twitter for iPhone"
thisislaurat,"ID 1619702175550275585","Sun Jan 29 14:21:05 +0000 2023"," RT @PatAlternative: 1: Getting ready

Yesterday, Patriotic Alternative and other patriotic/nationalist organisations protested against the…",https://twitter.com/thisislaurat/statuses/1619702175550275585,42,0,"Twitter for iPhone"
thisislaurat,"ID 1619697319603212288","Sun Jan 29 14:01:48 +0000 2023"," @MikeJPretzel I don’t read Wikipedia because anybody can edit the page so there’s all sorts of nonsense on there. 

Here’s an actual study from the New Scientist proving me right though:

https://t.co/jxrSEiboIB",https://twitter.com/thisislaurat/statuses/1619697319603212288,0,12,"Twitter for iPhone"
thisislaurat,"ID 1619696740441141250","Sun Jan 29 13:59:30 +0000 2023"," @MikeJPretzel Yes and the results are already public. It said that I was 100% NW European (I.E., English).",https://twitter.com/thisislaurat/statuses/1619696740441141250,0,3,"Twitter for iPhone"
thisislaurat,"ID 1619695564387647488","Sun Jan 29 13:54:49 +0000 2023"," @MrBasedBloom @MacsgirlPam @FingeredFred @MarkACollett It was obvious that was going to be the reply after being proven wrong haha",https://twitter.com/thisislaurat/statuses/1619695564387647488,0,1,"Twitter for iPhone"
