"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
uxreturns,"ID 1621767529998712839","Sat Feb 04 07:08:04 +0000 2023"," @gayprezoh grOwOyper",https://twitter.com/uxreturns/statuses/1621767529998712839,0,8,"Twitter for iPhone"
uxreturns,"ID 1621569014265692162","Fri Feb 03 17:59:14 +0000 2023"," but actually it should only be shown on the tweet details screen… like when you click on the tweet…. not on the timeline",https://twitter.com/uxreturns/statuses/1621569014265692162,0,33,"Twitter for iPhone"
uxreturns,"ID 1621568826004447233","Fri Feb 03 17:58:30 +0000 2023"," view count needs to be on the LEFT",https://twitter.com/uxreturns/statuses/1621568826004447233,0,58,"Twitter for iPhone"
uxreturns,"ID 1621452014197538816","Fri Feb 03 10:14:19 +0000 2023"," @basedye24tictac i love toby he’s on his redpill journey",https://twitter.com/uxreturns/statuses/1621452014197538816,0,2,"Twitter for iPhone"
uxreturns,"ID 1621430009624727553","Fri Feb 03 08:46:53 +0000 2023"," @MillerStream lmao go off",https://twitter.com/uxreturns/statuses/1621430009624727553,0,4,"Twitter for iPhone"
uxreturns,"ID 1621394154449248257","Fri Feb 03 06:24:25 +0000 2023"," @mcyg323 @AysaJaysa @LuivonPfef @TobyTurner literally who cares",https://twitter.com/uxreturns/statuses/1621394154449248257,0,1,"Twitter for iPhone"
uxreturns,"ID 1621382249772978176","Fri Feb 03 05:37:06 +0000 2023"," @hodgetwins Wow haven’t heard this take yet",https://twitter.com/uxreturns/statuses/1621382249772978176,0,2,"Twitter for iPhone"
uxreturns,"ID 1621381345770438657","Fri Feb 03 05:33:31 +0000 2023"," @gayprezoh https://t.co/WA5WDSKa4d",https://twitter.com/uxreturns/statuses/1621381345770438657,0,4,"Twitter for iPhone"
uxreturns,"ID 1621381092358983681","Fri Feb 03 05:32:30 +0000 2023"," @mcyg323 @AysaJaysa @LuivonPfef @TobyTurner who effing cares you two look dumb arguing over meaningless technicalities… here’s the answer… Porn is Bad. Oh porn is free speech? Here’s what I think about that ➡️🖕",https://twitter.com/uxreturns/statuses/1621381092358983681,0,1,"Twitter for iPhone"
uxreturns,"ID 1621380132928643072","Fri Feb 03 05:28:42 +0000 2023"," @gayprezoh eepy",https://twitter.com/uxreturns/statuses/1621380132928643072,0,10,"Twitter for iPhone"
uxreturns,"ID 1621380080873230336","Fri Feb 03 05:28:29 +0000 2023"," @david_r_morgan Ya that’s Jesus tryna find you bro",https://twitter.com/uxreturns/statuses/1621380080873230336,0,1,"Twitter for iPhone"
uxreturns,"ID 1621206722709684224","Thu Feb 02 17:59:37 +0000 2023"," @AysaJaysa @mcyg323 @LuivonPfef @TobyTurner don’t engage in their flawed argument… we should ban porn because it’s poisoning our youth. who cares if it’s ‘speech’ or not…",https://twitter.com/uxreturns/statuses/1621206722709684224,0,2,"Twitter for iPhone"
uxreturns,"ID 1620979428036841478","Thu Feb 02 02:56:26 +0000 2023"," Welcome back, Ali! Now do @NickJFuentes 🔥 https://t.co/IN2CbzaTjy",https://twitter.com/uxreturns/statuses/1620979428036841478,4,115,"Twitter for iPhone"
