"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
wayotworld,"ID 1621656611541450753","Fri Feb 03 23:47:19 +0000 2023"," @Remtrailz @Sargon_of_Akkad @wokal_distance Imagine being that stupid.",https://twitter.com/wayotworld/statuses/1621656611541450753,0,26,"Twitter Web App"
wayotworld,"ID 1621655852359847936","Fri Feb 03 23:44:18 +0000 2023"," @Sargon_of_Akkad @wokal_distance White people are being attacked on the basis of their race, so they must also defend themselves on that basis.",https://twitter.com/wayotworld/statuses/1621655852359847936,7,108,"Twitter Web App"
wayotworld,"ID 1621655321859997697","Fri Feb 03 23:42:12 +0000 2023"," @AuronMacintyre We saw it recently with the Babylon Bee guy that anti-woke is just the latest cover for antiwhite. They are terrified of white identity - and they should be.",https://twitter.com/wayotworld/statuses/1621655321859997697,6,127,"Twitter Web App"
wayotworld,"ID 1621581105060012032","Fri Feb 03 18:47:17 +0000 2023"," RT @wayotworld: https://t.co/CgR3LYLqYR",https://twitter.com/wayotworld/statuses/1621581105060012032,967,0,"Twitter Web App"
wayotworld,"ID 1621579127181508610","Fri Feb 03 18:39:26 +0000 2023"," @demingja @limeaccel @ChonelolaCactus Not here to debate.",https://twitter.com/wayotworld/statuses/1621579127181508610,0,0,"Twitter Web App"
wayotworld,"ID 1621575546906836992","Fri Feb 03 18:25:12 +0000 2023"," @DimitieP @demingja @limeaccel @ChonelolaCactus 4",https://twitter.com/wayotworld/statuses/1621575546906836992,0,0,"Twitter Web App"
wayotworld,"ID 1621552495385346049","Fri Feb 03 16:53:36 +0000 2023"," @LaunchOoc @AstroEvada And there's this. Out of Africa is not the slam dunk we were told. https://t.co/P368tHsxbg",https://twitter.com/wayotworld/statuses/1621552495385346049,0,2,"Twitter Web App"
wayotworld,"ID 1621551523464454146","Fri Feb 03 16:49:44 +0000 2023"," @ToxicGlober @AstroEvada https://t.co/VmNSpagswZ",https://twitter.com/wayotworld/statuses/1621551523464454146,0,4,"Twitter Web App"
wayotworld,"ID 1621549317528981505","Fri Feb 03 16:40:58 +0000 2023"," @LaunchOoc @AstroEvada https://t.co/VmNSpagswZ",https://twitter.com/wayotworld/statuses/1621549317528981505,0,4,"Twitter Web App"
wayotworld,"ID 1621547362287030272","Fri Feb 03 16:33:12 +0000 2023"," @AstroEvada No. The oldest human remains were found outside Africa.",https://twitter.com/wayotworld/statuses/1621547362287030272,0,19,"Twitter Web App"
wayotworld,"ID 1621546259608748033","Fri Feb 03 16:28:49 +0000 2023"," @catgirleninism XD",https://twitter.com/wayotworld/statuses/1621546259608748033,0,0,"Twitter Web App"
