"Tweet author","Tweet ID","Date posted","Tweet text",URL,Retweets,Favorited,Source
wrathofgnon,"ID 1621840123687243777","Sat Feb 04 11:56:32 +0000 2023"," @glowehwurm What is the budget for all this? I have seen a bunch of wildly different figures.",https://twitter.com/wrathofgnon/statuses/1621840123687243777,0,0,"Twitter for iPhone"
wrathofgnon,"ID 1621825356180357120","Sat Feb 04 10:57:51 +0000 2023"," RT @natchjourneyman: I’ve got a couple of carving courses coming up @WiltshireMuseum - copying an Anglo-Saxon knotwork panel @AS_Corpus - g…",https://twitter.com/wrathofgnon/statuses/1621825356180357120,12,0,"Twitter for iPhone"
wrathofgnon,"ID 1621824542414086146","Sat Feb 04 10:54:37 +0000 2023"," @some_feminist Re: this. https://t.co/hCyt9EZnKq",https://twitter.com/wrathofgnon/statuses/1621824542414086146,0,1,"Twitter for iPhone"
wrathofgnon,"ID 1621824041505128453","Sat Feb 04 10:52:38 +0000 2023"," @Flibbittus These are all very good.",https://twitter.com/wrathofgnon/statuses/1621824041505128453,0,1,"Twitter for iPhone"
wrathofgnon,"ID 1621749732380114945","Sat Feb 04 05:57:21 +0000 2023"," This will be an instant favorite. #CharmingBusStops https://t.co/P8Iakbq9tw",https://twitter.com/wrathofgnon/statuses/1621749732380114945,1,21,"Twitter for iPhone"
wrathofgnon,"ID 1621749300555579392","Sat Feb 04 05:55:38 +0000 2023"," @TrametesV Death.",https://twitter.com/wrathofgnon/statuses/1621749300555579392,0,0,"Twitter for iPhone"
wrathofgnon,"ID 1621748865568485376","Sat Feb 04 05:53:54 +0000 2023"," @aldri_gustavo Maybe just built by hand and a bit of love for the imperfections?",https://twitter.com/wrathofgnon/statuses/1621748865568485376,0,0,"Twitter for iPhone"
wrathofgnon,"ID 1621748367603937281","Sat Feb 04 05:51:56 +0000 2023"," @mrvxjhn The name of the presentation is on the bottom of the graph. I haven't looked for the paper.",https://twitter.com/wrathofgnon/statuses/1621748367603937281,0,0,"Twitter for iPhone"
wrathofgnon,"ID 1621748033238237185","Sat Feb 04 05:50:36 +0000 2023"," @FermyFood Lime mortar is cheap and easy to restore. RC is often impossible to restore.",https://twitter.com/wrathofgnon/statuses/1621748033238237185,0,0,"Twitter for iPhone"
wrathofgnon,"ID 1621747628634681347","Sat Feb 04 05:48:59 +0000 2023"," @JugCerovic He looks like a professional bus stop model. I'd hire him!",https://twitter.com/wrathofgnon/statuses/1621747628634681347,0,2,"Twitter for iPhone"
wrathofgnon,"ID 1621747182276591618","Sat Feb 04 05:47:13 +0000 2023"," Ok this one gets my votes. https://t.co/ObRcubCAjx",https://twitter.com/wrathofgnon/statuses/1621747182276591618,6,120,"Twitter for iPhone"
