Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Mateo,oaxacangroyper,"ID 1591255448203628545","Northern California, USA"," America First Christian ✝️ 🇺🇲, Incel, Muay Thai/Boxing/Fitness 🥊🏋🏻‍♂️","Sat Nov 12 02:24:10 +0000 2022",469,284,968,17523,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1592318541423792129/xZc65ClL_normal.jpg
"computerspilleren YE24🧃",pudwn97,"ID 1448368776383275013",," I forgot what fear is. Juicer baby! #LoveSpeech","Wed Oct 13 19:23:54 +0000 2021",158,525,190,2947,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620411127636148226/6lK71j4w_normal.jpg
pnami,pnamiYG4L,"ID 1594519238244540416",," ","Mon Nov 21 02:33:16 +0000 2022",20,295,32,520,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1594522266326417410/1b8-pJeB_normal.jpg
yevisions,yevisions,"ID 1533500474510434304",," ","Sun Jun 05 17:26:38 +0000 2022",118,27,0,3,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607357917262479361/5wyYe6Z7_normal.jpg
"Doffy Chan❤️‍🔥",ChiefDoofster,"ID 1601409176923684864",," Based Schizophrenic 😵‍💫 | Lifter 💪 | Incel 🤓| Catholic ✝️ | Married 🤵‍♂️👰‍♀️ |Programmer 👨‍💻| Lawyer 📚| Knitter 🧵","Sat Dec 10 02:51:22 +0000 2022",566,836,1529,1417,https://youtube.com/@doffy-chan3941,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621683371318411264/mCOG8Xd7_normal.jpg
RabbiLampshade,Lampshade6Rabbi,"ID 1582127320655085593",," Catholic, American.","Mon Oct 17 21:52:12 +0000 2022",174,133,691,2310,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621399108756832256/giMwNi0w_normal.jpg
"High IQ Groyper",HighIQ_Groyper,"ID 1248418086312538120",," YE24","Fri Apr 10 01:10:48 +0000 2020",74,134,239,21092,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1430390899582767108/Tp7HLN3z_normal.jpg
"Isaac Riddle",Isaac_Riddly,"ID 2826677387",," ","Mon Oct 13 02:18:41 +0000 2014",321,956,490,38816,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586151529228156929/eFz7OivT_normal.jpg
"Guy Fox",FoxGuyfox1605,"ID 1612453982135357441",," (bro, brah, my dude’s)","Mon Jan 09 14:23:14 +0000 2023",9,422,16,38,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612536789268594688/ZP_qXZPD_normal.jpg
ThatShitHurted,ThatShitHurted0,"ID 1601401737197195265",," ","Sat Dec 10 02:21:53 +0000 2022",316,884,815,617,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601404357869608960/h8Gyv8cv_normal.jpg
"Neddy Bly",NeddyBly,"ID 1258056282650611715","New York, USA"," Flipped 0 to 1 on 4/23/22 @ MSG
Bit farmer. 

Awakening occurred 1/1/23 thank you Oprah + Eckhart + Kanye + Sam Harris

https://t.co/vEJpr7KwIT
https://t.co/qmyrY50syN","Wed May 06 15:29:32 +0000 2020",3057,4786,10720,2419,http://neddybly.medium.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1258134425155457024/Zxp1cDxt_normal.jpg
"Mack Justice",TheMickMedia1,"ID 1606332798100721665",," It’s easy to hate the rich, but do you have the courage to hate the poor?","Fri Dec 23 16:56:32 +0000 2022",17,226,97,91,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616129932891131904/x3K7KB1n_normal.jpg
"Name cannot be blank",SoCredulousFrFr,"ID 1529893467568189445",," Social engineering is real. Based and hornypilled, ebonypilled BWWM, masturbation advocate, some porn is ok so🔞. Christ is King. America First. ✝️🇺🇲","Thu May 26 18:33:42 +0000 2022",50,497,3274,7138,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611140178961203200/_6YlFyBi_normal.jpg
paisanobro,paisanobro,"ID 1596285822466244608",," Catholic Italian Zoomer Groyper","Fri Nov 25 23:33:08 +0000 2022",26,184,56,566,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612704743461117954/hIQAhLh9_normal.jpg
✝️fixourhearts✝️,fixourhearts7,"ID 1486268358656163843",大阪市内," Proverbs 22:11, Christ is King, PROT gang, real human being o7, 5th gen Texan, paleo-conservative, unvaxxed, 日本語能力試験一級合格、一応immersionで。よろしくお願いします！😇😎","Wed Jan 26 09:23:01 +0000 2022",40,152,464,2627,https://youtu.be/vzXz0ZKXEpg,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620903850042343431/Cl52JirJ_normal.jpg
"Camp Enjoyer",CampEnjoyer,"ID 1611850299614048256",," Head Counselor #FREENICKFUENTES","Sat Jan 07 22:20:41 +0000 2023",175,289,554,4351,http://t.me/kivsterscamp,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618333794418806784/rL_SnZ6l_normal.jpg
"🍇 Rooni 🍇",Grapybaby,"ID 1600315573199683586","United States"," 🍇 Zoomer (YE✝️24) JUGHEAD Artist Eboy/ I do art commissions 🍇","Wed Dec 07 02:25:54 +0000 2022",362,634,2122,6417,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607878796052467713/heHSLnMi_normal.jpg
"Slibbity Slapper",SlibbityS,"ID 1617891963780358145",," 🇻🇦 America First","Tue Jan 24 14:28:08 +0000 2023",7,107,3,81,http://cozy.tv,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617895890563354624/OG0I2p15_normal.jpg
"Harald Pungtveit",pungtveit,"ID 1390445689717600257",," He/Him - Pansexual - Alliansen PR Team (Filter) - Holohoax Denier - Pungrotte","Thu May 06 23:17:51 +0000 2021",34,140,143,1428,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1390548442431336450/B5LFbJ6N_normal.jpg
"Student of Ye",studentofye,"ID 1603957237205999618",," Ye’s Top Student #ye24","Sat Dec 17 03:36:35 +0000 2022",109,382,143,6917,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1603957896928145408/Gw-bzsiI_normal.jpg
Tvwlttrßüçkš,TvwlttrUcks,"ID 1617894330869612545",," Gloyper, NJFG4L, Ye 24","Tue Jan 24 14:37:34 +0000 2023",38,156,305,417,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1620464628777259008/0w_EP_AJ_normal.jpg
hardwood,hwgrouper,"ID 1600714467590946816",," humble wood merchant #Ye24","Thu Dec 08 04:50:50 +0000 2022",227,207,140,232,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617937332564365312/9fE8wrcG_normal.jpg
j.i.compton,ji_abotticus,"ID 1390415719670722566","Georgia, USA"," #YE24","Thu May 06 21:18:42 +0000 2021",55,510,141,12563,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618094683489435648/k9QYTBrG_normal.jpg
