Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Hail Odin ᚺᚨᛁᛚ ᛟᛞᛁᚾ",HailOdin72,"ID 1615764372512731137",Midgard," Germanic Pagan, discovering our ancient roots, 
Traditionalist","Wed Jan 18 17:34:27 +0000 2023",8,164,63,463,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1615969200241270784/qCESQlWK_normal.jpg
"James D le Scot",GamberryG,"ID 1505592157708734468",," 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧✝️ / Half English, Half Scottish, Full racist","Sun Mar 20 17:08:48 +0000 2022",54,838,24,524,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598296628720443398/WgdIbhyM_normal.jpg
"gene mize",gem_xyz,"ID 1519589792446570496",," Avid jogger, cyclist, and physics + mathematics lover......🏃🏻‍♂️🚵🏼‍♂️🚀🐊🏈🧗🏻🖥🔭🏄🏐🦖⛵️🎸🚣","Thu Apr 28 08:10:34 +0000 2022",1336,3795,6702,7981,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1519632395162591233/jKjgmMXZ_normal.jpg
"Weiß kerl",JeffersonNephew,"ID 1618483727683682306",," Gæd Blanca","Thu Jan 26 05:40:04 +0000 2023",9,90,189,253,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620786458805129217/X8r5i9Qq_normal.jpg
"B Y",bgTexas1234,"ID 1589370455235993600",," ","Sun Nov 06 21:34:06 +0000 2022",0,94,0,11,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"↭ Atlantean Overman ↭",Ubermenschean,"ID 1594397287593410561",," ","Sun Nov 20 18:29:29 +0000 2022",0,244,0,0,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1607477859232227329/bHMyC-3K_normal.jpg
Nobody,Parker65710790,"ID 1372068357831278593",Nowhere," “No te acerques a mi, hijo de puta de la tele”","Wed Mar 17 06:12:59 +0000 2021",229,1629,4618,8348,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1417636241378582531/2OHBl-ZA_normal.jpg
Anna,prussianblue_2,"ID 1582685395485163520",Europe," My alternative account for @prussianblue111 while serving time as political detainee in Twitter's gulag :)","Wed Oct 19 10:50:01 +0000 2022",72,240,52,148,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621556664766709760/funT_Sco_normal.jpg
"Choking Machine Victim",sickofwhites,"ID 1620578608166084614",Israel," I Have a Gun and I’m Blatantly Racist    “”Parody Account””","Wed Feb 01 00:23:59 +0000 2023",3,60,149,15,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621670533262721028/S11burCE_normal.jpg
k💜,kjosmitty,"ID 1384573738264383491",Acadiana," tweeting at you from the belly of a bear","Tue Apr 20 18:25:23 +0000 2021",388,672,15781,52152,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1610084177570938883/muAt_e7e_normal.jpg
