Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Partisan 🧃",InternetRadical,"ID 1619353638773686272",," Fear not the great nor the mighty, but be wise and ever serene.
#LoveSpeech","Sat Jan 28 15:16:21 +0000 2023",712,205,145,401,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619354534542712839/QqLHdZxI_normal.jpg
"Rawdog Rapist (backup)",Minamar54452314,"ID 2983296962",," ","Wed Jan 14 22:37:02 +0000 2015",5,33,6,28,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621724774224257024/ALy_Ty8e_normal.jpg
Guy❄️,Guntineer,"ID 1621478522240860160",," ","Fri Feb 03 11:59:55 +0000 2023",31,107,14,97,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621478677341945857/Vz2RjMGG_normal.jpg
"Battle Rifle Ready",Joe62494235,"ID 1603788659165171715","Rhode Island "," Libertarian Extremist, Proud Trailer Trash, & Disruptive Asshole","Fri Dec 16 16:26:40 +0000 2022",152,763,1533,7295,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618562606364516353/w7GVcaTx_normal.jpg
🚬zg,zgpilled,"ID 1600703165975777280",☦️🇦🇲," ","Thu Dec 08 04:06:51 +0000 2022",208,122,342,1364,http://zoomerguy.github.io,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619801856129269761/ILEliXe2_normal.jpg
"Pol Brah",polbrahh,"ID 1619814237819355137",," hi","Sun Jan 29 21:46:31 +0000 2023",1,51,11,186,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620109631623204866/VKfBhuzm_normal.jpg
Noidontthinkso,N0ID0NTTHNIKS0,"ID 1543053222360875010",," Online trust and safety expert.","Sat Jul 02 02:05:49 +0000 2022",142,390,1346,1140,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1543276274759749636/1VAUL2Lm_normal.jpg
"Nervous 😵‍💫 Autist",NervousAutist,"ID 1299280837293142017",N/A," ♰","Fri Aug 28 09:41:13 +0000 2020",315,228,762,54567,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1584033687850606592/ANPFYQQ8_normal.jpg
BallFaceMan69,BallFaceMan69,"ID 1594787384838725635",," 💤","Mon Nov 21 20:18:55 +0000 2022",9,343,105,473,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1595274618260131841/YLgd60Ul_normal.jpg
"Jesus Loves Hitler",groyper300,"ID 2540743192","Clown World"," We need our own Christian American version of the 300 or whatever #YE24 I am not a troll.","Sun May 11 10:11:15 +0000 2014",166,529,2808,1287,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607153811243532289/Ihele2yS_normal.jpg
