Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
Anna,prussianblue_2,"ID 1582685395485163520",Europe," My alternative account for @prussianblue111 while serving time as political detainee in Twitter's gulag :)","Wed Oct 19 10:50:01 +0000 2022",72,240,52,148,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621556664766709760/funT_Sco_normal.jpg
Nat-C,NatCI4Words,"ID 1613891345952956416",," ","Fri Jan 13 13:31:04 +0000 2023",124,207,758,824,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1613898647284088833/UmGwyPlx_normal.jpg
Andrea,andrea86william,"ID 1579049795515285507",Berkeley," ","Sun Oct 09 10:03:10 +0000 2022",76,2456,0,0,http://sexy-cams-usa.xyz/females/andrea86william,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1581034048486612999/qD3jYZfH_normal.jpg
"Dixie Jeff 🇸🇴",dixie_jeff,"ID 1495199208953061377",," Unreconstructed. Occupied CSA.","Sun Feb 20 00:51:51 +0000 2022",2216,3082,4510,13300,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601858071764115456/wOW9f8DM_normal.jpg
Heathentrading,heathentrading,"ID 1621153713091117060",," Paganism, nature, hunting,stock options","Thu Feb 02 14:29:09 +0000 2023",7,36,72,64,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621159435744968704/vREB_4NI_normal.jpg
"Brute 🇷🇸🇷🇺",slavgirlbiter,"ID 1590572909810032640",," My muzzle removed, I drool in anticipation","Thu Nov 10 05:11:58 +0000 2022",49,312,2980,22962,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601610959042351108/Jlwj4SuN_normal.jpg
"Aryan Tribalism",grandfa84721567,"ID 1619762442820517888",Florida," Fighting for my people my entire adult adult life. Been an uphill battle. Til now.","Sun Jan 29 18:22:37 +0000 2023",65,583,108,112,https://t.me/+Jx2h1a9DTOExZTBh,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620149065873760286/HzkIW6fz_normal.jpg
"TeX Southron X",Southron_X,"ID 852287221281550336",Weimerica," White/Southern Nationalist; Proud descendant of Aryan peoples
#WhiteLivesMatter #LeagueOfTheSouth #WhitExit #DixiExit","Wed Apr 12 22:28:03 +0000 2017",245,1179,205,452,https://gab.com/nativetexian,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617248207142100993/w5j6-diO_normal.jpg
Everlove,Everlove_01,"ID 1499475201691693060",," Please follow my pages
INSTAGRAM÷https://t.co/OqmCMqzeMz
TIKTOK÷https://t.co/NEDWyDf3VM","Thu Mar 03 20:02:13 +0000 2022",997,2315,260,492,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1499475648561262595/IWcAscK6_normal.jpg
Izuna,Izuna99,"ID 434649234","Austin, TX"," I like video games and play the guitar. 😜","Mon Dec 12 04:11:55 +0000 2011",308,245,631,827,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1475684408778756099/YMyyduQ0_normal.jpg
ᵘˡʳⁱᶜʰ,uulrichhh,"ID 1598128678134685696","Cheyenne, WY"," 🕴🏻","Thu Dec 01 01:35:54 +0000 2022",171,163,57,2007,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616212375916662788/S1TGZNG1_normal.jpg
"Bob Sesch",BobSesch,"ID 1589617253485404160",," ","Mon Nov 07 13:54:32 +0000 2022",36,511,658,2404,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1589617638279258112/dacrpxZU_normal.jpg
"SS KHimmler",SS_Kimmler,"ID 1597915219317198849","Buffalo, NY"," According to my ERPO or Extreme Risk Protection Order- court order, I am a Proud member of the Neo-Nazi, White Supremist, Aryan Nation.","Wed Nov 30 11:28:05 +0000 2022",14,32,20,131,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599636230366531584/ODToR9ym_normal.jpg
"Patrick Healy",PHealy1967,"ID 1591614549609787392","Santiago, Chile"," About a Deuce.  Deuce and a half.                                         
   https://t.co/Ks16wxiYtV","Sun Nov 13 02:11:32 +0000 2022",50,88,178,230,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611458311538479104/yYh3Niy6_normal.jpg
"Giner SniPer",VaGinerRekr,"ID 1605003381931753474","InnYa Corn Hole"," I Am Just Patiently Waiting ....

Call me PreparationH Cuz My Ass iS  PrePared4 WhatEver
BREAST MILK ENJOYER #MassaCock","Tue Dec 20 00:53:38 +0000 2022",103,150,1013,0,http://TipsFbi.gov,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616674643783335936/Lo7zTekS_normal.jpg
Fatima,Fatimay5r,"ID 1555810962338451456",," Hand in hand, let's create a bright future✊
Show your sympathy and solidarity with Palestine🇵🇸✌ 
Give others hope in life🌻
Support the children of Palestine⁦","Sat Aug 06 07:00:34 +0000 2022",1581,2368,416,23,https://linktr.ee/SCharity.Mos,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1555811251044876288/5Awi4R2R_normal.jpg
"S ❤️⚡🌲",JosieJosie884,"ID 1606369145850822703",," Tired","Fri Dec 23 19:20:32 +0000 2022",110,155,456,425,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606369547417681943/kTkj0Oxz_normal.jpg
"Hans Gruber",HansGru61806715,"ID 1598477771889598467",," ","Fri Dec 02 00:43:08 +0000 2022",44,511,0,5,,,Disabled,"Not verified",,"Not protected",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
"Joshua Seavello (No DM’s)",SeavelloJoshua,"ID 1520154126058893313","San Diego, California, USA"," High School: El Cajon, Santana, West Hills, Chaparral, Charter (in that order). College: Cuyamaca/Grossmont College (1994-Present). Occupation: Contractor.","Fri Apr 29 21:32:54 +0000 2022",3789,4976,6800,4795,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1520154792651202561/aOYQEXB5_normal.jpg
"⚡️t. Whiskey🥃",CookGriller,"ID 1590892326938886146","❤️ of Dixie"," Just a good ol boy, Never meaning no harm...

Hobbies include ,but not limited to, guitar, whisky, beer, & cooking over hot coals♨️  
Southern Man 🍻 Pureblood","Fri Nov 11 02:21:47 +0000 2022",187,406,3180,5760,https://help.twitter.com/en/managing-your-account/how-to-deactivate-twitter-account,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607668477501882369/69V0rP-a_normal.jpg
"PURE BLOOD HEATHEN",HeathenPure,"ID 1519662443739459584","EUROPA VLAANDEREN"," 💀⚔️MIJN EER HEET TROUW⚔️💀VLAAMS/ᛉ1971/BLUE EYED/FOLKISH HEATHEN/MALE/FOLKISM/NON-ABRAHAMIC/NO UNIVERSALIST HEATHENS/NO MARX/NO CHRIST/NO DEGENERATES/WP/NS/⚡19","Thu Apr 28 12:59:55 +0000 2022",1535,266,2195,10353,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1519663442277318659/KZSPE8fs_normal.jpg
Aphelion,CaerAphelion,"ID 1618031618131726337","Caer Vandwy"," White Revanchist","Tue Jan 24 23:43:23 +0000 2023",69,155,0,3,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618033517165690880/R-o0wrLk_normal.jpg
🗝️Danielcmjdo🗝️🇵🇹🇩🇪🇮🇹🇧🇪🇫🇷🇳🇱,DaniCarlottMR93,"ID 1570898837442527233","🇦🇹 Santa Catarina 🇦🇹"," ¥ Be bold and speak the truth ¥
¥ Even if the truth may cause your downfall or death ¥
 - George Lincoln Rockwell -
#whiteboys","Fri Sep 16 22:14:31 +0000 2022",193,385,772,1810,https://youtu.be/_y1EOWBr78E,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595837062204346368/6e7iG60L_normal.jpg
"REBKage 🏴‍☠️",REBKage,"ID 929065103449784320","Korova Milkbar"," you can run but you cannot hide 🌞","Fri Nov 10 19:15:56 +0000 2017",1172,99,1352,14313,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610784230690127877/FwqoriYu_normal.jpg
"Woodland Crisfield",wwcrisfield,"ID 1565863412550320130",," ","Sat Sep 03 00:45:27 +0000 2022",2,210,3,495,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1565867520317440001/YXZjai9u_normal.jpg
"Garys Key",GarysKeys,"ID 1587077142759759872",," The Dog Prophet is coming to fulfil the prophecy.","Mon Oct 31 13:41:05 +0000 2022",35,99,141,297,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614715318303162368/F4CJxiVQ_normal.jpg
Scarlett,Enheduanna22,"ID 1591314108778848258","Planet Earth"," Wife, mother, MAGA. Deep red living in blue hell. Nationalist and rabid anti-Communist. Step on the pedal harder, so that we might get there faster.","Sat Nov 12 06:17:53 +0000 2022",424,1368,1158,1312,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1591927918887698432/DjjAOCXX_normal.jpg
"Lawrence Dennis Quotes",DennisDirigisme,"ID 1617534361846403077",," Lawrence Dennis(b. December 25, 1893 – d. August 20, 1977) American Fascist/Third Position Philosopher.","Mon Jan 23 14:47:22 +0000 2023",18,230,13,3,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617535249470078976/6yLVcmw6_normal.jpg
"Cozy Aryan",aryan_cozy1,"ID 1610042115337375745",," ","Mon Jan 02 22:35:36 +0000 2023",301,461,90,583,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612764123217154048/VikfBRbC_normal.jpg
"The Duke👑",TareekWife,"ID 1490704944827039746",," I am the duke of New York, thats A, number 1! I've noticed too much.","Mon Feb 07 15:12:20 +0000 2022",261,393,3962,6750,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595731660045099008/gEjWApD-_normal.jpg
Keydet1839,Callahan18391,"ID 1439221439090003970","Dystopia, South of Heaven"," Pronouns: Shall, Not, Be, Infringed. •Cyanide-pilled•Jury nullification•Exit and Build","Sat Sep 18 13:35:22 +0000 2021",231,981,694,361,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1464645003339251714/oDEuLt9T_normal.jpg
"Tweeting Gentleman",tweetnGentleman,"ID 1519170524554928129","Chicago, IL"," World Famous Criminologists.  American veteran🇺🇸","Wed Apr 27 04:25:28 +0000 2022",771,793,5706,14624,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1596554508074622983/s5jOMpgp_normal.jpg
"⨁ Nordic Gold ⨁",NordicGold88,"ID 1611897110244253696","The West"," Heathen that’s been known to borrow a longship or two after a few horns of mead. May the Gods bless you in reaching the 🏔 tops before you.","Sun Jan 08 01:26:44 +0000 2023",99,448,163,131,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611897800752611329/S-cFhElQ_normal.jpg
"🔥 Lit 🔥",DarkKnightsSky,"ID 1586249362396553216","Purgatory 🔥 "," Nunya Biznazz","Sat Oct 29 06:52:02 +0000 2022",98,156,1330,2741,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614850949503148032/1V70CfMX_normal.jpg
amdou,amdou62177322,"ID 1598670892984328195",," Son of Christ","Fri Dec 02 13:30:29 +0000 2022",1087,4669,13,9174,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598675636549259266/9CPqRd5H_normal.jpg
Marcia,LicenseToCat,"ID 1031726898",," patrician villainess.

noble woman in a past life. 

Some would say 'delightfully blood thirsty' 🗡️

Venus Genetrix
Onça

⚡🏹 🏺

------","Mon Dec 24 02:07:12 +0000 2012",3340,3463,176285,382020,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597761891882991618/3zxbmPWk_normal.jpg
john,l_hopshire,"ID 1518716752594677765",," ","Mon Apr 25 22:21:47 +0000 2022",3,112,116,372,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1521448146777296896/a2RUdMJk_normal.jpg
"Above Time Coffee Roasters LLC",AboveTimeCoffee,"ID 1523658772287262727","Indiana, USA"," Wake Up With Above Time Coffee 
Indiana, USA
https://t.co/Rrb82Dogpz
Abovetimecoffeeroasters@protonmail.com","Mon May 09 13:40:52 +0000 2022",1141,297,246,516,http://www.abovetimecoffee.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1523659454318850049/D1JNRi99_normal.jpg
"Huey P. Long",Bayou_Kingfish,"ID 1613902998228312065","Baton Rouge"," Governor of Louisiana. United States Senator.","Fri Jan 13 14:17:22 +0000 2023",19,90,1,8,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616240866649063425/fl6cOAgy_normal.jpg
"Surfer Brah",brah_surfer,"ID 1608772486828789760","Kailua, HI"," Surfing the Kali Yuga 🌊 🏄‍♂️💀⚡️","Fri Dec 30 10:30:52 +0000 2022",285,737,543,4536,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616798345053483010/KxUJBMGy_normal.jpg
"Kiwi Bear",WojteksGrandson,"ID 924478805015531520","United States"," ","Sun Oct 29 03:31:37 +0000 2017",10177,6572,14948,53741,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1608941889796857861/X5ZmDm6H_normal.jpg
"birdman 🦜🌺🧃",urbancraftshop,"ID 1568938182749593600","Paoli, IN"," Faith, Family, Folk","Sun Sep 11 12:23:37 +0000 2022",344,224,3251,4101,https://t.me/birdmanchan,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621764396870402050/aWDzUjYn_normal.jpg
"🌙 druí 🕯️",witchural,"ID 3307282308","the lonesome crowded west. "," 🇸🇴 swamp witchcraft enthusiast 🌲","Thu Aug 06 00:51:49 +0000 2015",712,717,4617,24945,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615279471908503553/9587YAKW_normal.jpg
"Louie De Palma",MistahDePalma,"ID 2586089180","FUGGIN NEW YAWK"," Aye Tone, why they have birthing wards and orchestras if they was just gonna whack ‘em? Don’t make no sense Tone.","Tue Jun 24 17:29:05 +0000 2014",13,294,175,1007,http://www.nationaljusticeparty.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1501721031098175489/-TInogsc_normal.jpg
skeef,skeef_25,"ID 1438639223867953152",," Amateur NPC anthropologist. 
The Matrix was a documentary. 
Technology is the only guarantee of rights.","Fri Sep 17 02:06:45 +0000 2021",2374,833,14853,17759,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1599905083939905536/1AhCbG0v_normal.jpg
Netsirt,iAmNets1rt,"ID 1522629366718492672",," ","Fri May 06 17:28:37 +0000 2022",21,78,874,5969,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1560024061257756672/pltwgCbH_normal.jpg
BookRespecter,Book_Respecter,"ID 1589375522496253953",," Book lover","Sun Nov 06 21:53:58 +0000 2022",13,116,20,536,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1589376269749288961/PdGsQVly_normal.jpg
"Zaylan Griffin",ZaylanGriffinSC,"ID 1591054313161383941","Ninety Six, SC"," Black Gen-Z Conservative👨🏿‍💼 Right-Wing Populist🦅 Nationalist🇺🇸 New Right Republican🐘 Gamer🎮 Navy DEPer⚓️ 18🎂 #SYSBM #MAGA #AmericaFirst #BullMoose","Fri Nov 11 13:04:54 +0000 2022",2088,4978,3015,3621,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609088054668443648/KjxDw4Kh_normal.jpg
"John Grandinetti",JohnGrandinett4,"ID 1602273671812374532",," ","Mon Dec 12 12:07:00 +0000 2022",1775,4678,537,658,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620839599055437833/11c3u4Va_normal.jpg
Kryptiq333,kryptiq33,"ID 1505951364958101507",," Here to find and share Kryptiq Truths
#Ye24","Mon Mar 21 16:56:11 +0000 2022",3,45,184,369,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1505952009454821381/oVfgcieQ_normal.jpg
SweetKelly__,SweetKelly__,"ID 1412724952671739908","Angeltown  ⚡️ Mfers "," So much goodness ✨✨✨","Wed Jul 07 10:48:07 +0000 2021",720,781,5692,18677,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621674869883805697/Txkx8eoy_normal.jpg
HauteMILF,HMilf77,"ID 1233637371830079490",," ","Sat Feb 29 06:17:37 +0000 2020",2507,387,12406,19316,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1344967864164335616/MvQ9E-vS_normal.jpg
"✨🐝Babee💫Firefly🪲 ✨",FireflyLight___,"ID 1561134599559864321",," Listed as a person with great hair 🤩","Sat Aug 20 23:34:41 +0000 2022",704,849,6007,18344,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614078127830978560/zsMAeGmO_normal.jpg
Chrissy,doublebubblecee,"ID 1415399109524168712","The Gulf Coast"," ","Wed Jul 14 19:53:48 +0000 2021",124,120,332,7934,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1566586420868833283/K62tMOvF_normal.jpg
