Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
ᛋ⚔️ᛋ☠️𓆏,sceneternal,"ID 1415423369349054464",," Amor Fati","Wed Jul 14 21:30:21 +0000 2021",532,301,7380,32061,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621047864012013568/6pynjR1M_normal.jpg
"Patrick Casey",restoreorderusa,"ID 1521870690630221824","Washington, D.C. "," ""Living? Our servants will do that for us."" Paleocon, writer, and host of Restoring Order. Words in @ChroniclesMag @theamgreatness @NewAtlantisSun.","Wed May 04 15:13:58 +0000 2022",24937,809,1317,3233,https://linktr.ee/patrickmcasey,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597399542294609921/pgLRMxfI_normal.jpg
"Hitachi U.S.A.",Hitachi_US,"ID 382680504",Americas," The Innovation Partner of the #Digital Era: https://t.co/NPHUaKzlE2","Fri Sep 30 14:10:14 +0000 2011",102187,1133,9902,12504,http://hitachi.us,,Enabled,Verified,,"Not protected",https://pbs.twimg.com/profile_images/1143500775227707393/2H41GgnD_normal.png
Jesh,JeshRedux,"ID 1559757875559514113",," steel reservist, reaping the whirlwind","Wed Aug 17 04:23:59 +0000 2022",228,643,642,17631,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1593828167982120960/RUNg6LpF_normal.jpg
GiveSendGo,GiveSendGo,"ID 336464442","Boston, MA"," The leader in Freedom Fundraising. Raise money for anything that shares Hope in the world. https://t.co/GEPPrA8hKm","Sat Jul 16 10:14:18 +0000 2011",72345,4023,11141,1188,http://www.GiveSendGo.com,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1516520191823433737/7aRSWeQJ_normal.jpg
"🌞 XIV Synth",Synth_XIV,"ID 1606381810144972812",," SIM Card Connoisseur","Fri Dec 23 20:10:52 +0000 2022",390,126,252,611,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606411135326068736/oEFPh6Lt_normal.jpg
Haute_MILF,Haute_MILF,"ID 601572553",," ","Thu Jun 07 05:02:35 +0000 2012",11091,219,61523,61591,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606425604240179201/qUkhMc_d_normal.jpg
Wæs,watchingspirals,"ID 1261209916624318464","the twilight wood"," ","Fri May 15 08:20:57 +0000 2020",3796,152,3699,17778,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617252945120137218/wEHB_y-6_normal.jpg
ُ,BBWrespecter,"ID 1364310649107599360",," ","Tue Feb 23 20:26:27 +0000 2021",298,15,6,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1365688056368390150/k4eI4mn2_normal.jpg
"Steve Sailer",Steve_Sailer,"ID 209693451",America," My pronouns, like Stalin's, are Who and Whom; also, Hey, You! and Whatever...

My prepositions are Notwithstanding and À La.

My interjection is Uh-Oh.","Fri Oct 29 18:22:50 +0000 2010",69319,1343,78189,283060,http://www.unz.com/isteve,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/2710819381/2cbdcadf6ba491ec788cb7a9cf02aa95_normal.jpeg
Serf,4th_System,"ID 1509913938296639491","The Random Files"," Say what's in your head before you’re dead","Fri Apr 01 15:23:08 +0000 2022",9741,602,1969,8086,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612336096251359232/cBwuXGye_normal.jpg
Redux,DSAchaw,"ID 1593409539952373761","SoCal "," get outside. aviator, outdoorsman.","Fri Nov 18 01:03:41 +0000 2022",671,165,625,2198,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617260665663795200/I6BxwtAf_normal.jpg
𓆏,swagbabyhitIer,"ID 1587102104363188227",USA," kekcore","Mon Oct 31 15:20:36 +0000 2022",1013,293,3494,11849,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612585865540435968/SsUoMIFn_normal.jpg
"Adam James Pollock 🕊",aIIegoricaI,"ID 1347431595997863937","Belfast, Ireland & UK"," Spreading beauty and good words | Learn to cook: https://t.co/MktEnc3xdq | Instagram: ajp.i","Fri Jan 08 06:35:10 +0000 2021",25180,880,16102,31521,http://adamjp.net,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1609709420388253697/vZ-PnsnS_normal.jpg
"I SMOKE DELTA 8",t00muchsmok3,"ID 1588954204441296897",," ","Sat Nov 05 17:59:53 +0000 2022",33,119,103,656,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1611244553415131136/q1SCm5J7_normal.jpg
☯︎,TaoistShelby,"ID 1546574879302062080",Saṃsāra," ","Mon Jul 11 19:19:31 +0000 2022",2903,542,774,4842,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1616652599943380993/k3JvugFw_normal.jpg
SalubriousCandor,Kingdom_Drowned,"ID 1582457914161303567",," Energy is eternal delight 

""For all that lives is holy.  Life delights in life.""","Tue Oct 18 19:46:24 +0000 2022",146,269,301,2075,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1583538543254798357/J8dktwFI_normal.jpg
WUŁF,Footjob1488,"ID 1574904821378781185",Mongolia," battlemage","Tue Sep 27 23:32:33 +0000 2022",797,141,1783,18915,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597388241010769920/nFVztjVP_normal.jpg
paleovision,paleovision,"ID 1366148208334938120",," ","Sun Feb 28 22:08:22 +0000 2021",273,712,3615,13596,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1509622709017264129/b040yB-x_normal.jpg
"Wolf 7",wolf_shawty,"ID 1380148653847937024","Add your location"," ","Thu Apr 08 13:21:12 +0000 2021",80,92,1,1826,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1578369795019493378/GxnB9xAc_normal.jpg
|,solaryansociety,"ID 1569390544148897792",," ","Mon Sep 12 18:20:50 +0000 2022",1,5,1,0,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1569391173810388992/6dS_xAwX_normal.jpg
JPRêvïvål,KeltischGott,"ID 4487256253",Atlantis," ","Mon Dec 07 15:20:51 +0000 2015",395,159,1208,28666,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1458470491107254281/462fUTak_normal.jpg
"Dr. Anthony ☧",Anthony47608487,"ID 1562564466566643712",," Certified old head pt.2
In hoc signo vinces ☧","Wed Aug 24 22:16:21 +0000 2022",76,141,163,4083,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1562566681578405888/VcHa9m52_normal.jpg
𓃒,whitebrahmin,"ID 1367128446426619906",," ♱","Wed Mar 03 15:03:28 +0000 2021",1718,310,6152,22925,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611595980247293953/09EaSKlS_normal.jpg
𝐏𝐡𝐚𝐧𝐭𝐚𝐬𝐲*,SACREDGRAVES,"ID 1395563728624660481",," 2*","Fri May 21 02:15:05 +0000 2021",2054,133,29,2816,http://t.me/joinchat/UIqbW5aMM_25I0IH,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1595297495818682369/5mPjaIJ__normal.jpg
"J 🏝☀️",ThaGr33kBrah,"ID 1559883528409595909","South Florida"," | Handsome Nationalism | Multiple Grad Degrees | 808 - 239 | Former NYC Model |","Wed Aug 17 12:43:20 +0000 2022",108,149,666,202,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1600218298993545222/cyQvnMnW_normal.jpg
"Bill Riggins",BigBillRiggins,"ID 1498784650436751360",," professional gambler and patriot 🎰💰🎩 ✊🏻🇺🇸","Tue Mar 01 22:18:15 +0000 2022",85,387,2161,10393,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1534248129100402688/XB3oStWV_normal.jpg
Bakenlite,bakelighter,"ID 1520993621113118720",," Absolutely cursed, fallen, out of control and (somewhat) content with that fact","Mon May 02 05:08:41 +0000 2022",212,178,679,1623,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1555100793983815681/jxeZI4pK_normal.jpg
"Julius Evola",Daily_Evola,"ID 1358123773363445762",," Baron Giulio Cesare Andrea Evola. Italian Philosopher. Artillery Officer. Author. Pagan. Painter. Poet. Esotericist. Radical Traditionalist. 1898–1974.","Sat Feb 06 18:42:18 +0000 2021",7753,9,900,166,http://www.juliusevola.net/,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1358126245477834752/Y_Slzlvg_normal.jpg
Vagrant,CreatineVagrant,"ID 1518543826398318598",Patagonia," 𓃠","Mon Apr 25 10:54:18 +0000 2022",760,272,1665,37650,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615917754221211648/JbgMc47s_normal.jpg
"American Lad",Americazlad,"ID 1490594898424311812",," Comedian.","Mon Feb 07 07:55:05 +0000 2022",6009,879,2636,26160,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1609608652154880002/dD4p-5Tg_normal.jpg
OLOF_HANVARK,olofhanvark,"ID 775343566843502592",," instagram: @olofhanvark","Mon Sep 12 14:41:26 +0000 2016",2424,709,420,8006,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1431351452388188168/lMngb4LH_normal.jpg
"Raw Unseasoned Milk",PrivatMilk,"ID 1489371295921934339",," real niggas only","Thu Feb 03 22:53:05 +0000 2022",17,20,355,314,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1523489634692608000/ox2qaJcH_normal.jpg
"Jonathan Bowden Quotes",BowdenBot,"ID 1481349484915404803",," Partly a theatrical performance as well as an ideological and semi-intellectual one.","Wed Jan 12 19:37:04 +0000 2022",3931,198,3493,5114,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1620231366074925057/Sh--G1FV_normal.jpg
