Name,"Screen name","Twitter ID",Location,Biography,"Created date",Followers,Following,Tweets,Favorites,Website,"Time zone",Geo-enabled,Verified,Language,Protected,"Profile image URL"
"Hakurei und die Cunnyfrage",childrapetwt,"ID 1621326920125128704",," ","Fri Feb 03 01:57:19 +0000 2023",74,272,79,266,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621328549108916232/IJaWtJy7_normal.jpg
"Ⓜ️ichigga MD",JohnnyBravoMD,"ID 1586814048557047808","Norwood, IL"," Death to the World, Hellenic highlander, Twitter Gnome, Swag Loading… █▒▒▒▒▒▒▒▒▒","Sun Oct 30 20:15:46 +0000 2022",397,981,2126,9890,http://wiki.chadnet.org/ray-peat,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597748307056623616/i1Lu4pf0_normal.jpg
"alob 🥀ᘛ⁐̤ᕐᐷ",alob_e,"ID 1831397149",," told the wife I went to the bank, didn't tell her which one LOL 🎣","Sun Sep 08 16:26:38 +0000 2013",3845,838,55531,216231,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1621194319754321933/JlwK3PDM_normal.jpg
Arc,TheNecoLover,"ID 1567998422061555713",," ","Thu Sep 08 22:09:13 +0000 2022",46,129,263,287,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1586814903611846656/HUZEbTjB_normal.jpg
Toyper,PetRockGroyper,"ID 1610849409759350785",," Dark Hamiltonian / Black Snow","Thu Jan 05 04:03:34 +0000 2023",55,147,199,3176,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1611989210936012802/cd3Dt5KI_normal.jpg
"Darn Shore ❄️",TheYuiSaga,"ID 250542674",," hiii

https://t.co/NAb6tvXwW4

https://t.co/mv3xHMHGKs","Fri Feb 11 09:07:14 +0000 2011",112,71,2997,4337,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615974664852963333/NbtvX4pX_normal.jpg
"ivermectin soldier ❄",GuntObserver,"ID 1614341523008528385",," #YE24 #YE24 #YE24","Sat Jan 14 19:21:11 +0000 2023",110,142,391,1969,http://cozy.tv/nick,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614348431367065600/zGFQV6FS_normal.jpg
"endless the wise",endlessthewise,"ID 1592262243755900929",Thulê," ghedhhdhd","Mon Nov 14 21:04:46 +0000 2022",46,94,66,113,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612376747768430596/gEZLuhpF_normal.jpg
"Cream ☠️",CreamOfTheBongo,"ID 3079976824",," Cacogens are real and they tried to suck my dick","Sun Mar 08 18:26:50 +0000 2015",571,1086,3594,99514,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1209074888855699460/LOz6wwds_normal.jpg
"Hitlerian Liberal",HitlerianLib,"ID 1610002587276935168",Indonesia," Liberalist with Hitler characteristics (not Muslim btw) #ForgiveHitler #StopAsianHate","Mon Jan 02 19:58:34 +0000 2023",47,48,319,934,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610003106666000386/gvWf06yD_normal.jpg
"Goofball ❄️",rapeman9000,"ID 1606360263493566464",," try love","Fri Dec 23 18:45:15 +0000 2022",117,124,452,1334,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619480364959031297/52iqHyrr_normal.jpg
𝐿𝓋𝑒𝐸𝓋𝓇𝓎𝓃𝑒♰𝖄𝖊²⁴,W30n_X_C0d31n3,"ID 1474084952497033218","for more info: Visit Bible"," #𝒴𝑒²⁴

𝔏𝔬𝔳𝔢 𝔈𝔳𝔢𝔯𝔶𝔬𝔫𝔢 ....","Thu Dec 23 18:30:31 +0000 2021",497,1051,15304,82434,https://site.yetracker.workers.dev/recent,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1598757957168136214/mgggF_E4_normal.jpg
"Marcene Senderling",MarceneSenderl1,"ID 1597214032020242432",," 🍆Marcene🌽21😏Kayaking","Mon Nov 28 13:01:37 +0000 2022",9,414,4,0,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1597214391509868544/52Km6XXo_normal.jpg
"Dreamer Deciever Disco",DeepDownDisco,"ID 1611939436186697728",," ","Sun Jan 08 04:14:56 +0000 2023",89,858,1,143,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1618917851745894400/UEYdDEn-_normal.jpg
TOMO,TOMOHAMSTER,"ID 1545406068305629190",," ","Fri Jul 08 13:55:02 +0000 2022",17,293,144,1215,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1593251477715243011/6wTszYZj_normal.jpg
シンフォニックホワイト,SymphonicWhite,"ID 1061410995795574784","Romans 14:11"," ","Sun Nov 11 00:11:16 +0000 2018",75,301,5391,7686,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1617732237868384259/_kB0cGdu_normal.jpg
cwep,cweepyshutin,"ID 1235525206233366530",," trapped in the pod! adult neet virgin loser w/ no family   .","Thu Mar 05 11:19:04 +0000 2020",71,1050,973,7441,https://www.amazon.com/hz/wishlist/ls/1E7743T1BI9OU?ref_=wl_share,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1606250621685768193/KaQALtbT_normal.jpg
"Frog Morton",DresdenRises,"ID 1614674544589000707",," ","Sun Jan 15 17:23:40 +0000 2023",21,452,98,294,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1614675024610316296/2zeNK9HI_normal.jpg
"Anime Girl🦷",lolifang88,"ID 1395083644688031747",🦷," 🦷","Wed May 19 18:27:41 +0000 2021",280,585,968,5638,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1587350078611759105/MQgxTqE0_normal.jpg
わためろん,watamelon23,"ID 1545223970806431744",," ","Fri Jul 08 01:51:24 +0000 2022",1148,1227,5820,9036,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1615526206111158277/1YOccgGN_normal.jpg
"The American",JohnBears10,"ID 1502902520942784516",," Father| Husband | American  #AF #Ye24 🧃🪓","Sun Mar 13 07:01:09 +0000 2022",68,626,1241,5843,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1519703675790188545/HWLKmp55_normal.jpg
"Merybeth 🍜",messymery,"ID 978265308183003137","Cartago, Costa Rica"," im a crazy bdp bitch yandere femcel 
 🌈🌸🌺🌷🌻🌼","Mon Mar 26 13:39:59 +0000 2018",158,2583,7638,18084,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1619111935177330688/uIle3xmP_normal.jpg
"Chuck Lenihan",ChuckLenihan,"ID 538593189",Tampa," Husband, Father, Guitarist.","Tue Mar 27 21:49:40 +0000 2012",127,863,300,17865,https://youtu.be/wgWBmG8ZOdA,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1601324485667323906/ajeUvL3e_normal.jpg
Иван,JohnofKronstadt,"ID 1611846467605381123",," ","Sat Jan 07 22:07:28 +0000 2023",4,111,3,914,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612868958264115200/DntgnD3r_normal.jpg
Zel,Zel_83,"ID 1608530526515724289",," slightly goofy. very silly. illiterate.","Thu Dec 29 18:29:02 +0000 2022",175,653,90,89,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610007128785260550/Sus8dyTe_normal.jpg
_,V945234,"ID 1581719194336370689",," ","Sun Oct 16 18:50:41 +0000 2022",5,187,55,390,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1599220906555047937/aJdgwOhg_normal.jpg
Death,EpicHandjob,"ID 1452062885748699139",," I shall wear no crowns and win no glory. I shall live and die at my post. I am the sword in the darkness. I am the watcher on the walls. I am the fire that burn","Sun Oct 24 00:02:33 +0000 2021",637,382,14491,16050,,,Enabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1619499982675152897/R8chbZa7_normal.jpg
"2D Respecter 🏴‍☠️",2Dpunished,"ID 1090483065548427264",," GIVE ME THE BAD NEWS FIRST!","Wed Jan 30 05:33:17 +0000 2019",756,634,5537,88059,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1345128631484489730/EO98cyK7_normal.jpg
earlob,hallofbee,"ID 1583420031966367745",," just you and me in the hall of bee","Fri Oct 21 11:29:01 +0000 2022",2095,756,2540,14600,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1610845600282513410/GKNsSuvG_normal.jpg
"goo two",MlpConservative,"ID 1610637603769913347",," inactive","Wed Jan 04 14:01:52 +0000 2023",340,194,97,308,,,Disabled,"Not verified",,Protected,https://pbs.twimg.com/profile_images/1610638716795494404/iPYGfEQz_normal.jpg
Howl,sweatingHowl,"ID 1546699168667734016",," Wholesomeness respecter | nice | pro-white | I love isekai seasonal anime, I watch every single one | I'm 100% racially White | DMs open
please DM nice things","Tue Jul 12 03:33:17 +0000 2022",869,1641,2452,6149,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1549845378438115328/S1xw3iMi_normal.jpg
thegwall,ThegwallI,"ID 1527363132431417344",," I like card games and monster collectors.","Thu May 19 18:59:01 +0000 2022",495,3926,3772,17136,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1527363211342729216/TIUjf1z2_normal.png
Ͳrevor,drainbrah,"ID 1369750467039924230",," ","Wed Mar 10 20:42:23 +0000 2021",960,426,5529,14835,,,Disabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1612213183501983744/zul7LUyx_normal.jpg
war,war_CFL,"ID 3818160197",," fuck","Tue Sep 29 21:17:45 +0000 2015",190,175,2248,33459,,,Enabled,"Not verified",,"Not protected",https://pbs.twimg.com/profile_images/1607374951660544000/V4yzoPw4_normal.jpg
